name,book,expansion,reinvest,start_cash,mffu_price,mffu_price_label,fn_cap,fn_cap_label,mffu_cap,mffu_cap_label,eval_mode,n_paths,label,h30_expected_active_funded,h30_median_active_funded,h30_P(1 funded),h30_P(2 funded),h30_P(3 funded),h30_P(max firm capacity),h30_eval_spend,h30_trader_payout,h30_reinvested,h30_withdrawn,h30_attempts,h30_fails,h60_expected_active_funded,h60_median_active_funded,h60_P(1 funded),h60_P(2 funded),h60_P(3 funded),h60_P(max firm capacity),h60_eval_spend,h60_trader_payout,h60_reinvested,h60_withdrawn,h60_attempts,h60_fails,h90_expected_active_funded,h90_median_active_funded,h90_P(1 funded),h90_P(2 funded),h90_P(3 funded),h90_P(max firm capacity),h90_eval_spend,h90_trader_payout,h90_reinvested,h90_withdrawn,h90_attempts,h90_fails,h180_expected_active_funded,h180_median_active_funded,h180_P(1 funded),h180_P(2 funded),h180_P(3 funded),h180_P(max firm capacity),h180_eval_spend,h180_trader_payout,h180_reinvested,h180_withdrawn,h180_attempts,h180_fails,h365_expected_active_funded,h365_median_active_funded,h365_P(1 funded),h365_P(2 funded),h365_P(3 funded),h365_P(max firm capacity),h365_eval_spend,h365_trader_payout,h365_reinvested,h365_withdrawn,h365_attempts,h365_fails,h730_expected_active_funded,h730_median_active_funded,h730_P(1 funded),h730_P(2 funded),h730_P(3 funded),h730_P(max firm capacity),h730_eval_spend,h730_trader_payout,h730_reinvested,h730_withdrawn,h730_attempts,h730_fails,expected_active_funded_end,median_active_funded_end,total_evaluation_attempts,total_failed_evaluations,total_evaluation_spend,total_trader_payout,total_reinvested,total_personal_cash_withdrawn,external_capital_required,ending_personal_cash,ending_reinvestment_pool,attempts_per_funded_account,cost_per_funded_account,payout_dollars_per_eval_dollar,funded_accounts_created_per_$100_eval_spend,days_per_new_funded_account,median_self_funding_day,P(self_funding_by_30d),P(self_funding_by_60d),P(self_funding_by_90d),P(self_funding_by_180d),P(self_funding_by_1y),probability_bankroll_exhausted_before_self_funding,P(bankroll_exhausted),conservation_gap,classification,fn_price_first5,mffu_price_used,REQUIRES_CONFIRMATION_notes
NQ_FN_REINVEST_NEXT_ACCOUNT_FIRST,NQ,FUNDEDNEXT_ONLY,REINVEST_NEXT_ACCOUNT_FIRST,500.0,100.0,HYPOTHETICAL,3,HYPOTHETICAL,3,CONFIRMED,BASELINE_PHASE49,2500,,0.2896,0.0,0.2588,0.0292,0.0016,0.0016,233.86658799999998,0.0,0.0,0.0,3.3412,0.3412,1.1108,1.0,0.7612,0.3036,0.046,0.046,266.346,29.20166049999767,0.22396799999999994,0.0,3.8,0.8048,1.8252,2.0,0.9324,0.6652,0.2276,0.2276,289.234832,279.3194844999756,2.8476039999999996,0.0,4.1168,1.1372,2.7108,3.0,0.998,0.9696,0.7432,0.7432,319.034884,3319.15529006225,21.357183999999997,0.0,4.5116,1.5404,2.9712,3.0,0.9984,0.9952,0.9776,0.9776,330.881388,14819.45006670809,33.051708,0.0,4.6612,1.6712,2.9892,3.0,0.9984,0.996,0.9948,0.9948,331.389324,39666.567645968506,33.55964399999999,0.0,4.6676,1.6768,2.9892,3.0,4.6676,1.6768,331.389324,39666.567645968506,33.55964399999999,0.0,297.82968000000005,202.17031999999998,39633.008001968505,1.5723333333333331,111.64327666666667,135.23428459132364,1.004330689757274,243.33333333333334,107.0,0.0,0.0496,0.3156,0.9196,0.9888,0.0,0.0,0.0,REPLICATION_VIABLE,69.99,100.0,"['MFFU_EVAL_PRICE=REQUIRES_CONFIRMATION', 'FUNDEDNEXT_MAX_FUNDED_ACCOUNTS=REQUIRES_CONFIRMATION', 'copy_trading=REQUIRES_CONFIRMATION (independent accounts)', 'funded_activation_delay=REQUIRES_CONFIRMATION (modeled as 0 calendar days)']"
NQ_FN_REINVEST_50_PERCENT,NQ,FUNDEDNEXT_ONLY,REINVEST_50_PERCENT,500.0,100.0,HYPOTHETICAL,3,HYPOTHETICAL,3,CONFIRMED,BASELINE_PHASE49,2500,,0.2828,0.0,0.2564,0.0256,0.0008,0.0008,235.09841199999997,0.0,0.0,0.0,3.3588,0.3588,1.1164,1.0,0.754,0.316,0.0464,0.0464,267.685808,25.674775999997994,0.25596399999999997,12.837387999998997,3.8192,0.824,1.8012,2.0,0.9372,0.6484,0.2156,0.2156,289.93073599999997,272.4493267499767,3.0555759999999994,136.22466337498835,4.1264,1.1608,2.6824,3.0,0.9968,0.9604,0.7252,0.7252,320.542684,3322.720662624751,23.396904,1661.3603313123756,4.5316,1.5704,2.964,3.0,0.998,0.9924,0.9736,0.9736,331.35331999999994,14901.154916086998,34.115551999999994,7450.577458043499,4.668,1.6856,2.9812,3.0,0.998,0.9928,0.9904,0.9904,331.92524799999995,39842.04198100733,34.687479999999994,19921.020990503665,4.6752,1.6916,2.9812,3.0,4.6752,1.6916,331.92524799999995,39842.04198100733,34.687479999999994,19921.020990503665,297.2377680000001,202.76223199999995,19886.333510503668,1.5885,112.79911499999999,135.06878929184336,1.0006432866500148,243.33333333333334,107.0,0.0,0.0456,0.3088,0.9232,0.9864,0.0,0.0,3.637978807091713e-12,REPLICATION_VIABLE,69.99,100.0,"['MFFU_EVAL_PRICE=REQUIRES_CONFIRMATION', 'FUNDEDNEXT_MAX_FUNDED_ACCOUNTS=REQUIRES_CONFIRMATION', 'copy_trading=REQUIRES_CONFIRMATION (independent accounts)', 'funded_activation_delay=REQUIRES_CONFIRMATION (modeled as 0 calendar days)']"
NQ_FN_REINVEST_FIXED_DOLLAR,NQ,FUNDEDNEXT_ONLY,REINVEST_FIXED_DOLLAR,500.0,100.0,HYPOTHETICAL,3,HYPOTHETICAL,3,CONFIRMED,BASELINE_PHASE49,2500,,0.2656,0.0,0.244,0.0208,0.0008,0.0008,233.73060800000002,0.0,0.0,0.0,3.3392,0.3392,1.0948,1.0,0.7336,0.3084,0.0528,0.0528,267.309868,21.76410099999836,0.23196799999999998,18.56410099999836,3.8132,0.8176,1.8168,2.0,0.936,0.6468,0.234,0.234,290.2907,264.00551774997757,2.2876919999999994,227.20551774997762,4.13,1.1556,2.6932,3.0,0.9972,0.9684,0.7276,0.7276,318.806924,3275.999539124751,20.773304,2856.031539124751,4.5076,1.548,2.9648,3.0,0.9988,0.996,0.97,0.97,330.049508,14831.203872758866,31.891903999999997,13029.667872758866,4.6492,1.6612,2.9864,3.0,0.9988,0.9964,0.9912,0.9912,330.973392,40119.15261186012,32.815788,35379.88861186012,4.6608,1.672,2.9864,3.0,4.6608,1.672,330.973392,40119.15261186012,32.815788,35379.88861186012,298.15760400000005,201.84239599999995,4706.448212,1.5721333333333332,111.65327866666667,136.95735917258506,1.0063156018031125,243.33333333333334,108.0,0.0,0.0376,0.3016,0.9204,0.9872,0.0,0.0,4.547473508864641e-12,REPLICATION_VIABLE,69.99,100.0,"['MFFU_EVAL_PRICE=REQUIRES_CONFIRMATION', 'FUNDEDNEXT_MAX_FUNDED_ACCOUNTS=REQUIRES_CONFIRMATION', 'copy_trading=REQUIRES_CONFIRMATION (independent accounts)', 'funded_activation_delay=REQUIRES_CONFIRMATION (modeled as 0 calendar days)']"
NQ_FN_REINVEST_ALL_UNTIL_ACCOUNT_CAP,NQ,FUNDEDNEXT_ONLY,REINVEST_ALL_UNTIL_ACCOUNT_CAP,500.0,100.0,HYPOTHETICAL,3,HYPOTHETICAL,3,CONFIRMED,BASELINE_PHASE49,2500,,0.2908,0.0,0.264,0.0256,0.0012,0.0012,231.87487199999998,0.0,0.0,0.0,3.3128,0.3128,1.1392,1.0,0.7616,0.3264,0.0512,0.0512,264.37428,31.76832299999754,0.0,31.76832299999754,3.772,0.7768,1.8468,2.0,0.9416,0.6744,0.2308,0.2308,285.67932799999994,285.6386232499764,0.15997999999999998,284.5466742499765,4.0672,1.0916,2.6948,3.0,0.9988,0.9708,0.7252,0.7252,315.787328,3381.2329284372463,7.359079999999999,3342.305234437251,4.4672,1.5064,2.9648,3.0,0.9992,0.9948,0.9708,0.9708,327.54184399999997,15052.578674549877,16.188455999999977,14984.258892549884,4.6156,1.6272,2.9856,3.0,0.9992,0.9948,0.9916,0.9916,328.397736,40182.05982148843,16.981629999999946,40112.31503948844,4.6264,1.6368,2.9856,3.0,4.6264,1.6368,328.397736,40182.05982148843,16.981629999999946,40112.31503948844,311.4161060000001,188.5838939999999,52.76315199999149,1.5641333333333334,111.041692,138.07471981095404,1.013144151793371,243.33333333333334,171.0,0.0,0.0,0.002,0.0668,0.1156,0.0,0.0,3.353761712787673e-12,REPLICATION_UNSUPPORTED,69.99,100.0,"['MFFU_EVAL_PRICE=REQUIRES_CONFIRMATION', 'FUNDEDNEXT_MAX_FUNDED_ACCOUNTS=REQUIRES_CONFIRMATION', 'copy_trading=REQUIRES_CONFIRMATION (independent accounts)', 'funded_activation_delay=REQUIRES_CONFIRMATION (modeled as 0 calendar days)']"
NQ_FN_CASH_RESERVE_FIRST,NQ,FUNDEDNEXT_ONLY,CASH_RESERVE_FIRST,500.0,100.0,HYPOTHETICAL,3,HYPOTHETICAL,3,CONFIRMED,BASELINE_PHASE49,2500,,0.2672,0.0,0.2416,0.0252,0.0004,0.0004,209.97,0.0,0.0,0.0,3.0,0.3364,1.0152,1.0,0.7112,0.2584,0.0456,0.0456,211.67775600000002,27.13830799999785,1.7077559999999998,0.0,3.0244,0.726,1.5436,2.0,0.8808,0.5188,0.144,0.144,224.29595600000002,257.9762287499776,14.325956,0.0,3.2044,0.9628,2.2004,2.0,0.9444,0.7932,0.4628,0.4628,276.8846,2793.791284093535,66.9146,0.0,3.94,1.2944,2.688,3.0,0.9464,0.8968,0.8448,0.8448,299.93355199999996,12527.725654473841,89.963552,0.0,4.2448,1.5168,2.7272,3.0,0.9464,0.8988,0.882,0.882,301.5773439999999,35174.46550159364,91.607344,0.0,4.2656,1.536,2.7272,3.0,4.2656,1.536,301.5773439999999,35174.46550159364,91.607344,0.0,209.97000000000003,290.03,35082.85815759363,1.6319666666666668,115.23068033333332,124.57999463554162,0.9651778953969827,243.33333333333334,105.0,0.0,0.0472,0.2972,0.8232,0.8816,0.0536,0.0536,7.275957614183426e-12,REPLICATION_VIABLE,69.99,100.0,"['MFFU_EVAL_PRICE=REQUIRES_CONFIRMATION', 'FUNDEDNEXT_MAX_FUNDED_ACCOUNTS=REQUIRES_CONFIRMATION', 'copy_trading=REQUIRES_CONFIRMATION (independent accounts)', 'funded_activation_delay=REQUIRES_CONFIRMATION (modeled as 0 calendar days)']"
