strategy,source_path,instrument,trading_date,entry_ts,exit_ts,entry_time,exit_time,direction,outcome,r_multiple,pnl_R,points,gross_pnl,net_pnl,win_loss,holding_time,mae,mfe,mae_r,mfe_r,risk_points,stop,target,fees_slippage_assumption,session_day,news_blackout,month,R
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08,-2.660409297896497
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09,-11.070929664986034
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10,-1.7197556695261724
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11,5.141543180772283
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12,5.024800576082007
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-01,-1.0889660627442557
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02,2.0138041530154642
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03,-2.7581542713653615
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04,11.519363068865568
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05,-0.47050141162557724
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06,-4.290531513985893
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-07,8.43557187205278
,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08,1.4786249330582795
