strategy,source_path,instrument,trading_date,entry_ts,exit_ts,entry_time,exit_time,direction,outcome,r_multiple,pnl_R,points,gross_pnl,net_pnl,win_loss,holding_time,mae,mfe,mae_r,mfe_r,risk_points,stop,target,fees_slippage_assumption,session_day,news_blackout,date,window_days,drawdown_R
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-04,1,1.1971935175547317
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-05,2,2.2346379704810317
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-06,3,5.448422892204198
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-07,4,5.448422892204198
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-11,5,5.448422892204198
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-12,6,5.448422892204198
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-14,7,5.448422892204198
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-18,8,5.448422892204198
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-19,9,5.448422892204198
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-20,10,5.448422892204198
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-25,11,5.448422892204198
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-26,12,5.448422892204198
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-27,13,5.448422892204198
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-28,14,5.448422892204198
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-02,15,6.791646484106378
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-03,16,6.791646484106378
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-04,17,6.791646484106378
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-05,18,6.791646484106378
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-09,19,6.791646484106378
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-10,20,6.791646484106378
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-11,20,6.618890652002859
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-12,20,6.618890652002857
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-15,20,6.618890652002858
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-16,20,6.618890652002859
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-17,20,6.618890652002859
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-22,20,6.618890652002859
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-23,20,8.052977434649918
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-24,20,11.187243367262216
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-25,20,11.187243367262214
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-26,20,11.187243367262216
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-29,20,12.439011052100476
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-02,20,14.539187346469395
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-06,20,16.64773316663005
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-07,20,16.64773316663005
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-08,20,16.647733166630047
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-09,20,16.64773316663005
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-10,20,16.028957807549148
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-13,20,16.028957807549148
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-14,20,16.028957807549148
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-15,20,16.558357744650248
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-16,20,16.638048860976397
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-17,20,16.638048860976397
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-21,20,16.638048860976397
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-22,20,16.638048860976397
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-24,20,14.543487989425568
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-27,20,12.361669771164534
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-29,20,9.292938374551495
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-03,20,8.03673925254869
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-04,20,8.036739252548692
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-05,20,7.020533735250448
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-06,20,4.8178131679568255
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-07,20,4.227048141643352
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-12,20,4.227048141643352
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-13,20,4.227048141643352
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-14,20,4.227048141643352
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-17,20,3.2810698378962324
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-18,20,3.2810698378962324
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-19,20,3.2810698378962324
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-20,20,3.2810698378962324
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-24,20,3.281069837896232
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-25,20,3.281069837896232
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-26,20,3.2810698378962324
,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-01,20,3.2810698378962324
