strategy,source_path,instrument,trading_date,entry_ts,exit_ts,entry_time,exit_time,direction,outcome,r_multiple,pnl_R,points,gross_pnl,net_pnl,win_loss,holding_time,mae,mfe,mae_r,mfe_r,risk_points,stop,target,fees_slippage_assumption,session_day,news_blackout,R
,,,2025-08-04,,,,,,,,,,,,,,,,,,,,,,,,-1.1971935175547317
,,,2025-08-05,,,,,,,,,,,,,,,,,,,,,,,,-1.0374444529263003
,,,2025-08-06,,,,,,,,,,,,,,,,,,,,,,,,-3.2137849217231667
,,,2025-08-07,,,,,,,,,,,,,,,,,,,,,,,,1.3158412484377457
,,,2025-08-11,,,,,,,,,,,,,,,,,,,,,,,,1.9768094713953612
,,,2025-08-12,,,,,,,,,,,,,,,,,,,,,,,,1.9830163402675711
,,,2025-08-14,,,,,,,,,,,,,,,,,,,,,,,,-1.030480489534421
,,,2025-08-18,,,,,,,,,,,,,,,,,,,,,,,,-1.112982820835065
,,,2025-08-19,,,,,,,,,,,,,,,,,,,,,,,,-1.0252378773971766
,,,2025-08-20,,,,,,,,,,,,,,,,,,,,,,,,1.9341612886571664
,,,2025-08-25,,,,,,,,,,,,,,,,,,,,,,,,-1.0963524477865576
,,,2025-08-26,,,,,,,,,,,,,,,,,,,,,,,,-2.456293791004026
,,,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,1.5428459679095408
,,,2025-08-28,,,,,,,,,,,,,,,,,,,,,,,,0.7566867041975622
,,,2025-09-02,,,,,,,,,,,,,,,,,,,,,,,,-4.131237186209882
,,,2025-09-03,,,,,,,,,,,,,,,,,,,,,,,,5.499318573324322
,,,2025-09-04,,,,,,,,,,,,,,,,,,,,,,,,-1.0454461945871956
,,,2025-09-05,,,,,,,,,,,,,,,,,,,,,,,,-1.0387252251233177
,,,2025-09-09,,,,,,,,,,,,,,,,,,,,,,,,-1.5309699337121967
,,,2025-09-10,,,,,,,,,,,,,,,,,,,,,,,,0.8898335229490355
,,,2025-09-11,,,,,,,,,,,,,,,,,,,,,,,,-1.2658778927935854
,,,2025-09-12,,,,,,,,,,,,,,,,,,,,,,,,-1.0723760493229832
,,,2025-09-15,,,,,,,,,,,,,,,,,,,,,,,,1.8573134680057577
,,,2025-09-16,,,,,,,,,,,,,,,,,,,,,,,,2.587472945503584
,,,2025-09-17,,,,,,,,,,,,,,,,,,,,,,,,-2.0945608715508284
,,,2025-09-22,,,,,,,,,,,,,,,,,,,,,,,,-2.181818218261033
,,,2025-09-23,,,,,,,,,,,,,,,,,,,,,,,,-3.0687313966130407
,,,2025-09-24,,,,,,,,,,,,,,,,,,,,,,,,-3.2233575217564114
,,,2025-09-25,,,,,,,,,,,,,,,,,,,,,,,,1.967158399753608
,,,2025-09-26,,,,,,,,,,,,,,,,,,,,,,,,-1.016205517298242
,,,2025-09-29,,,,,,,,,,,,,,,,,,,,,,,,-2.2027205672936225
,,,2025-10-02,,,,,,,,,,,,,,,,,,,,,,,,-2.1001762943689237
,,,2025-10-06,,,,,,,,,,,,,,,,,,,,,,,,-2.1085458201606535
,,,2025-10-07,,,,,,,,,,,,,,,,,,,,,,,,1.9707411530845804
,,,2025-10-08,,,,,,,,,,,,,,,,,,,,,,,,1.647215935131523
,,,2025-10-09,,,,,,,,,,,,,,,,,,,,,,,,-1.032943419328381
,,,2025-10-10,,,,,,,,,,,,,,,,,,,,,,,,-0.06994352222801159
,,,2025-10-13,,,,,,,,,,,,,,,,,,,,,,,,-1.828564496866722
,,,2025-10-14,,,,,,,,,,,,,,,,,,,,,,,,-0.10850532711661409
,,,2025-10-15,,,,,,,,,,,,,,,,,,,,,,,,-1.107400259777476
,,,2025-10-16,,,,,,,,,,,,,,,,,,,,,,,,-0.07969111632614734
,,,2025-10-17,,,,,,,,,,,,,,,,,,,,,,,,2.9126414263458114
,,,2025-10-21,,,,,,,,,,,,,,,,,,,,,,,,-1.6792630674277054
,,,2025-10-22,,,,,,,,,,,,,,,,,,,,,,,,2.947152106521796
,,,2025-10-24,,,,,,,,,,,,,,,,,,,,,,,,-1.0152614322772493
,,,2025-10-27,,,,,,,,,,,,,,,,,,,,,,,,0.9449193805823115
,,,2025-10-29,,,,,,,,,,,,,,,,,,,,,,,,-1.012130915314311
,,,2025-11-03,,,,,,,,,,,,,,,,,,,,,,,,-2.089996576533658
,,,2025-11-04,,,,,,,,,,,,,,,,,,,,,,,,-0.10860029435332591
,,,2025-11-05,,,,,,,,,,,,,,,,,,,,,,,,2.8855344254227147
,,,2025-11-06,,,,,,,,,,,,,,,,,,,,,,,,-1.0162787350875364
,,,2025-11-07,,,,,,,,,,,,,,,,,,,,,,,,3.9750259995692736
,,,2025-11-12,,,,,,,,,,,,,,,,,,,,,,,,-1.0228542251286252
,,,2025-11-13,,,,,,,,,,,,,,,,,,,,,,,,1.9796896576934393
,,,2025-11-14,,,,,,,,,,,,,,,,,,,,,,,,-2.0328617556989528
