strategy,source_path,instrument,trading_date,entry_ts,exit_ts,entry_time,exit_time,direction,outcome,r_multiple,pnl_R,points,gross_pnl,net_pnl,win_loss,holding_time,mae,mfe,mae_r,mfe_r,risk_points,stop,target,fees_slippage_assumption,session_day,news_blackout,date,window_days,drawdown_R
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-02,1,1.6956250000000002
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-03,2,2.185
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-06,3,2.185
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-07,4,2.185
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-08,5,2.9518750000000002
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-09,6,3.785
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-10,7,5.030625000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-13,8,5.030625000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-14,9,5.030625000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-15,10,5.030625000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-16,11,5.68625
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-17,12,6.735
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-21,13,6.99875
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-22,14,7.465000000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-23,15,7.465000000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-24,16,7.465000000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-27,17,7.465000000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-28,18,7.465000000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-29,19,7.465000000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-30,20,7.465000000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-31,20,6.97625
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-03,20,6.976250000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-04,20,6.976250000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-05,20,6.530625000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-06,20,4.5131250000000005
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-07,20,4.33375
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-10,20,4.33375
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-11,20,4.333750000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-12,20,3.98875
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-13,20,2.893125
