strategy,source_path,instrument,trading_date,entry_ts,exit_ts,entry_time,exit_time,direction,outcome,r_multiple,pnl_R,points,gross_pnl,net_pnl,win_loss,holding_time,mae,mfe,mae_r,mfe_r,risk_points,stop,target,fees_slippage_assumption,session_day,news_blackout,month,R
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01,-4.030555555555557
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02,-9.828888888888889
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03,2.4183333333333357
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-04,-4.973333333333331
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05,-9.543333333333331
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-06,5.847222222222223
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-07,-10.236111111111109
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-08,-15.202777777777776
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-09,5.8661111111111115
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-10,6.908333333333335
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-11,-6.218888888888888
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-12,0.21111111111111147
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-01,-1.5672222222222207
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-02,0.08500000000000019
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03,-1.8333333333333324
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04,16.185555555555556
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-05,9.49
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-06,-2.9811111111111113
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07,8.355555555555558
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,7.247222222222223
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-09,7.178888888888893
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-10,3.6433333333333335
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11,2.3177777777777786
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12,-4.274444444444444
,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01,3.489444444444446
,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02,2.5133333333333345
,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03,3.325555555555558
,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04,16.147777777777776
,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05,11.77388888888889
,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06,-2.9261111111111084
,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-07,0.8472222222222237
,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-08,3.930555555555556
,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09,-2.472777777777776
,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10,6.208333333333336
,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11,-5.47333333333333
