strategy,source_path,instrument,trading_date,entry_ts,exit_ts,entry_time,exit_time,direction,outcome,r_multiple,pnl_R,points,gross_pnl,net_pnl,win_loss,holding_time,mae,mfe,mae_r,mfe_r,risk_points,stop,target,fees_slippage_assumption,session_day,news_blackout,R
,,,2020-01-02,,,,,,,,,,,,,,,,,,,,,,,,-1.6956250000000002
,,,2020-01-03,,,,,,,,,,,,,,,,,,,,,,,,-0.489375
,,,2020-01-06,,,,,,,,,,,,,,,,,,,,,,,,1.6962499999999998
,,,2020-01-07,,,,,,,,,,,,,,,,,,,,,,,,-0.445625
,,,2020-01-08,,,,,,,,,,,,,,,,,,,,,,,,-2.0175
,,,2020-01-09,,,,,,,,,,,,,,,,,,,,,,,,-0.833125
,,,2020-01-10,,,,,,,,,,,,,,,,,,,,,,,,-1.245625
,,,2020-01-13,,,,,,,,,,,,,,,,,,,,,,,,1.8993749999999998
,,,2020-01-14,,,,,,,,,,,,,,,,,,,,,,,,-0.3450000000000001
,,,2020-01-15,,,,,,,,,,,,,,,,,,,,,,,,-1.095625
,,,2020-01-16,,,,,,,,,,,,,,,,,,,,,,,,-1.1143750000000001
,,,2020-01-17,,,,,,,,,,,,,,,,,,,,,,,,-1.04875
,,,2020-01-21,,,,,,,,,,,,,,,,,,,,,,,,-0.26375
,,,2020-01-22,,,,,,,,,,,,,,,,,,,,,,,,-0.4662500000000001
,,,2020-01-23,,,,,,,,,,,,,,,,,,,,,,,,1.38375
,,,2020-01-24,,,,,,,,,,,,,,,,,,,,,,,,2.465
,,,2020-01-27,,,,,,,,,,,,,,,,,,,,,,,,0.586875
,,,2020-01-28,,,,,,,,,,,,,,,,,,,,,,,,1.6275
,,,2020-01-29,,,,,,,,,,,,,,,,,,,,,,,,-0.170625
,,,2020-01-30,,,,,,,,,,,,,,,,,,,,,,,,-2.0175
,,,2020-01-31,,,,,,,,,,,,,,,,,,,,,,,,2.465
,,,2020-02-03,,,,,,,,,,,,,,,,,,,,,,,,-0.28874999999999995
,,,2020-02-04,,,,,,,,,,,,,,,,,,,,,,,,1.9649999999999999
,,,2020-02-05,,,,,,,,,,,,,,,,,,,,,,,,-0.7112499999999999
,,,2020-02-06,,,,,,,,,,,,,,,,,,,,,,,,1.2493750000000001
,,,2020-02-07,,,,,,,,,,,,,,,,,,,,,,,,-0.66125
,,,2020-02-10,,,,,,,,,,,,,,,,,,,,,,,,1.9649999999999999
,,,2020-02-11,,,,,,,,,,,,,,,,,,,,,,,,0.8399999999999999
,,,2020-02-12,,,,,,,,,,,,,,,,,,,,,,,,-1.139375
,,,2020-02-13,,,,,,,,,,,,,,,,,,,,,,,,-0.29875
,,,2020-02-14,,,,,,,,,,,,,,,,,,,,,,,,-0.255
,,,2020-02-18,,,,,,,,,,,,,,,,,,,,,,,,-1.3018750000000001
,,,2020-02-19,,,,,,,,,,,,,,,,,,,,,,,,0.10500000000000001
,,,2020-02-20,,,,,,,,,,,,,,,,,,,,,,,,-1.689375
,,,2020-02-21,,,,,,,,,,,,,,,,,,,,,,,,0.8399999999999999
,,,2020-02-24,,,,,,,,,,,,,,,,,,,,,,,,2.465
,,,2020-02-25,,,,,,,,,,,,,,,,,,,,,,,,2.465
,,,2020-02-26,,,,,,,,,,,,,,,,,,,,,,,,-2.0175
,,,2020-02-27,,,,,,,,,,,,,,,,,,,,,,,,-2.0175
,,,2020-02-28,,,,,,,,,,,,,,,,,,,,,,,,-1.52625
,,,2020-03-02,,,,,,,,,,,,,,,,,,,,,,,,1.9649999999999999
,,,2020-03-03,,,,,,,,,,,,,,,,,,,,,,,,-0.9100000000000001
,,,2020-03-04,,,,,,,,,,,,,,,,,,,,,,,,1.9649999999999999
,,,2020-03-05,,,,,,,,,,,,,,,,,,,,,,,,-1.52625
,,,2020-03-06,,,,,,,,,,,,,,,,,,,,,,,,-2.0175
,,,2020-03-09,,,,,,,,,,,,,,,,,,,,,,,,0.46499999999999986
,,,2020-03-10,,,,,,,,,,,,,,,,,,,,,,,,-0.7850000000000001
,,,2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,0.8399999999999999
,,,2020-03-12,,,,,,,,,,,,,,,,,,,,,,,,-1.52625
,,,2020-03-13,,,,,,,,,,,,,,,,,,,,,,,,2.465
,,,2020-03-16,,,,,,,,,,,,,,,,,,,,,,,,0.46499999999999986
,,,2020-03-17,,,,,,,,,,,,,,,,,,,,,,,,0.46499999999999986
,,,2020-03-18,,,,,,,,,,,,,,,,,,,,,,,,-1.40125
,,,2020-03-19,,,,,,,,,,,,,,,,,,,,,,,,0.46499999999999986
,,,2020-03-20,,,,,,,,,,,,,,,,,,,,,,,,-1.52625
,,,2020-03-23,,,,,,,,,,,,,,,,,,,,,,,,-0.7850000000000001
,,,2020-03-24,,,,,,,,,,,,,,,,,,,,,,,,1.9649999999999999
,,,2020-03-25,,,,,,,,,,,,,,,,,,,,,,,,0.46499999999999986
,,,2020-03-26,,,,,,,,,,,,,,,,,,,,,,,,0.46499999999999986
,,,2020-03-27,,,,,,,,,,,,,,,,,,,,,,,,0.46499999999999986
,,,2020-03-30,,,,,,,,,,,,,,,,,,,,,,,,1.9649999999999999
,,,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,-2.0175
,,,2020-04-01,,,,,,,,,,,,,,,,,,,,,,,,-1.0350000000000001
,,,2020-04-02,,,,,,,,,,,,,,,,,,,,,,,,1.9649999999999999
,,,2020-04-03,,,,,,,,,,,,,,,,,,,,,,,,2.465
,,,2020-04-06,,,,,,,,,,,,,,,,,,,,,,,,1.9649999999999999
,,,2020-04-07,,,,,,,,,,,,,,,,,,,,,,,,-2.0175
,,,2020-04-08,,,,,,,,,,,,,,,,,,,,,,,,1.9649999999999999
,,,2020-04-09,,,,,,,,,,,,,,,,,,,,,,,,-0.7850000000000001
,,,2020-04-13,,,,,,,,,,,,,,,,,,,,,,,,-2.0175
,,,2020-04-14,,,,,,,,,,,,,,,,,,,,,,,,1.9649999999999999
