strategy,source_path,instrument,trading_date,entry_ts,exit_ts,entry_time,exit_time,direction,outcome,r_multiple,pnl_R,points,gross_pnl,net_pnl,win_loss,holding_time,mae,mfe,mae_r,mfe_r,risk_points,stop,target,fees_slippage_assumption,session_day,news_blackout,month,R
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01,-1.1250000000000009
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02,-0.012500000000001066
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03,1.9249999999999972
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-04,10.183749999999996
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05,3.5331249999999974
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-06,18.891249999999996
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-07,-1.9618750000000027
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-08,2.2406249999999988
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-09,9.537499999999998
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-10,7.1756249999999975
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-11,-5.091250000000002
,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-12,5.72
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-01,-10.163125
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-02,-5.664375000000003
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03,3.5818749999999953
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04,11.409999999999998
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-05,8.200624999999997
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-06,8.741249999999997
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07,5.564999999999999
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08,4.044999999999999
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-09,16.0675
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-10,18.166249999999998
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11,17.17375
,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12,8.661249999999997
,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01,1.4349999999999978
,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02,5.119999999999997
,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03,-7.005000000000003
,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04,10.512499999999998
,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05,5.7068749999999975
,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06,-8.711875000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-07,2.688749999999998
,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-08,7.363749999999998
,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09,-2.636250000000002
,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10,2.849374999999997
,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11,1.034374999999998
,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-12,8.310624999999998
,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01,8.456249999999997
,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02,17.2575
,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03,-2.769375000000003
,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04,12.445624999999996
,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05,12.349374999999997
,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06,4.374999999999997
,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07,-2.186875000000002
,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08,7.739374999999996
,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09,14.642499999999997
,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10,-5.013750000000003
,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11,-2.144375000000002
,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12,-0.5812500000000018
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01,-1.0581250000000022
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02,-10.634375
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03,-0.021875000000001532
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04,7.694374999999996
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05,-5.590625000000003
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06,4.1512499999999966
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07,10.190624999999997
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08,7.723124999999997
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09,6.150624999999998
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10,6.876249999999998
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11,3.0356249999999982
,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12,15.539999999999997
