variant,near_rule,n_paths,P(pass),P(pass)_se,P(breach),P(timeout),P(fail),median_days_to_pass,p75_days_to_pass,p90_days_to_pass,P(pass <=14d),P(pass <=20d),P(pass_and_<=14d),P(pass_and_<=20d),max_observed_daily_loss_mean,daily_stop_frequency,mean_daily_stop_events,demotion_frequency,breach_causes,expected_attempts,label
GOV2_DEMOTE_NEAR,ONE_FAST_R,2500,0.5468,0.009956098834382874,0.0,0.4532,0.45320000000000005,16.0,28.5,46.0,0.4491587417702999,0.6378931967812729,0.2456,0.3488,445.4896120000057,0.04,0.04,0.4496,{},1.82882223847842,E. 2 MNQ + governor + demotion + near-target
GOV2_DEMOTE_NEAR,ONE_SAFE_R,2500,0.5512,0.009947433035713283,0.0,0.4488,0.4488,14.0,26.0,45.0,0.5181422351233672,0.6792452830188679,0.2856,0.3744,444.21617200000577,0.0328,0.0328,0.4304,{},1.8142235123367199,E. 2 MNQ + governor + demotion + near-target
GOV2_DEMOTE_NEAR,PCT_80,2500,0.55,0.0099498743710662,0.0,0.45,0.44999999999999996,17.0,30.0,47.0,0.4007272727272727,0.5927272727272728,0.2204,0.326,435.78959200000565,0.0452,0.0464,0.4716,{},1.8181818181818181,E. 2 MNQ + governor + demotion + near-target
GOV2_DEMOTE_NEAR,PCT_90,2500,0.5476,0.00995458165871374,0.0,0.4524,0.4524,15.0,26.0,44.0,0.47260774287801316,0.6581446311176041,0.2588,0.3604,447.86323000000573,0.046,0.0468,0.4488,{},1.8261504747991235,E. 2 MNQ + governor + demotion + near-target
GOV2_DEMOTE_NEAR,PCT_95,2500,0.5724,0.009894609441509048,0.0,0.4276,0.4276,14.0,25.0,44.0,0.5178197064989518,0.6771488469601677,0.2964,0.3876,450.25806400000585,0.0432,0.0432,0.4172,{},1.7470300489168413,E. 2 MNQ + governor + demotion + near-target
