bucket,expectancy_r,n,win_rate
0_5pct,-0.17048741219327057,508,0.43700787401574803
5_10pct,-0.19505430044251082,244,0.4180327868852459
10_25pct,-0.36324001924001925,6,0.3333333333333333
25_50pct,,0,
gt_50pct,,0,
