avg_hold_sec,avg_mae,avg_mfe,avg_stop_points,best_trade_r,expectancy_points,expectancy_r,long,max_consec_losses,max_dd_points,median_stop_points,n_ambiguous,n_days,n_entered,n_resolved,p95_stop_points,p_reach_1r,p_reach_2r,p_reach_3r,profit_factor,r,short,total_points,trades_per_year,tstat,use_cost,win_rate,worst_day_points,worst_trade_r
1862.857142857143,13.542857142857143,12.961904761904762,16.63302752293578,0.9961165048543689,0.9380952380952381,-0.018393942926737947,"{""n"": 81, ""win_rate"": 0.4691358024691358, ""expectancy_points"": -1.36358024691358, ""expectancy_r"": -0.09472435804102859}",7,244.89999999999986,13.25,4,105,109,105,49.5,0.5321100917431193,0.045871559633027525,0.027522935779816515,1.1151844705607203,1.0,"{""n"": 24, ""win_rate"": 0.625, ""expectancy_points"": 8.706249999999999, ""expectancy_r"": 0.239221208083993}",98.5,15.0,0.4361892424215651,True,0.5047619047619047,-69.2,-1.8
2688.1132075471696,15.125,16.59433962264151,16.63302752293578,1.496039603960396,-1.7683962264150945,-0.13226653675656957,"{""n"": 81, ""win_rate"": 0.345679012345679, ""expectancy_points"": -3.0009259259259258, ""expectancy_r"": -0.16879843211510268}",11,273.2249999999997,13.25,3,106,109,106,49.5,0.5321100917431193,0.07339449541284404,0.027522935779816515,0.8393538158289412,1.5,"{""n"": 25, ""win_rate"": 0.4, ""expectancy_points"": 2.2249999999999988, ""expectancy_r"": -0.0139031957949223}",-187.45000000000002,15.142857142857142,-0.6908234388252014,True,0.3584905660377358,-69.2,-1.8
3211.132075471698,16.212264150943398,19.25235849056604,16.63302752293578,1.996039603960396,-1.8556603773584908,-0.17943634807732428,"{""n"": 81, ""win_rate"": 0.2716049382716049, ""expectancy_points"": -3.6506172839506172, ""expectancy_r"": -0.2181811481644854}",12,297.9499999999998,13.25,3,106,109,106,49.5,0.5321100917431193,0.30275229357798167,0.027522935779816515,0.8464720574461442,2.0,"{""n"": 25, ""win_rate"": 0.32, ""expectancy_points"": 3.959999999999999, ""expectancy_r"": -0.0539031957949223}",-196.70000000000002,15.142857142857142,-0.6224999184453677,True,0.2830188679245283,-69.2,-1.8
4218.679245283019,18.044811320754718,22.962264150943398,16.63302752293578,2.9955307262569835,-5.740094339622641,-0.38698351788864505,"{""n"": 81, ""win_rate"": 0.14814814814814814, ""expectancy_points"": -5.9870370370370365, ""expectancy_r"": -0.4404033703867076}",14,613.1999999999997,13.25,3,106,109,106,49.5,0.5321100917431193,0.30275229357798167,0.1926605504587156,0.6005055644923016,3.0,"{""n"": 25, ""win_rate"": 0.2, ""expectancy_points"": -4.94, ""expectancy_r"": -0.2139031957949223}",-608.45,15.142857142857142,-1.7651489040600603,True,0.16037735849056603,-69.2,-1.8
4748.490566037736,18.16745283018868,25.73820754716981,16.63302752293578,3.9955307262569835,-4.138679245283019,-0.36811559336034316,"{""n"": 81, ""win_rate"": 0.12345679012345678, ""expectancy_points"": -4.98395061728395, ""expectancy_r"": -0.41571201236201627}",14,472.1999999999991,13.25,3,106,109,106,49.5,0.5321100917431193,0.30275229357798167,0.1926605504587156,0.7171319878780064,4.0,"{""n"": 25, ""win_rate"": 0.16, ""expectancy_points"": -1.3999999999999992, ""expectancy_r"": -0.21390319579492226}",-438.69999999999993,15.142857142857142,-1.0416258734164705,True,0.1320754716981132,-69.2,-1.8
5083.584905660377,18.16745283018868,28.733490566037737,16.63302752293578,4.995530726256984,-1.5089622641509428,-0.23604012166222993,"{""n"": 81, ""win_rate"": 0.12345679012345678, ""expectancy_points"": -3.1783950617283945, ""expectancy_r"": -0.2922552222385595}",14,331.8499999999999,13.25,3,106,109,106,49.5,0.5321100917431193,0.30275229357798167,0.1926605504587156,0.896866335676059,5.0,"{""n"": 25, ""win_rate"": 0.16, ""expectancy_points"": 3.900000000000001, ""expectancy_r"": -0.05390319579492222}",-159.94999999999993,15.142857142857142,-0.31637245253656354,True,0.1320754716981132,-69.2,-1.8
