adverse_ticks,e_r,hold_e_r,n
0_tick,-0.045705208950649535,0.01144100208850939,689
1_tick,-0.09286293376260162,-0.048951637870690394,703
2_tick,-0.12107458022528478,-0.07197706546331217,710
