e_r,family,hold_e_r,n,value
-0.17992123326859394,trigger,-0.17387473161368902,814,T0_exact
-0.11683314437028558,trigger,-0.036912734635904755,1014,T1_two_ticks
-0.12742857688662526,trigger,-0.02234066944882025,1012,T2_five_pct_width
-0.26687728808616784,fail_frac,-0.02290839084098917,222,0.0
-0.17992123326859394,fail_frac,-0.17387473161368902,814,0.1
-0.14864536419583363,fail_frac,-0.14131688295432718,1092,0.25
