filter_improves,instrument,open_e_pts,open_holdout,open_n,pb_e_r,pb_holdout_r,pb_n,state_distinct,status
False,ES,-0.28633484162895845,0.21214876033057936,1105,-0.12608029878547322,-0.12917457611019004,1100,False,LONG_ONLY_EDGE_REJECTED
False,NQ,0.6112149532710305,0.9733001658374821,1070,-0.005715020343065475,-0.008524937978839686,1066,False,LONG_DRIFT_BETA_ONLY
