candidate_id,block,resolved_n,stop_rate,r1_rate,r2_rate,r3_rate,theoretical_2r_expectancy,median_mfe_r,median_mae_r,ambiguity_pct
C4_5m_first_touch,1,60,0.5,0.5,0.18333333333333332,0.11666666666666667,-0.13333333333333336,1.0222457430412255,1.0032588871023882,0.07377049180327869
C4_5m_first_touch,2,67,0.6268656716417911,0.373134328358209,0.23880597014925373,0.13432835820895522,-0.14925373134328362,0.7188524590163758,1.0457142857142767,0.024793388429752067
C4_5m_first_touch,3,80,0.65,0.4875,0.2125,0.1125,-0.22500000000000003,0.9490039840637197,1.065671641790978,0.06349206349206349
C4_5m_first_touch,4,64,0.5625,0.546875,0.25,0.140625,-0.0625,1.102244389027452,1.031999999999971,0.017857142857142856
C3_5m_ce,1,60,0.5166666666666667,0.5,0.2,0.11666666666666667,-0.1166666666666667,0.9695305090225985,1.0077305357954267,0.06557377049180328
C3_5m_ce,2,67,0.6268656716417911,0.31343283582089554,0.1791044776119403,0.13432835820895522,-0.2686567164179105,0.6268791605330808,1.0438359124193108,0.03305785123966942
C3_5m_ce,3,81,0.6666666666666666,0.4567901234567901,0.1728395061728395,0.08641975308641975,-0.32098765432098764,0.8588785853836755,1.0695467816930844,0.04838709677419355
C3_5m_ce,4,60,0.55,0.5333333333333333,0.23333333333333334,0.13333333333333333,-0.08333333333333337,1.1090043024610705,1.0304487863830407,0.05357142857142857
C12_5m_htf_C,1,33,0.5151515151515151,0.5454545454545454,0.2727272727272727,0.21212121212121213,0.030303030303030276,1.2092406257247963,1.0029491559660397,0.017857142857142856
C12_5m_htf_C,2,34,0.6470588235294118,0.35294117647058826,0.11764705882352941,0.08823529411764706,-0.411764705882353,0.6202146839145053,1.0606148069382186,0.03225806451612903
C12_5m_htf_C,3,36,0.6666666666666666,0.3055555555555556,0.1111111111111111,0.027777777777777776,-0.4444444444444444,0.6656993615786384,1.0299377916018475,0.03389830508474576
C12_5m_htf_C,4,35,0.6,0.4857142857142857,0.2571428571428571,0.11428571428571428,-0.08571428571428574,0.9893754619364583,1.0724211976688882,0.05555555555555555
