ambiguity_rate,date_end,date_start,false_break_rate,full_e_pts,full_e_r,full_n,full_pf,full_wr,hold_e_r,hold_n,instrument,n_days,status,train_e_r
0.0,2026-08-14,2020-01-02,0.9139447236180904,0.2873052763819102,0.01439952305412016,1592,1.036853597615019,0.5131909547738693,0.0792786449099692,371,ES,1651,BREAKOUT_EDGE_WEAK,-0.005313952956133727
0.0,2026-08-14,2020-01-02,0.9222520107238605,4.336193029490614,0.0652115278774822,746,1.1691350052678224,0.5388739946380697,0.19978144033475975,69,NQ,1651,BREAKOUT_EDGE_WEAK,0.0514961305960167
