expectancy_points,holdout,id,instrument,n
-1.0845400238948621,-1.7501167728237785,TSMOM_5D_1D,ES,4185
-2.2047311827956984,-2.640509554140127,TSMOM_10D_3D,ES,1395
0.699041916167665,0.1673404255319145,TSMOM_20D_5D,ES,835
-0.8795767835550179,7.396063829787233,TSMOM_60D_5D,ES,827
0.11018817204301126,2.158764044943821,TSMOM_20D_DAILY_REFRESH,ES,372
-2.9890998089780316,-7.505997876857747,TSMOM_5D_1D,NQ,4188
-4.142831541218638,-4.352866242038218,TSMOM_10D_3D,NQ,1395
1.369461077844309,-0.6215425531914962,TSMOM_20D_5D,NQ,835
0.5025392986698889,6.056648936170206,TSMOM_60D_5D,NQ,827
0.506410256410256,-35.22619047619048,TSMOM_20D_DAILY_REFRESH,NQ,390
0.016154580152812435,1.198723404255322,TSMOM_5D_1D,GC,4192
0.37376344086035496,0.260641025641018,TSMOM_10D_3D,GC,1395
-0.9399999999998515,1.882459893048141,TSMOM_20D_5D,GC,835
1.0022007255140497,8.543422459893058,TSMOM_60D_5D,GC,827
0.1869953051644549,0.09859649122807457,TSMOM_20D_DAILY_REFRESH,GC,426
