label,opportunities,entry_rows,triggered_n,resolved_n,ambiguous_n,invalid_n,expired_n,untriggered_n,ambiguity_pct,resolved_rate,valid_risk_n,valid_risk_rate,stop_n,stop_rate,r1_n,r1_rate,r2_n,r2_rate,r3_n,r3_rate,opposite_n,opposite_rate,mean_mfe_r,median_mfe_r,mean_mae_r,median_mae_r,n_mfe,n_mae,median_risk_distance,median_rr_to_opposite,median_entry_depth,median_max_retrace_depth,theoretical_1r_expectancy,theoretical_2r_expectancy,theoretical_3r_expectancy,sample_quality,sample_quality_triggered,htf_group,n_setups,axis,value,htf_policy,trades_retained_setups,pct_opportunities_retained,sample_quality_setups
setup_vs_daily:opposed,63,189,189,111,4,74,0,0,0.021164021164021163,0.5873015873015873,115,0.6084656084656085,48,0.43243243243243246,55,0.4954954954954955,24,0.21621621621621623,6,0.05405405405405406,63,0.5675675675675675,1.3110448053512207,0.9803370786516716,0.9222267791066371,0.6699810606060469,111,111,18.509999999999764,1.7805440295066384,0.49999999999990485,0.8267716535431661,0.06306306306306303,0.0,-0.2702702702702703,LARGER_SAMPLE,LARGER_SAMPLE,,63,setup_vs_daily,opposed,,,,
setup_vs_daily:unknown,32,96,96,62,10,24,0,0,0.10416666666666667,0.6458333333333334,72,0.75,43,0.6935483870967742,13,0.20967741935483872,7,0.11290322580645161,6,0.0967741935483871,19,0.3064516129032258,0.9321495944298043,0.5560522517043438,1.2549497511767231,1.0602262005415897,62,62,17.81999999999971,1.7975352112675775,0.5,0.996527777777807,-0.4838709677419355,-0.467741935483871,-0.403225806451613,MODERATE_SAMPLE,MODERATE_SAMPLE,,32,setup_vs_daily,unknown,,,,
setup_vs_h4:aligned,88,264,263,151,14,98,1,0,0.053231939163498096,0.5741444866920152,165,0.6273764258555133,62,0.4105960264900662,56,0.3708609271523179,26,0.17218543046357615,9,0.059602649006622516,89,0.5894039735099338,1.0932943143008966,0.5604776579352737,1.0950323434271103,0.5250171350239902,151,151,17.850000000000364,1.499351191880523,0.49999999999990524,1.0,-0.039735099337748325,-0.06622516556291391,-0.23178807947019867,LARGER_SAMPLE,LARGER_SAMPLE,,88,setup_vs_h4,aligned,,,,
setup_vs_h4:neutral,2,6,6,3,0,3,0,0,0.0,0.5,3,0.5,3,1.0,1,0.3333333333333333,0,0.0,0,0.0,0,0.0,0.7894704776623522,0.7717190388169759,1.5479494889869534,1.5425138632163546,3,3,10.819999999999709,4.673752310536143,0.5,0.9313860771581004,-0.6666666666666667,-1.0,-1.0,INSUFFICIENT_SAMPLE,INSUFFICIENT_SAMPLE,,5,setup_vs_h4,neutral,,,,
setup_vs_h4:opposed,99,297,293,181,6,107,3,0,0.020477815699658702,0.6177474402730375,187,0.6382252559726962,79,0.43646408839779005,66,0.36464088397790057,24,0.13259668508287292,16,0.08839779005524862,102,0.56353591160221,1.1157780109005269,0.7007604562737826,0.7854981717510342,0.6699810606060469,181,181,21.539999999999964,1.8431697612732232,0.49999999999962724,0.9899665551840309,-0.07182320441988949,-0.1712707182320442,-0.1712707182320442,LARGER_SAMPLE,LARGER_SAMPLE,,99,setup_vs_h4,opposed,,,,
setup_vs_h4:unknown,4,12,12,9,3,0,0,0,0.25,0.75,12,1.0,9,1.0,2,0.2222222222222222,0,0.0,0,0.0,0,0.0,0.7648568708684502,0.7372159090909206,1.1241211288455997,1.1129900076863428,9,9,16.9074999999998,2.74823738757288,0.4910586552217451,0.7149532710281129,-0.7777777777777778,-1.0,-1.0,INSUFFICIENT_SAMPLE,INSUFFICIENT_SAMPLE,,4,setup_vs_h4,unknown,,,,
POLICY_A,193,579,574,344,23,208,4,0,0.04006968641114982,0.5993031358885017,367,0.6393728222996515,153,0.44476744186046513,125,0.3633720930232558,50,0.14534883720930233,25,0.07267441860465117,191,0.5552325581395349,1.0938819322768427,0.6546782071163716,0.9368778824738434,0.6555534700997334,344,344,19.529999999999745,1.7828957309064388,0.4999999999998519,0.996527777777807,-0.08139534883720934,-0.15406976744186046,-0.22674418604651164,LARGER_SAMPLE,LARGER_SAMPLE,,,,,POLICY_A,196,1.0,LARGER_SAMPLE
POLICY_B,71,213,213,128,6,79,0,0,0.028169014084507043,0.6009389671361502,134,0.6291079812206573,51,0.3984375,37,0.2890625,5,0.0390625,1,0.0078125,77,0.6015625,0.7269180630439026,0.49668874172185334,0.7984635737280622,0.48762225073346266,128,128,23.629999999999654,1.526029261653619,0.49999999999989375,1.0,-0.109375,-0.3203125,-0.375,LARGER_SAMPLE,LARGER_SAMPLE,,,,,POLICY_B,71,0.3622448979591837,MODERATE_SAMPLE
POLICY_C,88,264,263,151,14,98,1,0,0.053231939163498096,0.5741444866920152,165,0.6273764258555133,62,0.4105960264900662,56,0.3708609271523179,26,0.17218543046357615,9,0.059602649006622516,89,0.5894039735099338,1.0932943143008966,0.5604776579352737,1.0950323434271103,0.5250171350239902,151,151,17.850000000000364,1.499351191880523,0.49999999999990524,1.0,-0.039735099337748325,-0.06622516556291391,-0.23178807947019867,LARGER_SAMPLE,LARGER_SAMPLE,,,,,POLICY_C,88,0.4489795918367347,MODERATE_SAMPLE
POLICY_D,37,111,111,63,6,42,0,0,0.05405405405405406,0.5675675675675675,69,0.6216216216216216,21,0.3333333333333333,17,0.2698412698412698,4,0.06349206349206349,0,0.0,42,0.6666666666666666,0.7092480397372778,0.4613997113997134,0.7042608728540389,0.3654909437559324,63,63,20.649999999999636,1.1539415115662115,0.49999999999988604,1.0,-0.06349206349206349,-0.20634920634920634,-0.3333333333333333,MODERATE_SAMPLE,LARGER_SAMPLE,,,,,POLICY_D,37,0.18877551020408162,SMALL_SAMPLE
POLICY_E,154,462,457,278,21,159,4,0,0.045951859956236324,0.6083150984682714,299,0.6542669584245077,126,0.45323741007194246,95,0.34172661870503596,38,0.1366906474820144,21,0.07553956834532374,152,0.5467625899280576,1.0711288032409771,0.5836103064491567,0.984823158802164,0.7815221815015441,278,278,19.25,1.7236887212890137,0.49999999999989375,1.0,-0.1115107913669065,-0.17985611510791366,-0.22661870503597123,LARGER_SAMPLE,LARGER_SAMPLE,,,,,POLICY_E,157,0.8010204081632653,LARGER_SAMPLE
