avg_hold_days,avg_loss,avg_win,expectancy_points,hit_rate,instrument,long,max_consec_losses,max_dd_points,mean_boot_hi,mean_boot_lo,median_points,n,overnight_expectancy,overnight_share_of_mean,profit_factor,session_expectancy,short,total_points,tstat,use_cost,vol_scaled,weekend_expectancy,year
5.0,60.86666666666667,29.388235294117646,-1.853846153846155,0.6538461538461539,NQ,"{""n"": 20, ""expectancy_points"": 12.049999999999999, ""hit_rate"": 0.75, ""total_points"": 240.99999999999997}",2,366.74999999999994,16.74230769230769,-20.267307692307693,17.925,26,1.1153846153846154,-0.601659751037344,0.9120116830960203,-2.269230769230769,"{""n"": 6, ""expectancy_points"": -48.2, ""hit_rate"": 0.3333333333333333, ""total_points"": -289.2}",-48.20000000000003,-0.18649522390714643,True,False,0.8942307692307693,2010
5.0,46.83888888888889,44.05,-3.1423076923076927,0.4807692307692308,NQ,"{""n"": 30, ""expectancy_points"": -0.18333333333333407, ""hit_rate"": 0.5666666666666667, ""total_points"": -5.500000000000021}",5,423.55000000000007,14.251923076923077,-18.78173076923077,-6.2,52,-0.9855769230769231,0.3136474908200734,0.8707942909105285,-1.4567307692307692,"{""n"": 22, ""expectancy_points"": -7.177272727272728, ""hit_rate"": 0.36363636363636365, ""total_points"": -157.9}",-163.40000000000003,-0.37191527380526457,True,False,-1.1057692307692308,2011
5.0,37.047222222222224,41.43636363636364,13.736274509803922,0.6470588235294118,NQ,"{""n"": 33, ""expectancy_points"": 15.996969696969696, ""hit_rate"": 0.6666666666666666, ""total_points"": 527.9}",4,196.05000000000018,26.98627450980392,2.216666666666666,16.05,51,-0.803921568627451,-0.058525444293769185,2.0505361025717925,15.240196078431373,"{""n"": 18, ""expectancy_points"": 9.591666666666667, ""hit_rate"": 0.6111111111111112, ""total_points"": 172.65}",700.55,1.984171802000832,True,False,0.10784313725490197,2012
5.0,40.27,37.89259259259259,0.314423076923076,0.5192307692307693,NQ,"{""n"": 42, ""expectancy_points"": 9.567857142857141, ""hit_rate"": 0.5952380952380952, ""total_points"": 401.84999999999997}",3,334.15000000000003,13.905769230769229,-12.392307692307693,1.5499999999999998,52,0.6298076923076923,2.0030581039755413,1.0162403774521978,0.38461538461538464,"{""n"": 10, ""expectancy_points"": -38.55, ""hit_rate"": 0.2, ""total_points"": -385.5}",16.349999999999948,0.046095235770063615,True,False,0.8413461538461539,2013
5.0,65.60909090909091,46.98965517241379,-1.582352941176471,0.5686274509803921,NQ,"{""n"": 37, ""expectancy_points"": 8.205405405405404, ""hit_rate"": 0.6216216216216216, ""total_points"": 303.59999999999997}",3,403.49999999999994,17.711764705882352,-18.77843137254902,16.3,51,-2.730392156862745,1.725526641883519,0.9440903422474712,1.8480392156862746,"{""n"": 14, ""expectancy_points"": -27.45, ""hit_rate"": 0.42857142857142855, ""total_points"": -384.3}",-80.70000000000002,-0.1553277140779768,True,False,-1.1176470588235294,2014
5.0,73.3551724137931,100.8,3.674999999999999,0.4423076923076923,NQ,"{""n"": 31, ""expectancy_points"": 7.549999999999999, ""hit_rate"": 0.5806451612903226, ""total_points"": 234.04999999999998}",4,825.3499999999999,41.13653846153846,-30.017307692307693,-11.7,52,-2.5048076923076925,-0.6815803244374675,1.0898321816386969,6.8798076923076925,"{""n"": 21, ""expectancy_points"": -2.045238095238097, ""hit_rate"": 0.23809523809523808, ""total_points"": -42.95000000000003}",191.09999999999994,0.20655967360995728,True,False,-1.8990384615384615,2015
5.0,72.38269230769231,65.44,-4.822549019607842,0.49019607843137253,NQ,"{""n"": 31, ""expectancy_points"": 4.130645161290323, ""hit_rate"": 0.5806451612903226, ""total_points"": 128.05}",5,883.3499999999998,18.97156862745098,-30.19019607843137,-2.45,51,-0.09313725490196079,0.019312868469201064,0.8693110869045405,-4.029411764705882,"{""n"": 20, ""expectancy_points"": -18.699999999999996, ""hit_rate"": 0.35, ""total_points"": -373.99999999999994}",-245.94999999999993,-0.38600879537967653,True,False,-0.05392156862745098,2016
5.0,73.2,69.59838709677419,11.929807692307692,0.5961538461538461,NQ,"{""n"": 45, ""expectancy_points"": 24.16111111111111, ""hit_rate"": 0.6666666666666666, ""total_points"": 1087.25}",4,620.6500000000003,34.035576923076924,-13.781730769230768,16.55,52,3.331730769230769,0.2792778270331265,1.4035584179026803,9.298076923076923,"{""n"": 7, ""expectancy_points"": -66.69999999999999, ""hit_rate"": 0.14285714285714285, ""total_points"": -466.9}",620.35,0.979370708600521,True,False,3.4903846153846154,2017
5.0,184.87708333333333,157.78214285714287,-0.36826923076922774,0.5384615384615384,NQ,"{""n"": 28, ""expectancy_points"": -3.2267857142857133, ""hit_rate"": 0.5714285714285714, ""total_points"": -90.34999999999998}",6,1681.4500000000003,62.00192307692308,-56.425961538461536,13.675,52,-2.0961538461538463,5.69190600522198,0.9956840693704149,2.4278846153846154,"{""n"": 24, ""expectancy_points"": 2.966666666666672, ""hit_rate"": 0.5, ""total_points"": 71.20000000000013}",-19.149999999999842,-0.01227144197018074,True,False,-2.3028846153846154,2018
5.0,137.7125,107.425,13.141346153846158,0.6153846153846154,NQ,"{""n"": 39, ""expectancy_points"": 42.639743589743595, ""hit_rate"": 0.6923076923076923, ""total_points"": 1662.95}",6,1019.25,51.362500000000004,-23.752884615384612,35.3,52,6.086538461538462,0.46315943513572827,1.248107470273214,7.7548076923076925,"{""n"": 13, ""expectancy_points"": -75.35384615384615, ""hit_rate"": 0.38461538461538464, ""total_points"": -979.5999999999999}",683.3500000000001,0.6384455871486882,True,False,6.4951923076923075,2019
