avg_risk_usd_nq,avg_stop_points,cost_adjusted,entry_adverse_ticks,exit_adverse_ticks,expectancy_points,expectancy_r,long,max_consec_losses,max_dd_points,max_trades_one_day,median_r,n_ambiguous,n_days,n_entered,n_expired,n_resolved,n_setups,n_stop,n_target,n_time,p90_stop_points,p95_stop_points,profit_factor,short,win_rate,worst_day_points
300.8888888888889,15.044444444444444,True,0.0,,-0.6235294117647058,-0.04778695247624064,"{""n"": 35, ""win_rate"": 0.34285714285714286, ""expectancy_points"": -3.414285714285714, ""expectancy_r"": -0.15995330879107303}",6,204.92500000000007,1,-1.0083333333333333,5,85,90,19,85,114,52,33,0,26.25,32.75,0.9352197029884496,"{""n"": 50, ""win_rate"": 0.42, ""expectancy_points"": 1.33, ""expectancy_r"": 0.030729496944142037}",0.38823529411764707,-38.95
305.8888888888889,15.294444444444444,True,1.0,,-0.9936046511627906,-0.08800086798084744,"{""n"": 35, ""win_rate"": 0.34285714285714286, ""expectancy_points"": -3.4499999999999997, ""expectancy_r"": -0.1594709031393605}",6,206.55000000000007,1,-1.0084210526315789,4,86,90,19,86,114,54,32,0,26.5,33.0,0.8990310764504313,"{""n"": 51, ""win_rate"": 0.39215686274509803, ""expectancy_points"": 0.692156862745098, ""expectancy_r"": -0.03895280463676986}",0.37209302325581395,-39.2
310.8888888888889,15.544444444444444,True,2.0,,-1.0735632183908046,-0.09827182411584769,"{""n"": 36, ""win_rate"": 0.3333333333333333, ""expectancy_points"": -3.5680555555555555, ""expectancy_r"": -0.1832716228736637}",6,214.62500000000006,1,-1.0083333333333333,3,87,90,19,87,114,55,32,0,26.75,33.25,0.8921789321789322,"{""n"": 51, ""win_rate"": 0.39215686274509803, ""expectancy_points"": 0.6872549019607842, ""expectancy_r"": -0.03827196616915404}",0.367816091954023,-39.45
305.8888888888889,15.294444444444444,True,1.0,1.0,-1.2436046511627905,-0.11079265063132536,"{""n"": 35, ""win_rate"": 0.34285714285714286, ""expectancy_points"": -3.6999999999999997, ""expectancy_r"": -0.18023810349213257}",6,220.05000000000004,1,-1.0189473684210526,4,86,90,19,86,114,54,32,0,26.5,33.0,0.8756106071179345,"{""n"": 51, ""win_rate"": 0.39215686274509803, ""expectancy_points"": 0.4421568627450981, ""expectancy_r"": -0.06313400651116355}",0.37209302325581395,-39.45
