label,opportunities,entry_rows,triggered_n,resolved_n,ambiguous_n,invalid_n,expired_n,untriggered_n,ambiguity_pct,resolved_rate,valid_risk_n,valid_risk_rate,stop_n,stop_rate,r1_n,r1_rate,r2_n,r2_rate,r3_n,r3_rate,opposite_n,opposite_rate,mean_mfe_r,median_mfe_r,mean_mae_r,median_mae_r,n_mfe,n_mae,median_risk_distance,median_rr_to_opposite,median_entry_depth,median_max_retrace_depth,theoretical_1r_expectancy,theoretical_2r_expectancy,theoretical_3r_expectancy,sample_quality,sample_quality_triggered,session,n_setups,sweep_rate,confirmation_rate,swept_side
Asia,99,297,295,172,7,117,1,0,0.023728813559322035,0.5830508474576271,179,0.6067796610169491,78,0.45348837209302323,64,0.37209302325581395,34,0.19767441860465115,18,0.10465116279069768,94,0.5465116279069767,1.2654240461353845,0.7151816015147188,1.072281281243903,0.8080608909157823,172,172,15.070000000000164,3.044560961277663,0.49999999999988604,1.0,-0.08139534883720928,-0.05813953488372092,-0.1395348837209302,LARGER_SAMPLE,LARGER_SAMPLE,Asia,99,1.0,1.0,
Asia_high,49,147,145,86,6,54,1,0,0.041379310344827586,0.593103448275862,92,0.6344827586206897,36,0.4186046511627907,23,0.26744186046511625,9,0.10465116279069768,6,0.06976744186046512,50,0.5813953488372093,1.0131084677683695,0.5629088601439036,0.7687890961615955,0.5132237844304947,86,86,25.184999999999945,3.8931116389548053,0.49999999999988604,1.0,-0.15116279069767447,-0.20930232558139536,-0.2093023255813954,MODERATE_SAMPLE,LARGER_SAMPLE,Asia,49,,,high
Asia_low,50,150,150,86,1,63,0,0,0.006666666666666667,0.5733333333333334,87,0.58,42,0.4883720930232558,41,0.47674418604651164,25,0.29069767441860467,12,0.13953488372093023,44,0.5116279069767442,1.5177396245023997,0.9174330853300183,1.3757734663262107,0.8839731483893933,86,86,13.859999999999673,2.8083299636070342,0.49999999999988326,0.8872727272725818,-0.011627906976744151,0.09302325581395354,-0.06976744186046513,MODERATE_SAMPLE,LARGER_SAMPLE,Asia,50,,,low
London,94,282,279,172,16,91,3,0,0.05734767025089606,0.6164874551971327,188,0.6738351254480287,75,0.436046511627907,61,0.3546511627906977,16,0.09302325581395349,7,0.040697674418604654,97,0.563953488372093,0.9223398184183007,0.5867849096238336,0.8014744837037837,0.6048295244542075,172,172,21.06999999999971,1.1817406227257514,0.4999999999997594,0.8992248062018154,-0.08139534883720928,-0.25,-0.313953488372093,LARGER_SAMPLE,LARGER_SAMPLE,London,97,0.9690721649484536,1.0,
London_high,49,147,144,88,7,49,3,0,0.04861111111111111,0.6111111111111112,95,0.6597222222222222,24,0.2727272727272727,29,0.32954545454545453,4,0.045454545454545456,3,0.03409090909090909,64,0.7272727272727273,0.7901490903333779,0.5196872193477675,0.6187740818247883,0.34860585186377824,88,88,24.9350000000004,0.9993176390310635,0.49999999999960465,1.0,0.05681818181818182,-0.1818181818181818,-0.17045454545454544,MODERATE_SAMPLE,LARGER_SAMPLE,London,49,,,high
London_low,45,135,135,84,9,42,0,0,0.06666666666666667,0.6222222222222222,93,0.6888888888888889,51,0.6071428571428571,32,0.38095238095238093,12,0.14285714285714285,4,0.047619047619047616,33,0.39285714285714285,1.060825343078696,0.7360595417972737,0.992874904719874,1.0897963319484716,84,84,15.4050000000002,1.7852474323062395,0.4999999999997594,0.7948717948719622,-0.22619047619047616,-0.3214285714285714,-0.46428571428571425,MODERATE_SAMPLE,LARGER_SAMPLE,London,45,,,low
