avg_hold_days,avg_loss,avg_win,expectancy_points,hit_rate,hold,long,max_consec_losses,max_dd_points,mean_boot_hi,mean_boot_lo,median_points,n,overnight_expectancy,overnight_share_of_mean,profit_factor,session_expectancy,short,side,total_points,tstat,use_cost,vol_scaled,weekend_expectancy
1.0,17.95453183520599,17.227949231796927,0.6429872881355937,0.5286016949152542,hold_1,"{""n"": 2832, ""expectancy_points"": 0.6429872881355937, ""hit_rate"": 0.5286016949152542, ""total_points"": 1820.9400000000014}",9,792.149999999996,1.702662429378581,-0.38826271186440786,0.92,2832,0.0,0.0,1.075969677879621,1.2229872881355932,"{""n"": 0}",bullish,1820.9400000000014,1.2186108693066473,True,False,0.0
1.0,22.09451859398879,21.52714285714286,1.0171257485029945,0.5298203592814371,hold_1,"{""n"": 4175, ""expectancy_points"": 1.0171257485029945, ""hit_rate"": 0.5298203592814371, ""total_points"": 4246.500000000002}",9,1130.0599999999977,2.1690419161677297,-0.14970059880240003,1.17,4175,0.0,0.0,1.0979098275043957,1.597125748502994,"{""n"": 0}",always_long,4246.500000000002,1.8373350069678356,True,False,0.0
1.0,14.503429951690821,13.590905172413793,0.3436902050113899,0.5284738041002278,hold_1,"{""n"": 2195, ""expectancy_points"": 0.3436902050113899, ""hit_rate"": 0.5284738041002278, ""total_points"": 754.4000000000009}",9,775.550000000009,1.283895216400959,-0.6172437357630819,0.67,2195,0.0,0.0,1.0502563111840946,0.9236902050113895,"{""n"": 0}",bullish_train,754.4000000000009,0.7041114537796753,True,False,0.0
1.0,29.860833333333332,29.747151335311575,1.6743171114599695,0.5290423861852434,hold_1,"{""n"": 637, ""expectancy_points"": 1.6743171114599695, ""hit_rate"": 0.5290423861852434, ""total_points"": 1066.5400000000006}",7,792.1500000000007,4.326593406593447,-1.7416954474097275,2.42,637,0.0,0.0,1.1190567354114922,2.2543171114599687,"{""n"": 0}",bullish_holdout,1066.5400000000006,1.0236851191463017,True,False,0.0
3.0,33.82957337883959,29.850036188178528,3.478127208480566,0.5858657243816254,hold_3,"{""n"": 2830, ""expectancy_points"": 3.478127208480566, ""hit_rate"": 0.5858657243816254, ""total_points"": 9843.100000000002}",15,2144.729999999996,5.13625441696119,1.9983568904594315,4.67,2830,0.28886925795053003,0.08305310318903596,1.248260579404998,3.769257950530035,"{""n"": 0}",bullish,9843.100000000002,3.855865031048503,True,False,0.1855123674911661
3.0,40.006487414187646,36.636082474226804,4.531790079079799,0.5811167026120297,hold_3,"{""n"": 4173, ""expectancy_points"": 4.531790079079799, ""hit_rate"": 0.5811167026120297, ""total_points"": 18911.160000000003}",16,3054.4699999999975,5.995365444523691,2.509983225497309,5.42,4173,0.33710759645339083,0.07438729300582302,1.2704246765470246,4.774682482626408,"{""n"": 0}",always_long,18911.160000000003,4.948853723504474,True,False,0.21962616822429906
3.0,27.526369636963697,23.41727838258165,2.320341685649203,0.585876993166287,hold_3,"{""n"": 2195, ""expectancy_points"": 2.320341685649203, ""hit_rate"": 0.585876993166287, ""total_points"": 5093.1500000000015}",14,2144.729999999996,3.8772892938497234,0.8014350797266986,4.17,2195,-0.014236902050113895,-0.0061356920569784895,1.2035511902378238,2.9145785876993164,"{""n"": 0}",bullish_train,5093.1500000000015,2.7414576907144186,True,False,0.017084282460136675
3.0,55.6151711026616,52.08801075268817,7.480236220472442,0.5858267716535434,hold_3,"{""n"": 635, ""expectancy_points"": 7.480236220472442, ""hit_rate"": 0.5858267716535434, ""total_points"": 4749.95}",15,1945.979999999996,12.173543307086673,2.2566141732283453,13.67,635,1.3366141732283465,0.17868609143254138,1.324743159640632,6.723622047244095,"{""n"": 0}",bullish_holdout,4749.95,2.717124370164559,True,False,0.7677165354330708
5.0,43.979247121346326,38.62776927604473,5.649225601131542,0.6007779349363508,hold_5,"{""n"": 2828, ""expectancy_points"": 5.649225601131542, ""hit_rate"": 0.6007779349363508, ""total_points"": 15976.01}",19,3553.479999999996,7.803663366336209,3.26264497878366,7.795,2828,0.49036421499292787,0.08680202378441175,1.3217559534179197,5.7388613861386135,"{""n"": 0}",bullish,15976.01,4.8644793227456296,True,False,0.2773161244695898
5.0,51.1862874251497,47.5544462215114,8.020275713258211,0.5996163989450971,hold_5,"{""n"": 4171, ""expectancy_points"": 8.020275713258211, ""hit_rate"": 0.5996163989450971, ""total_points"": 33452.57}",17,4933.240000000318,10.252474226803004,5.897763126348022,8.67,4171,0.67537760728842,0.08420877678456393,1.3913446364167048,7.924898105969792,"{""n"": 0}",always_long,33452.57,6.95237942485041,True,False,0.43946295852313594
5.0,36.19940298507463,29.754592145015106,3.583325740318907,0.6031890660592255,hold_5,"{""n"": 2195, ""expectancy_points"": 3.583325740318907, ""hit_rate"": 0.6031890660592255, ""total_points"": 7865.4000000000015}",19,3553.479999999996,5.744487471526264,1.3120273348519973,7.17,2195,-0.09476082004555808,-0.02644493604902484,1.2494601911595677,4.258086560364465,"{""n"": 0}",bullish_train,7865.4000000000015,3.3352609770837396,True,False,-0.05979498861047836
5.0,70.24375968992248,69.956,12.812969984202212,0.5924170616113744,hold_5,"{""n"": 633, ""expectancy_points"": 12.812969984202212, ""hit_rate"": 0.5924170616113744, ""total_points"": 8110.61}",18,3138.139999999996,18.821658767772572,5.975292259083787,17.42,633,2.519352290679305,0.19662516136270886,1.4475340301684776,10.873617693522906,"{""n"": 0}",bullish_holdout,8110.61,3.560238190774181,True,False,1.4462875197472354
