median_mae_r,median_mfe_r,n,r2_rate,reclaim_speed,resolved_n,stop_rate,theoretical_2r_expectancy
,,441,,same_bar,0,,
1.5147540983606802,0.9929328621909796,130,0.26666666666666666,1,15,0.6666666666666666,-0.1333333333333333
1.1126444036594683,1.0236227261513218,58,0.0,2,14,0.6428571428571429,-0.6428571428571429
1.1342582550657618,1.0532686184938695,36,0.3,3_plus,10,0.6,0.0
