block,candidate_id,e1r,e2r,e3r,median_mae_r,median_mfe_r,r1_rate,r2_rate,r3_rate,resolved_n,stop_rate,vwap_hit_rate
1,V2_BAND_RECLAIM_2SIG_RETEST,-0.03076923076923077,0.015384615384615441,0.03076923076923077,1.1923673284710867,1.3726222292929051,0.6307692307692307,0.3384615384615385,0.23076923076923078,65,0.6615384615384615,0.28703703703703703
2,V2_BAND_RECLAIM_2SIG_RETEST,0.02777777777777779,0.29166666666666663,0.33333333333333326,1.0908022300270352,1.7627817548221745,0.6527777777777778,0.4583333333333333,0.3194444444444444,72,0.625,0.4065040650406504
3,V2_BAND_RECLAIM_2SIG_RETEST,0.0,0.06349206349206349,-0.031746031746031744,1.199317765514289,1.7306900771546059,0.6984126984126984,0.38095238095238093,0.2222222222222222,63,0.6984126984126984,0.3883495145631068
4,V2_BAND_RECLAIM_2SIG_RETEST,0.07042253521126762,0.352112676056338,0.47887323943661964,1.0785270378783531,1.77240441363276,0.647887323943662,0.4647887323943662,0.352112676056338,71,0.5774647887323944,0.3548387096774194
1,V3_BAND_RECLAIM_EXT_MID,-0.09090909090909094,0.06493506493506496,0.025974025974025983,1.152866242038204,1.5945945945948206,0.6233766233766234,0.38961038961038963,0.24675324675324675,77,0.7142857142857143,0.38235294117647056
2,V3_BAND_RECLAIM_EXT_MID,0.03960396039603964,0.12871287128712872,0.27722772277227714,1.0847457627118566,1.3050847457625603,0.6237623762376238,0.3564356435643564,0.2871287128712871,101,0.5841584158415841,0.427536231884058
3,V3_BAND_RECLAIM_EXT_MID,-0.21176470588235285,-0.0235294117647058,-0.2705882352941176,1.1839080459770763,1.0963855421685849,0.5176470588235295,0.35294117647058826,0.15294117647058825,85,0.7294117647058823,0.43243243243243246
4,V3_BAND_RECLAIM_EXT_MID,0.01941747572815533,0.1165048543689321,0.12621359223300976,1.1126760563379199,1.4269662921349715,0.6213592233009708,0.3592233009708738,0.24271844660194175,103,0.6019417475728155,0.43795620437956206
1,V5_TWO_BAR_RETURN,0.025974025974025983,0.025974025974025983,-0.025974025974025983,1.0322580645161006,1.3461538461538933,0.5974025974025974,0.2987012987012987,0.18181818181818182,77,0.5714285714285714,0.3597122302158273
2,V5_TWO_BAR_RETURN,-0.021276595744680882,0.0851063829787233,0.0957446808510638,1.0774512935164484,1.1805084745762544,0.5531914893617021,0.32978723404255317,0.22340425531914893,94,0.574468085106383,0.4268292682926829
3,V5_TWO_BAR_RETURN,0.0,0.011235955056179803,-0.14606741573033705,1.1006493506493618,1.2116991643453854,0.6179775280898876,0.3146067415730337,0.15730337078651685,89,0.6179775280898876,0.4189189189189189
4,V5_TWO_BAR_RETURN,-0.02564102564102566,0.06837606837606836,-0.05128205128205132,1.0833333333333228,1.2023809523810478,0.5384615384615384,0.3162393162393162,0.17094017094017094,117,0.5641025641025641,0.4602272727272727
