block,candidate_id,e2r,r2_rate,resolved_n,stop_rate
1,C4_P3_BREAKOUT_RETEST,0.2272727272727273,0.36363636363636365,22,0.5
2,C4_P3_BREAKOUT_RETEST,-0.3529411764705882,0.23529411764705882,17,0.8235294117647058
3,C4_P3_BREAKOUT_RETEST,0.0,0.375,16,0.75
4,C4_P3_BREAKOUT_RETEST,0.0,0.46153846153846156,13,0.9230769230769231
1,C3_P3_CONFIRM_CLOSE,0.1499999999999999,0.35,40,0.55
2,C3_P3_CONFIRM_CLOSE,-0.23076923076923078,0.21153846153846154,52,0.6538461538461539
3,C3_P3_CONFIRM_CLOSE,-0.13157894736842107,0.23684210526315788,38,0.6052631578947368
4,C3_P3_CONFIRM_CLOSE,-0.43243243243243246,0.13513513513513514,37,0.7027027027027027
1,C1_P1_CONFIRM_CLOSE_RVOL15,0.16216216216216217,0.35135135135135137,37,0.5405405405405406
2,C1_P1_CONFIRM_CLOSE_RVOL15,-0.196078431372549,0.21568627450980393,51,0.6274509803921569
3,C1_P1_CONFIRM_CLOSE_RVOL15,-0.3076923076923077,0.15384615384615385,39,0.6153846153846154
4,C1_P1_CONFIRM_CLOSE_RVOL15,-0.411764705882353,0.14705882352941177,34,0.7058823529411765
