e_r,family,hold_e_r,n,value
-0.09286293376260162,trigger,-0.048951637870690394,782,T0_exact
-0.0971984210808466,trigger,-0.04851247138238798,822,T1_two_ticks
-0.09828201391510372,trigger,-0.04064429405667241,939,T2_five_pct_width
-0.18989924463705665,fail_frac,-0.3561513563073194,45,0.0
-0.09286293376260162,fail_frac,-0.048951637870690394,782,0.1
-0.09820761139560553,fail_frac,-0.057585924583494964,1091,0.25
