absorption_proxy,aggressive_buy,aggressive_sell,ask_slope_lots_per_pt,bid_ask_slope_ratio,bid_slope_lots_per_pt,book_imbalance_top1,book_imbalance_top10,book_imbalance_top3,book_imbalance_top5,event_id,executed_to_displayed,feature_cutoff_ts,first_through_ts,has_book,imb_for_reversal_top1,imb_for_reversal_top10,imb_for_reversal_top3,imb_for_reversal_top5,label_300s,n_book_updates_le_cutoff,n_future_records_ignored,n_trades_le_cutoff,ofi_for_reversal,ofi_top1_proxy,persistence_top1_swept_side,price_impact_per_lot,price_range_feature_window,side,signed_flow_for_reversal,slope_for_reversal,trade_imbalance,trading_date,withdrawal_proxy
131.50877192982455,1322.0,2426.0,13.777777777777779,0.7258064516129031,10.0,0.6666666666666666,0.44642857142857145,0.5384615384615384,0.4444444444444444,NQ|NQU5|PDL|2025-06-17|1750181340,1213.0,1750181400,1750181398,True,0.6666666666666666,0.44642857142857145,0.5384615384615384,0.4444444444444444,AMBIGUOUS,37898,38072,2330,1.0,1.0,0.6666666666666666,0.0076040554962646745,28.5,pdl_sweep,-1104.0,0.4205607476635514,-1104.0,2025-06-17,0.33333333333333337
183.2,4140.0,5478.0,9.2,1.1111111111111112,10.222222222222221,0.6666666666666666,0.5,0.4166666666666667,0.4090909090909091,NQ|NQU5|PDL|2025-06-18|1750273020,2739.0,1750273080,1750273029,True,0.6666666666666666,0.5,0.4166666666666667,0.4090909090909091,AMBIGUOUS,77302,48440,6652,1.0,1.0,2.0,0.0054585152838427945,52.5,pdl_sweep,-1338.0,0.5263157894736842,-1338.0,2025-06-18,0.0
274.9655172413793,7976.0,7972.0,17.333333333333332,0.6230769230769232,10.8,0.5,0.4090909090909091,0.36363636363636365,0.34782608695652173,NQ|NQU5|PDH|2025-06-20|1750426260,7976.0,1750426320,1750426275,True,0.5,0.5909090909090908,0.6363636363636364,0.6521739130434783,REVERSAL,113850,45652,11464,-1.0,1.0,0.3333333333333333,0.0036368196639077,58.0,pdh_sweep,-4.0,0.6161137440758293,4.0,2025-06-20,0.6666666666666667
216.61802575107296,6068.0,6550.0,16.444444444444443,0.8378378378378379,13.777777777777779,0.6,0.45588235294117646,0.5789473684210527,0.45161290322580644,NQ|NQU5|PDL|2025-06-20|1750430520,2183.3333333333335,1750430580,1750430521,True,0.6,0.45588235294117646,0.5789473684210527,0.45161290322580644,REVERSAL,122780,45058,8460,2.0,2.0,1.5,0.004616420985893169,58.25,pdl_sweep,-482.0,0.4558823529411765,-482.0,2025-06-20,0.0
226.0,5362.0,6390.0,12.88888888888889,1.0689655172413794,13.777777777777779,0.3333333333333333,0.5166666666666667,0.4375,0.42857142857142855,NQ|NQU5|PDL|2025-06-23|1750685640,6390.0,1750685700,1750685654,True,0.3333333333333333,0.5166666666666667,0.4375,0.42857142857142855,REVERSAL,110751,54383,8474,-1.0,-1.0,1.0,0.004424778761061947,52.0,pdl_sweep,-1028.0,0.5166666666666667,-1028.0,2025-06-23,0.0
406.5934065934066,4570.0,4680.0,14.666666666666666,1.3333333333333335,19.555555555555557,0.6666666666666666,0.5714285714285714,0.625,0.5,NQ|NQU5|PDH|2025-06-24|1750771800,4570.0,1750771860,1750771740,True,0.33333333333333337,0.4285714285714286,0.375,0.5,CONTINUATION,79171,59368,6716,-3.0,3.0,0.3333333333333333,0.0024594594594594594,22.75,pdh_sweep,110.0,0.42857142857142855,-110.0,2025-06-24,0.6666666666666667
335.8848920863309,5948.0,5724.0,22.666666666666668,0.8235294117647058,18.666666666666668,0.4,0.45161290322580644,0.5714285714285714,0.5263157894736842,NQ|NQU5|PDH|2025-06-25|1750858200,1982.6666666666667,1750858260,1750858140,True,0.6,0.5483870967741935,0.4285714285714286,0.4736842105263158,NEITHER,74982,49740,8106,8.0,-8.0,3.0,0.0029772104180945855,34.75,pdh_sweep,-224.0,0.5483870967741935,224.0,2025-06-25,0.0
306.8041237113402,3398.0,4042.0,14.666666666666666,1.0606060606060606,15.555555555555555,0.6666666666666666,0.5147058823529411,0.4666666666666667,0.5,NQ|NQU5|PDH|2025-06-26|1750944600,3398.0,1750944660,1750944540,True,0.33333333333333337,0.4852941176470589,0.5333333333333333,0.5,REVERSAL,66728,56997,5674,-0.0,0.0,1.0,0.0032594086021505374,24.25,pdh_sweep,644.0,0.4852941176470588,-644.0,2025-06-26,0.0
355.51020408163265,4454.0,4256.0,24.444444444444443,0.7272727272727274,17.77777777777778,0.5,0.42105263157894735,0.6428571428571429,0.5,NQ|NQU5|PDH|2025-06-27|1751031000,2227.0,1751031060,1751030940,True,0.5,0.5789473684210527,0.3571428571428571,0.5,REVERSAL,68064,55631,6294,2.0,-2.0,2.0,0.0028128587830080366,24.5,pdh_sweep,-198.0,0.5789473684210527,198.0,2025-06-27,0.0
412.96,4924.0,5400.0,15.555555555555555,0.9714285714285714,15.11111111111111,0.6666666666666666,0.4927536231884058,0.6,0.5357142857142857,NQ|NQU5|PDH|2025-06-30|1751290200,4924.0,1751290260,1751290140,True,0.33333333333333337,0.5072463768115942,0.4,0.4642857142857143,REVERSAL,73248,48478,7268,-1.0,1.0,0.5,0.0024215420379697793,25.0,pdh_sweep,476.0,0.5072463768115942,-476.0,2025-06-30,0.5
277.3636363636364,2840.0,3262.0,7.636363636363637,1.9788359788359786,15.11111111111111,0.5,0.6181818181818182,0.3333333333333333,0.5294117647058824,NQ|NQU5|PDL|2025-07-01|1751377440,3262.0,1751377500,1751377447,True,0.5,0.6181818181818182,0.3333333333333333,0.5294117647058824,REVERSAL,40859,19827,4138,0.0,0.0,0.5,0.003605375286791216,22.0,pdl_sweep,-422.0,0.6642984014209591,-422.0,2025-07-01,0.5
