bucket,expectancy_r,feature,mean_x,n,win_rate
1,0.1408978649897997,break_distance,0.7516778523489933,149,0.5838926174496645
2,0.017722028930309983,break_distance,1.9798657718120805,149,0.5033557046979866
3,0.057380648112407576,break_distance,3.780201342281879,149,0.5369127516778524
4,0.04851837938804345,break_distance,6.226510067114094,149,0.5369127516778524
5,0.061563203366254544,break_distance,12.16,150,0.5333333333333333
