side,label,opportunities,entry_rows,triggered_n,resolved_n,ambiguous_n,invalid_n,expired_n,untriggered_n,ambiguity_pct,resolved_rate,valid_risk_n,valid_risk_rate,stop_n,stop_rate,r1_n,r1_rate,r2_n,r2_rate,r3_n,r3_rate,opposite_n,opposite_rate,mean_mfe_r,median_mfe_r,mean_mae_r,median_mae_r,n_mfe,n_mae,median_risk_distance,median_rr_to_opposite,median_entry_depth,median_max_retrace_depth,theoretical_1r_expectancy,theoretical_2r_expectancy,theoretical_3r_expectancy,sample_quality,sample_quality_triggered,liquidity_events,sweeps,confirmations,fvgs,median_sweep_to_choch,median_choch_to_fvg,median_fvg_to_entry,timing_sweep_to_choch,timing_choch_to_fvg,timing_fvg_to_entry,n_setups
5m,5m_all_modes,90,270,270,169,14,87,0,0,0.05185185185185185,0.6259259259259259,183,0.6777777777777778,95,0.5621301775147929,76,0.44970414201183434,37,0.21893491124260356,18,0.10650887573964497,74,0.4378698224852071,1.370657537130162,0.8739737274220135,1.132629661496748,1.029494236161597,169,169,14.050000000000182,2.6418540208927315,0.49999999999993716,0.8499667091244834,-0.11242603550295854,-0.12426035502958577,-0.24260355029585795,LARGER_SAMPLE,LARGER_SAMPLE,91,90,90,90,19.5,8.0,2.5,"{""n"": 90, ""median"": 19.5, ""p75"": 34.75, ""p90"": 51.0, ""p95"": 60.599999999999966, ""max"": 91.0}","{""n"": 90, ""median"": 8.0, ""p75"": 15.75, ""p90"": 22.0, ""p95"": 26.549999999999997, ""max"": 56.0}","{""n"": 270, ""median"": 2.5, ""p75"": 14.0, ""p90"": 243.39999999999998, ""p95"": 1147.0, ""max"": 15406.0}",91
15m,15m_all_modes,103,309,304,175,9,121,4,0,0.029605263157894735,0.5756578947368421,184,0.6052631578947368,58,0.3314285714285714,49,0.28,13,0.07428571428571429,7,0.04,117,0.6685714285714286,0.8265957767327801,0.580952380952363,0.7478375930174384,0.3546902654867089,175,175,26.805000000000064,1.1901836901836904,0.4999999999997594,1.0,-0.05142857142857138,-0.18285714285714283,-0.2114285714285714,LARGER_SAMPLE,LARGER_SAMPLE,105,103,103,103,21.0,11.0,4.0,"{""n"": 103, ""median"": 21.0, ""p75"": 44.0, ""p90"": 68.8, ""p95"": 78.0, ""max"": 157.0}","{""n"": 103, ""median"": 11.0, ""p75"": 20.0, ""p90"": 29.799999999999997, ""p95"": 53.49999999999987, ""max"": 124.0}","{""n"": 304, ""median"": 4.0, ""p75"": 36.75, ""p90"": 128.0, ""p95"": 380.0, ""max"": 5582.0}",105
