decile,feature,kind,mean_feature,n,p_reversal,quartile
10,price_impact_per_lot,decile,0.012672698613599813,2,1.0,
,bid_ask_slope_ratio,,0.5503456670480318,5,0.4,1
,bid_ask_slope_ratio,,0.7382759973474573,5,0.4,2
,bid_ask_slope_ratio,,1.0735016835016835,5,0.4,3
,bid_ask_slope_ratio,,1.3911899504004768,5,0.6,4
1,bid_ask_slope_ratio,decile,0.5054947433518863,2,0.5,
2,bid_ask_slope_ratio,decile,0.5668810521751699,2,0.5,
3,bid_ask_slope_ratio,decile,0.6217810550198526,2,0.5,
4,bid_ask_slope_ratio,decile,0.722596585804133,2,0.0,
5,bid_ask_slope_ratio,decile,0.8048007246376812,2,0.5,
6,bid_ask_slope_ratio,decile,0.9259259259259258,2,0.5,
7,bid_ask_slope_ratio,decile,1.1467171717171718,2,0.5,
8,bid_ask_slope_ratio,decile,1.2247474747474747,2,0.5,
9,bid_ask_slope_ratio,decile,1.344573555099871,2,1.0,
10,bid_ask_slope_ratio,decile,1.5197649572649572,2,0.0,
