label,opportunities,entry_rows,triggered_n,resolved_n,ambiguous_n,invalid_n,expired_n,untriggered_n,ambiguity_pct,resolved_rate,valid_risk_n,valid_risk_rate,stop_n,stop_rate,r1_n,r1_rate,r2_n,r2_rate,r3_n,r3_rate,opposite_n,opposite_rate,mean_mfe_r,median_mfe_r,mean_mae_r,median_mae_r,n_mfe,n_mae,median_risk_distance,median_rr_to_opposite,median_entry_depth,median_max_retrace_depth,theoretical_1r_expectancy,theoretical_2r_expectancy,theoretical_3r_expectancy,sample_quality,sample_quality_triggered,expiry_candidate,confirmation_timeout_bars,fvg_timeout_bars,retrace_timeout_bars,setups_retained,expiry_counts,setups_expired
expiry_p75,88,264,263,200,15,49,0,0,0.057034220532319393,0.7604562737642585,215,0.8174904942965779,111,0.555,82,0.41,37,0.185,18,0.09,89,0.445,1.2466873155473026,0.7591512023448524,1.1348489131056074,1.0343359288425082,200,200,15.4399999999996,2.3975468975469885,0.499999999999903,0.8872727272725818,-0.14500000000000007,-0.18500000000000005,-0.28500000000000003,LARGER_SAMPLE,LARGER_SAMPLE,p75,40,18,23,88,"{""RETAINED"": 88, ""EXPIRED_RETRACE"": 27, ""EXPIRED_FVG"": 33, ""EXPIRED_CONFIRMATION"": 48}",108
expiry_p90,143,429,428,268,16,145,0,0,0.037383177570093455,0.6261682242990654,284,0.6635514018691588,141,0.5261194029850746,95,0.35447761194029853,45,0.16791044776119404,23,0.08582089552238806,127,0.47388059701492535,1.1711814071975586,0.6747718019899733,1.100727130053444,1.028872822493816,268,268,16.029999999999745,2.195033116760195,0.49999999999977685,0.8992248062018154,-0.17164179104477612,-0.19029850746268656,-0.26865671641791045,LARGER_SAMPLE,LARGER_SAMPLE,p90,55,27,174,143,"{""RETAINED"": 143, ""EXPIRED_FVG"": 14, ""EXPIRED_CONFIRMATION"": 22, ""EXPIRED_RETRACE"": 17}",53
expiry_p95,165,495,494,297,19,179,0,0,0.038461538461538464,0.6012145748987854,316,0.6396761133603239,147,0.494949494949495,110,0.37037037037037035,48,0.16161616161616163,25,0.08417508417508418,150,0.5050505050505051,1.1630545017559282,0.7007604562737826,1.0325945984078178,0.9071183859916075,297,297,17.710000000000036,1.9719666449607138,0.49999999999988604,0.9899665551840309,-0.12457912457912462,-0.1717171717171717,-0.24242424242424243,LARGER_SAMPLE,LARGER_SAMPLE,p95,72,32,900,165,"{""RETAINED"": 165, ""EXPIRED_FVG"": 8, ""EXPIRED_CONFIRMATION"": 13, ""EXPIRED_RETRACE"": 10}",31
expiry_None,193,579,574,344,23,208,4,0,0.04006968641114982,0.5993031358885017,367,0.6393728222996515,153,0.44476744186046513,125,0.3633720930232558,50,0.14534883720930233,25,0.07267441860465117,191,0.5552325581395349,1.0938819322768427,0.6546782071163716,0.9368778824738434,0.6555534700997334,344,344,19.529999999999745,1.7828957309064388,0.4999999999998519,0.996527777777807,-0.08139534883720934,-0.15406976744186046,-0.22674418604651164,LARGER_SAMPLE,LARGER_SAMPLE,None,,,,196,"{""RETAINED"": 196}",0
