V0_NAIVE_2SIG_FADE,V1_BAND_RECLAIM_CLOSE,V2_BAND_RECLAIM_2SIG_RETEST,V3_BAND_RECLAIM_EXT_MID,V4_RECLAIM_CANDLE_BREAK,V5_TWO_BAR_RETURN,vwap_extension_event_id
"{""triggered"": true, ""entry_price"": 4381.0, ""risk_distance"": 2.600000000000364, ""outcome"": ""AMBIGUOUS_INTRABAR"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 4366.7, ""risk_distance"": 16.900000000000546, ""outcome"": ""EXPIRED_WITHOUT_EXIT"", ""vwap_hit"": true}","{""triggered"": false, ""entry_price"": null, ""risk_distance"": null, ""outcome"": ""NOT_TRIGGERED"", ""vwap_hit"": false}","{""triggered"": false, ""entry_price"": null, ""risk_distance"": null, ""outcome"": ""NOT_TRIGGERED"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 4359.5, ""risk_distance"": 24.100000000000364, ""outcome"": ""EXPIRED_WITHOUT_EXIT"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 4363.4, ""risk_distance"": 20.200000000000728, ""outcome"": ""EXPIRED_WITHOUT_EXIT"", ""vwap_hit"": true}",GC|2025-12-17|VWAP2S|above|1765985400
"{""triggered"": true, ""entry_price"": 4353.4, ""risk_distance"": 2.399999999999636, ""outcome"": ""AMBIGUOUS_INTRABAR"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 4357.4, ""risk_distance"": 6.399999999999636, ""outcome"": ""AMBIGUOUS_INTRABAR"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 4354.702555520613, ""risk_distance"": 3.7025555206128047, ""outcome"": ""3R_HIT"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 4354.7, ""risk_distance"": 3.699999999999818, ""outcome"": ""3R_HIT"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 4365.3, ""risk_distance"": 14.300000000000182, ""outcome"": ""EXPIRED_WITHOUT_EXIT"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 4365.3, ""risk_distance"": 14.300000000000182, ""outcome"": ""EXPIRED_WITHOUT_EXIT"", ""vwap_hit"": true}",GC|2025-12-17|VWAP2S|below|1765988400
"{""triggered"": true, ""entry_price"": 4344.1, ""risk_distance"": 6.100000000000364, ""outcome"": ""STOP_HIT"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 4344.9, ""risk_distance"": 6.899999999999636, ""outcome"": ""AMBIGUOUS_INTRABAR"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 4346.940465627945, ""risk_distance"": 8.940465627944832, ""outcome"": ""3R_HIT"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 4349.5, ""risk_distance"": 11.5, ""outcome"": ""3R_HIT"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 4354.3, ""risk_distance"": 16.300000000000182, ""outcome"": ""3R_HIT"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 4354.3, ""risk_distance"": 16.300000000000182, ""outcome"": ""3R_HIT"", ""vwap_hit"": true}",GC|2025-12-18|VWAP2S|below|1766068800
"{""triggered"": true, ""entry_price"": 4396.9, ""risk_distance"": 12.600000000000364, ""outcome"": ""STOP_HIT"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 4402.3, ""risk_distance"": 7.199999999999818, ""outcome"": ""AMBIGUOUS_INTRABAR"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 4393.396495486592, ""risk_distance"": 16.103504513407643, ""outcome"": ""2R_HIT"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 4394.4, ""risk_distance"": 15.100000000000364, ""outcome"": ""2R_HIT"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 4399.5, ""risk_distance"": 10.0, ""outcome"": ""3R_HIT"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 4402.0, ""risk_distance"": 7.5, ""outcome"": ""3R_HIT"", ""vwap_hit"": true}",GC|2025-12-18|VWAP2S|above|1766074200
"{""triggered"": true, ""entry_price"": 4360.1, ""risk_distance"": 2.600000000000364, ""outcome"": ""STOP_HIT"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 4360.5, ""risk_distance"": 3.0, ""outcome"": ""AMBIGUOUS_INTRABAR"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 4361.119044256561, ""risk_distance"": 3.61904425656121, ""outcome"": ""STOP_HIT"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 4360.75, ""risk_distance"": 3.25, ""outcome"": ""STOP_HIT"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 4363.6, ""risk_distance"": 6.100000000000364, ""outcome"": ""AMBIGUOUS_INTRABAR"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 4362.0, ""risk_distance"": 4.5, ""outcome"": ""STOP_HIT"", ""vwap_hit"": true}",GC|2025-12-19|VWAP2S|below|1766152200
"{""triggered"": true, ""entry_price"": 4358.3, ""risk_distance"": 2.300000000000182, ""outcome"": ""AMBIGUOUS_INTRABAR"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 4360.1, ""risk_distance"": 4.100000000000364, ""outcome"": ""STOP_HIT"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 4358.663853582033, ""risk_distance"": 2.6638535820329707, ""outcome"": ""AMBIGUOUS_INTRABAR"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 4358.9, ""risk_distance"": 2.899999999999636, ""outcome"": ""AMBIGUOUS_INTRABAR"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 4363.6, ""risk_distance"": 7.600000000000364, ""outcome"": ""STOP_HIT"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 4363.6, ""risk_distance"": 7.600000000000364, ""outcome"": ""STOP_HIT"", ""vwap_hit"": true}",GC|2025-12-19|VWAP2S|below|1766153400
"{""triggered"": true, ""entry_price"": 4356.0, ""risk_distance"": 0.3000000000001819, ""outcome"": ""AMBIGUOUS_INTRABAR"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 4358.1, ""risk_distance"": 2.4000000000005457, ""outcome"": ""AMBIGUOUS_INTRABAR"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 4357.922454069844, ""risk_distance"": 2.222454069844389, ""outcome"": ""AMBIGUOUS_INTRABAR"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 4358.049999999999, ""risk_distance"": 2.3499999999994543, ""outcome"": ""AMBIGUOUS_INTRABAR"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 4363.6, ""risk_distance"": 7.900000000000546, ""outcome"": ""STOP_HIT"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 4363.6, ""risk_distance"": 7.900000000000546, ""outcome"": ""STOP_HIT"", ""vwap_hit"": true}",GC|2025-12-19|VWAP2S|below|1766154000
"{""triggered"": true, ""entry_price"": 4366.7, ""risk_distance"": 3.100000000000364, ""outcome"": ""STOP_HIT"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 4366.4, ""risk_distance"": 3.4000000000005457, ""outcome"": ""AMBIGUOUS_INTRABAR"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 4366.6765163070395, ""risk_distance"": 3.12348369296069, ""outcome"": ""AMBIGUOUS_INTRABAR"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 4365.9, ""risk_distance"": 3.9000000000005457, ""outcome"": ""STOP_HIT"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 4358.1, ""risk_distance"": 11.699999999999818, ""outcome"": ""STOP_HIT"", ""vwap_hit"": true}","{""triggered"": true, ""entry_price"": 4358.1, ""risk_distance"": 11.699999999999818, ""outcome"": ""STOP_HIT"", ""vwap_hit"": true}",GC|2025-12-19|VWAP2S|above|1766154900
"{""triggered"": true, ""entry_price"": 4370.9, ""risk_distance"": 7.100000000000364, ""outcome"": ""STOP_HIT"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 4373.9, ""risk_distance"": 4.100000000000364, ""outcome"": ""STOP_HIT"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 4369.174636164868, ""risk_distance"": 8.825363835131611, ""outcome"": ""STOP_HIT"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 4370.7, ""risk_distance"": 7.300000000000182, ""outcome"": ""STOP_HIT"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 4370.1, ""risk_distance"": 7.899999999999636, ""outcome"": ""STOP_HIT"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 4370.1, ""risk_distance"": 7.899999999999636, ""outcome"": ""STOP_HIT"", ""vwap_hit"": false}",GC|2025-12-19|VWAP2S|above|1766156400
"{""triggered"": true, ""entry_price"": 4466.2, ""risk_distance"": 4.900000000000546, ""outcome"": ""STOP_HIT"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 4465.9, ""risk_distance"": 5.200000000000728, ""outcome"": ""STOP_HIT"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 4465.220511305539, ""risk_distance"": 5.879488694461543, ""outcome"": ""AMBIGUOUS_INTRABAR"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 4467.25, ""risk_distance"": 3.850000000000364, ""outcome"": ""AMBIGUOUS_INTRABAR"", ""vwap_hit"": false}","{""triggered"": false, ""entry_price"": null, ""risk_distance"": null, ""outcome"": ""NOT_TRIGGERED"", ""vwap_hit"": false}","{""triggered"": true, ""entry_price"": 4472.9, ""risk_distance"": null, ""outcome"": ""NO_RISK_PLAN"", ""vwap_hit"": false}",GC|2025-12-22|VWAP2S|above|1766418300
