avg_risk_usd_nq,avg_stop_points,bucket,cost_adjusted,expectancy_points,expectancy_r,long,max_consec_losses,max_dd_points,max_trades_one_day,median_r,n_ambiguous,n_days,n_entered,n_expired,n_resolved,n_setups,n_stop,n_target,n_time,p90_stop_points,p95_stop_points,profit_factor,short,win_rate,worst_day_points
293.2,14.66,le_60s,True,0.18732394366197191,-0.03328965305462473,"{""n"": 29, ""win_rate"": 0.3793103448275862, ""expectancy_points"": -1.2129310344827584, ""expectancy_r"": -0.06896307960340727}",6,146.475,1,-1.0084210526315789,4,71,75,0,71,75,43,28,0,26.5,33.0,1.0207942464040025,"{""n"": 42, ""win_rate"": 0.40476190476190477, ""expectancy_points"": 1.1541666666666668, ""expectancy_r"": -0.008658001389989173}",0.39436619718309857,-39.2
383.75,19.1875,61_180s,True,-4.283333333333333,-0.17901845195021332,"{""n"": 5, ""win_rate"": 0.2, ""expectancy_points"": -11.274999999999999, ""expectancy_r"": -0.5149311499309337}",4,95.075,1,-1.0085454545454544,0,12,12,0,12,12,8,4,0,29.25,36.75,0.6774395983683714,"{""n"": 7, ""win_rate"": 0.42857142857142855, ""expectancy_points"": 0.7107142857142849, ""expectancy_r"": 0.060919189464586916}",0.3333333333333333,-36.95
311.6666666666667,15.583333333333334,181_300s,True,-15.783333333333333,-1.0187626186906547,"{""n"": 1, ""win_rate"": 0.0, ""expectancy_points"": -29.2, ""expectancy_r"": -1.006896551724138}",3,47.349999999999994,1,-1.017391304347826,0,3,3,0,3,3,3,0,0,,,0.0,"{""n"": 2, ""win_rate"": 0.0, ""expectancy_points"": -9.075, ""expectancy_r"": -1.024695652173913}",0.0,-29.2
