label,opportunities,entry_rows,triggered_n,resolved_n,ambiguous_n,invalid_n,expired_n,untriggered_n,ambiguity_pct,resolved_rate,valid_risk_n,valid_risk_rate,stop_n,stop_rate,r1_n,r1_rate,r2_n,r2_rate,r3_n,r3_rate,opposite_n,opposite_rate,mean_mfe_r,median_mfe_r,mean_mae_r,median_mae_r,n_mfe,n_mae,median_risk_distance,median_rr_to_opposite,median_entry_depth,median_max_retrace_depth,theoretical_1r_expectancy,theoretical_2r_expectancy,theoretical_3r_expectancy,sample_quality,sample_quality_triggered,entry_mode,execution_timeframe
5m:first_touch,90,90,90,57,4,29,0,0,0.044444444444444446,0.6333333333333333,61,0.6777777777777778,32,0.5614035087719298,27,0.47368421052631576,14,0.24561403508771928,7,0.12280701754385964,25,0.43859649122807015,1.5368655578704904,0.9301948051949039,1.2372824592809877,1.029509559434748,57,57,13.4399999999996,2.653396029258073,0.7196988577363029,0.7196988577363029,-0.08771929824561403,-0.07017543859649122,-0.19298245614035087,MODERATE_SAMPLE,MODERATE_SAMPLE,first_touch,5m
5m:boundary,90,90,90,58,4,28,0,0,0.044444444444444446,0.6444444444444445,62,0.6888888888888889,33,0.5689655172413793,24,0.41379310344827586,11,0.1896551724137931,5,0.08620689655172414,25,0.43103448275862066,1.2327362993384439,0.7876125117505295,1.087685829366149,1.0298216712700845,58,58,14.610000000000127,2.5061197622035336,0.0,0.7196988577363029,-0.15517241379310348,-0.18965517241379315,-0.3103448275862069,MODERATE_SAMPLE,MODERATE_SAMPLE,boundary,5m
5m:ce,90,90,90,54,6,30,0,0,0.06666666666666667,0.6,60,0.6666666666666666,30,0.5555555555555556,25,0.46296296296296297,12,0.2222222222222222,6,0.1111111111111111,24,0.4444444444444444,1.343353363236105,0.8259056377789578,1.0704358242721752,1.028428394999977,54,54,13.552499999999782,2.7710380468190143,0.5,1.0,-0.09259259259259262,-0.11111111111111116,-0.22222222222222227,MODERATE_SAMPLE,MODERATE_SAMPLE,ce,5m
15m:first_touch,103,103,102,59,1,42,1,0,0.00980392156862745,0.5784313725490197,60,0.5882352941176471,19,0.3220338983050847,18,0.3050847457627119,6,0.1016949152542373,4,0.06779661016949153,40,0.6779661016949152,0.9825817049613921,0.670817120622582,0.802394497886275,0.20966029723990887,59,59,27.164999999999964,1.1980591244084131,0.8932487667371987,0.8932487667371987,-0.016949152542372836,-0.11864406779661013,-0.11864406779661013,MODERATE_SAMPLE,LARGER_SAMPLE,first_touch,15m
15m:boundary,103,103,102,59,5,38,1,0,0.049019607843137254,0.5784313725490197,64,0.6274509803921569,19,0.3220338983050847,15,0.2542372881355932,4,0.06779661016949153,2,0.03389830508474576,40,0.6779661016949152,0.7427560827103128,0.529313929313965,0.6481577720825564,0.24602332979850064,59,59,28.470000000000027,1.1913634027818802,0.0,0.8932487667371987,-0.06779661016949151,-0.18644067796610167,-0.22033898305084743,MODERATE_SAMPLE,LARGER_SAMPLE,boundary,15m
15m:ce,103,103,100,57,3,41,2,0,0.03,0.57,60,0.6,20,0.3508771929824561,16,0.2807017543859649,3,0.05263157894736842,1,0.017543859649122806,37,0.6491228070175439,0.7519180957123845,0.5873015873017167,0.7945437692963275,0.517491517491516,57,57,25.403749999999945,1.1763475225553657,0.5,1.0,-0.07017543859649122,-0.24561403508771928,-0.2982456140350877,MODERATE_SAMPLE,LARGER_SAMPLE,ce,15m
all:first_touch,193,193,192,116,5,71,1,0,0.026041666666666668,0.6041666666666666,121,0.6302083333333334,51,0.4396551724137931,45,0.3879310344827586,20,0.1724137931034483,11,0.09482758620689655,65,0.5603448275862069,1.2549453223391387,0.6971372101832152,1.016089444433677,0.6125562364803888,116,116,19.529999999999745,1.738180206296985,0.7430830039526871,0.7430830039526871,-0.051724137931034475,-0.09482758620689652,-0.15517241379310348,LARGER_SAMPLE,LARGER_SAMPLE,first_touch,combined
all:boundary,193,193,192,117,9,66,1,0,0.046875,0.609375,126,0.65625,52,0.4444444444444444,39,0.3333333333333333,15,0.1282051282051282,7,0.05982905982905983,65,0.5555555555555556,0.9856522584746854,0.5986394557822338,0.8660434756932263,0.6411258795934199,117,117,20.174999999999727,1.7828957309064388,0.0,0.7430830039526871,-0.1111111111111111,-0.18803418803418803,-0.2649572649572649,LARGER_SAMPLE,LARGER_SAMPLE,boundary,combined
all:ce,193,193,190,111,9,71,2,0,0.04736842105263158,0.5842105263157895,120,0.631578947368421,50,0.45045045045045046,41,0.36936936936936937,15,0.13513513513513514,7,0.06306306306306306,61,0.5495495495495496,1.0396433609941944,0.645749467203427,0.9287615257710642,0.7905604719764496,111,111,19.25,1.8016439391740202,0.5,1.0,-0.08108108108108109,-0.18018018018018017,-0.26126126126126126,LARGER_SAMPLE,LARGER_SAMPLE,ce,combined
