adverse_ticks,e_r,hold_e_r,n
0_tick,-0.05195003407759235,-0.051504554159295036,713
1_tick,-0.17992123326859394,-0.17387473161368902,758
2_tick,-0.25339455163204677,-0.2577340139002731,775
