ambiguous,average_loss_points,average_win_points,config_hash,delay_minutes,entry_family,event_family,expectancy_points,expectancy_r,long_exp,long_n,long_wr,longest_losing_streak,losses,mae_mean,mae_n,max_drawdown_points,mfe_mean,mfe_n,pct_profitable_days,profit_factor,resolved_n,short_exp,short_n,short_wr,timed_exits,trades,trades_per_day,trading_days,win_rate,wins
0,125.125,93.04347826086956,bf5279459eac35f6,5,A_RANGE_BREAKOUT,CPI,-33.89090909090909,-0.2545048577623119,-1.0806451612903225,31,0.5161290322580645,10,32,-101.33636363636364,55,1896.5,75.75909090909092,55,0.41818181818181815,0.5344655344655345,55,-76.27083333333333,24,0.2916666666666667,17,55,1.0,55,0.41818181818181815,23
0,102.69354838709677,75.75,8e7647d1330ad1a3,5,A_RANGE_BREAKOUT,NFP,-32.71568627450981,-0.2132066516213772,-36.766129032258064,31,0.3548387096774194,5,31,-87.2843137254902,51,1808.75,61.88235294117647,51,0.39215686274509803,0.4758913145908591,51,-26.4375,20,0.45,4,51,1.0,51,0.39215686274509803,20
0,124.46969696969697,96.27272727272727,7cc2be33447a4f97,10,A_RANGE_BREAKOUT,CPI,-36.17272727272727,-0.28980353158177197,-6.419354838709677,31,0.4838709677419355,10,33,-103.92727272727272,55,2047.25,77.28636363636363,55,0.4,0.515642118076689,55,-74.60416666666667,24,0.2916666666666667,17,55,1.0,55,0.4,22
0,110.77678571428571,71.54347826086956,b47a2684bc511caa,10,A_RANGE_BREAKOUT,NFP,-28.55392156862745,-0.0960053204084201,-30.43548387096774,31,0.41935483870967744,5,28,-85.07843137254902,51,1804.75,61.1764705882353,51,0.45098039215686275,0.5305069718707182,51,-25.6375,20,0.5,4,51,1.0,51,0.45098039215686275,23
0,128.95967741935485,95.84782608695652,42c5ae10e87e5a62,15,A_RANGE_BREAKOUT,CPI,-33.208333333333336,-0.2512141625202908,-0.09166666666666666,30,0.5333333333333333,10,31,-106.1574074074074,54,1847.5,78.56481481481481,54,0.42592592592592593,0.5514351822900382,54,-74.60416666666667,24,0.2916666666666667,18,54,1.0,54,0.42592592592592593,23
0,108.65517241379311,74.89772727272727,1a308c1977255fe2,15,A_RANGE_BREAKOUT,NFP,-29.475490196078432,-0.13282145399469353,-30.06451612903226,31,0.41935483870967744,5,29,-85.1421568627451,51,1790.5,61.64705882352941,51,0.43137254901960786,0.5229292288162488,51,-28.5625,20,0.45,4,51,1.0,51,0.43137254901960786,22
0,120.25806451612904,97.6590909090909,39ce2612681927a1,30,A_RANGE_BREAKOUT,CPI,-29.80188679245283,-0.25056176469730995,0.36666666666666664,30,0.5333333333333333,10,31,-104.56603773584905,53,1701.0,78.33490566037736,53,0.41509433962264153,0.5763143776824035,53,-69.15217391304348,23,0.2608695652173913,19,53,1.0,53,0.41509433962264153,22
0,113.93333333333334,80.97619047619048,b2636e7da5b64b11,30,A_RANGE_BREAKOUT,NFP,-33.6764705882353,-0.13886340986462814,-32.63709677419355,31,0.45161290322580644,5,30,-89.67156862745098,51,1882.0,57.21078431372549,51,0.4117647058823529,0.49751316559391456,51,-35.2875,20,0.35,4,51,1.0,51,0.4117647058823529,21
0,117.74137931034483,94.28571428571429,029be2b07c6c7d58,60,A_RANGE_BREAKOUT,CPI,-28.69,-0.2765331514312209,-1.0833333333333333,30,0.5666666666666667,9,29,-101.645,50,1437.0,81.89,50,0.42,0.5798799238541514,50,-70.1,20,0.2,18,50,1.0,50,0.42,21
0,103.28703703703704,77.10714285714286,0d5f12caa48bd99c,60,A_RANGE_BREAKOUT,NFP,-24.364583333333332,-0.1078144561173945,-29.85,30,0.4666666666666667,4,27,-83.3125,48,1325.75,58.598958333333336,48,0.4375,0.580636485880771,48,-15.222222222222221,18,0.3888888888888889,5,48,1.0,48,0.4375,21
