bar_delta,category,divergence_cause,internal_direction,internal_level,internal_ts,level_delta,lux_direction,lux_level,lux_ts,timeframe
,LUXALGO_ONLY,UNKNOWN,,,,,bullish,4397.06,1786740300,15m
,LUXALGO_ONLY,STRUCTURE_STATE_DIFFERENCE,,,,,bearish,4356.7,1786535100,15m
,LUXALGO_ONLY,UNKNOWN,,,,,bullish,4449.83,1786740300,15m
,LUXALGO_ONLY,UNKNOWN,,,,,bullish,4397.06,1786740300,15m
