bucket,median_mae_r,median_mfe_r,n_rows,r1_rate,r2_rate,r3_rate,resolved_n,stop_rate,theoretical_2r_expectancy
1-1.25,1.1140939597315307,0.9318181818181419,37,0.4827586206896552,0.27586206896551724,0.10344827586206896,29,0.6551724137931034,-0.10344827586206895
1.25-1.5,1.0257352941176405,0.6696428571428408,37,0.45454545454545453,0.2727272727272727,0.15151515151515152,33,0.6060606060606061,-0.06060606060606066
1.5-2,1.0465949820788594,0.910958904109576,79,0.4927536231884058,0.2898550724637681,0.14492753623188406,69,0.6086956521739131,-0.02898550724637683
<1,1.023495440729485,0.8152052655064699,56,0.43478260869565216,0.2608695652173913,0.15217391304347827,46,0.6304347826086957,-0.10869565217391308
>2,1.0293701156278494,1.0427842121304431,286,0.5409090909090909,0.2318181818181818,0.12272727272727273,220,0.5954545454545455,-0.13181818181818183
