age_bucket,close_with_trend,continue_extreme,depth_bucket,htf_age,htf_return,htf_strength,mae_after_tag,mfe_after_tag,retracement,side,tag_hhmm,trading_date,year
new_1,True,True,medium,1,0.0034021320027217694,weak,45.75,36.5,0.544,BULLISH,09:55,2020-01-02,2020
new_1,True,True,shallow,1,0.009089869654699267,strong,20.5,36.25,0.38545454545454544,BULLISH,09:55,2020-01-03,2020
new_1,True,True,shallow,1,0.005773408025608884,medium,4.25,65.5,0.3089430894308943,BULLISH,09:55,2020-01-06,2020
new_1,True,True,medium,1,-0.0033161079945837058,weak,2.75,50.5,0.4701492537313433,BEARISH,11:55,2020-01-10,2020
new_1,True,True,shallow,1,0.0030529266464989213,weak,2.5,49.25,0.27380952380952384,BULLISH,10:55,2020-01-13,2020
new_1,True,True,medium,1,-0.003828779197884491,weak,53.75,6.25,0.484472049689441,BEARISH,09:55,2020-01-14,2020
new_1,False,True,shallow,1,0.003258048484179099,weak,57.75,15.25,0.2748091603053435,BULLISH,10:00,2020-01-15,2020
new_1,True,False,shallow,1,0.00483835495931384,medium,0.0,0.0,0.25,BULLISH,15:55,2020-01-16,2020
new_1,False,True,medium,1,-0.002507768631085483,weak,31.75,22.5,0.4084507042253521,BEARISH,11:00,2020-01-17,2020
new_1,True,True,shallow,1,0.004298543423502332,medium,18.25,29.5,0.2857142857142857,BULLISH,09:55,2020-01-21,2020
new_1,True,False,medium,1,-0.003249918752031178,weak,0.0,0.0,0.5407407407407407,BEARISH,15:55,2020-01-22,2020
new_1,True,True,shallow,1,0.0024211757664789335,weak,3.0,21.75,0.32954545454545453,BULLISH,13:55,2020-01-23,2020
new_1,True,True,medium,1,-0.0042015675078779235,medium,12.5,133.75,0.4044943820224719,BEARISH,10:55,2020-01-24,2020
new_1,True,True,shallow,1,-0.004155957784218289,medium,52.5,33.25,0.39378238341968913,BEARISH,09:55,2020-01-29,2020
new_1,True,True,medium,1,0.004783498313333023,medium,60.25,54.75,0.49603174603174605,BULLISH,09:55,2020-01-30,2020
new_1,True,True,shallow,1,-0.0031119482433871193,weak,-6.5,163.75,0.37142857142857144,BEARISH,09:55,2020-01-31,2020
new_1,True,True,shallow,1,-0.004660646664724766,medium,11.25,79.0,0.35798816568047337,BEARISH,09:55,2020-02-05,2020
new_1,True,False,shallow,1,0.00441113945578242,medium,13.5,10.25,0.29646017699115046,BULLISH,13:20,2020-02-06,2020
new_1,False,False,shallow,1,0.0025987112513590205,weak,66.25,10.75,0.31100478468899523,BULLISH,11:55,2020-02-07,2020
new_1,True,True,shallow,1,0.002972399150743099,weak,3.25,60.25,0.25063291139240507,BULLISH,11:10,2020-02-10,2020
new_1,False,False,medium,1,0.004500026162942872,medium,97.25,9.5,0.5038167938931297,BULLISH,10:55,2020-02-11,2020
new_1,True,True,shallow,1,0.0034485461243043414,weak,6.75,21.75,0.36585365853658536,BULLISH,11:55,2020-02-12,2020
new_1,False,True,deep,1,-0.0031636542800093093,weak,32.0,22.25,0.6363636363636364,BEARISH,09:55,2020-02-14,2020
new_1,True,True,shallow,1,0.004291623578076553,medium,6.0,37.25,0.3611111111111111,BULLISH,09:55,2020-02-19,2020
new_1,False,True,shallow,1,0.004017820537349337,medium,137.75,19.0,0.3556851311953353,BULLISH,09:55,2020-02-24,2020
new_1,True,False,deep,1,-0.042467842461212046,strong,320.25,118.0,0.7317979197622585,BEARISH,09:55,2020-03-16,2020
new_1,False,True,shallow,1,-0.015755820115165853,strong,571.75,30.0,0.25891829689298046,BEARISH,09:55,2020-03-17,2020
new_1,True,True,shallow,1,0.021729129065364283,strong,407.75,106.75,0.26063829787234044,BULLISH,09:55,2020-03-18,2020
new_1,False,True,medium,1,0.00864458228850462,strong,238.25,40.5,0.41081081081081083,BULLISH,10:55,2020-04-01,2020
new_1,False,True,deep,1,-0.002567801500288569,weak,142.75,51.0,0.6516129032258065,BEARISH,09:55,2020-04-16,2020
new_1,True,True,shallow,1,0.00791976182906029,medium,19.0,97.25,0.3395348837209302,BULLISH,09:55,2020-05-04,2020
new_1,False,True,shallow,1,0.003445688720927098,weak,68.75,28.75,0.3617021276595745,BULLISH,10:55,2020-05-06,2020
new_1,False,False,shallow,1,-0.003552251135894302,weak,79.5,-0.75,0.36444444444444446,BEARISH,10:55,2020-05-07,2020
new_1,False,True,medium,1,0.005984328037784481,medium,69.75,44.75,0.46445497630331756,BULLISH,09:55,2020-05-19,2020
new_1,True,True,shallow,1,0.0047870801441385336,medium,14.75,55.5,0.39037433155080214,BULLISH,09:55,2020-06-01,2020
new_1,False,False,shallow,1,0.007198715624838092,medium,151.75,17.0,0.31020408163265306,BULLISH,09:55,2020-06-04,2020
new_1,False,True,deep,1,-0.0028786875222907016,weak,111.5,38.25,0.6459627329192547,BEARISH,09:55,2020-06-08,2020
new_1,True,True,medium,1,0.002174891255437128,weak,3.5,97.0,0.539622641509434,BULLISH,10:55,2020-06-22,2020
new_1,True,True,medium,1,0.002379959270800036,weak,37.75,82.75,0.46464646464646464,BULLISH,10:55,2020-06-23,2020
new_1,False,False,medium,1,-0.0053748656283593155,medium,146.0,19.5,0.5560538116591929,BEARISH,09:55,2020-06-25,2020
new_1,True,True,shallow,1,-0.007429972509101712,medium,-8.25,195.0,0.36129032258064514,BEARISH,09:55,2020-06-26,2020
new_1,False,False,deep,1,-0.0064177362893815815,medium,147.0,10.25,0.6009280742459396,BEARISH,09:55,2020-06-29,2020
new_1,True,True,shallow,1,0.004985219700385901,medium,10.25,142.25,0.2719298245614035,BULLISH,09:55,2020-06-30,2020
new_1,True,True,medium,1,0.004176311958570933,medium,9.0,95.0,0.4517766497461929,BULLISH,09:55,2020-07-06,2020
new_1,True,True,shallow,1,0.008612917002799758,strong,114.75,22.25,0.38427947598253276,BULLISH,09:55,2020-07-08,2020
new_1,True,False,medium,1,-0.0020254834075225103,weak,76.5,13.5,0.5497630331753555,BEARISH,10:55,2020-07-17,2020
new_1,False,False,deep,1,-0.00797878693772247,medium,149.25,7.5,0.7489082969432315,BEARISH,09:55,2020-07-24,2020
new_1,True,True,shallow,1,0.0049361139321224545,medium,54.25,47.0,0.252212389380531,BULLISH,10:55,2020-07-29,2020
new_1,False,True,medium,1,-0.00498655697773287,medium,51.5,134.0,0.4038876889848812,BEARISH,09:55,2020-07-31,2020
new_1,True,True,shallow,1,0.005066109318915046,medium,72.25,21.75,0.2682926829268293,BULLISH,09:55,2020-08-04,2020
new_1,True,True,medium,1,-0.003529596906544419,weak,21.5,152.75,0.5463917525773195,BEARISH,09:55,2020-08-10,2020
new_1,True,True,shallow,1,0.005061444611440091,medium,11.0,136.0,0.2647814910025707,BULLISH,10:10,2020-08-20,2020
new_1,True,True,medium,1,0.007306752748211576,medium,38.0,49.25,0.4723127035830619,BULLISH,11:00,2020-08-21,2020
new_1,True,False,shallow,1,-0.0100942991855979,strong,61.0,33.0,0.38522012578616355,BEARISH,11:00,2020-08-24,2020
new_1,True,True,medium,1,-0.016595428731964734,strong,184.5,79.25,0.49538866930171277,BEARISH,09:55,2020-09-02,2020
new_1,True,True,medium,1,0.009572374306673792,strong,111.0,64.25,0.4066666666666667,BULLISH,09:55,2020-09-14,2020
new_1,True,True,shallow,1,0.004621682292354379,medium,26.25,80.0,0.3117782909930716,BULLISH,11:00,2020-10-05,2020
new_1,True,False,medium,1,-0.0024453581475870623,weak,39.0,23.0,0.5432835820895522,BEARISH,11:55,2020-10-08,2020
new_1,True,True,medium,1,-0.009338903907593954,strong,88.75,74.0,0.5242105263157895,BEARISH,09:55,2020-10-13,2020
new_1,True,False,shallow,1,-0.01229347579464124,strong,83.75,42.75,0.2720763723150358,BEARISH,12:40,2020-10-14,2020
new_1,True,True,medium,1,0.008559170843598585,strong,96.5,75.25,0.4128878281622912,BULLISH,10:00,2020-10-15,2020
new_1,True,False,shallow,1,-0.009484862758532109,strong,119.25,20.75,0.3680456490727532,BEARISH,10:55,2020-10-22,2020
new_1,False,False,shallow,1,0.009037447029317747,strong,344.5,-0.75,0.348643006263048,BULLISH,10:00,2020-10-26,2020
new_1,True,True,medium,1,0.0038113488768232173,weak,11.0,113.0,0.5218390804597701,BULLISH,09:55,2020-11-11,2020
new_1,True,True,deep,1,-0.004575992678411689,medium,78.25,10.5,0.6415094339622641,BEARISH,09:55,2020-11-17,2020
new_1,True,True,medium,1,-0.006910332195487423,medium,99.5,27.0,0.4207650273224044,BEARISH,09:55,2020-11-18,2020
new_1,True,True,medium,1,-0.0031658751978671518,weak,50.25,49.75,0.5197368421052632,BEARISH,09:55,2020-11-20,2020
new_1,True,True,deep,1,-0.0032432206226983284,weak,35.0,101.0,0.6333333333333333,BEARISH,10:55,2020-11-23,2020
new_1,True,True,medium,1,0.003831497843473919,weak,-1.75,108.75,0.41721854304635764,BULLISH,10:55,2020-11-24,2020
new_1,False,False,medium,1,-0.007627205057611941,medium,130.5,31.25,0.4479025710419486,BEARISH,10:55,2020-11-30,2020
new_1,True,True,shallow,1,0.004316517740081016,medium,44.5,47.5,0.25069637883008355,BULLISH,12:00,2020-12-01,2020
new_1,False,True,medium,1,-0.0029787318545584363,weak,100.75,49.75,0.5235849056603774,BEARISH,09:55,2020-12-08,2020
new_1,True,True,shallow,1,-0.0026536755386564748,weak,0.5,283.75,0.3861003861003861,BEARISH,11:55,2020-12-09,2020
new_1,True,True,shallow,1,0.0078098266943096295,medium,80.25,19.75,0.2653061224489796,BULLISH,10:10,2020-12-14,2020
new_1,True,False,deep,1,0.0029103494385778195,weak,0.0,0.0,0.7128712871287128,BULLISH,15:55,2020-12-17,2020
new_1,True,True,deep,1,-0.002023257641235121,weak,15.75,107.75,0.656441717791411,BEARISH,10:55,2020-12-22,2020
new_1,True,False,deep,1,-0.003338045868677364,weak,41.5,24.5,0.694980694980695,BEARISH,09:55,2020-12-23,2020
new_1,True,False,medium,1,-0.0024833152258264546,weak,18.75,31.75,0.46078431372549017,BEARISH,10:55,2020-12-30,2020
new_1,False,False,medium,1,-0.004026062433142075,medium,75.75,2.0,0.4444444444444444,BEARISH,11:55,2020-12-31,2020
new_1,True,True,medium,1,-0.004598234123534106,medium,10.75,357.75,0.5794701986754967,BEARISH,09:55,2021-01-04,2021
new_1,True,True,medium,1,0.0075358851674640626,medium,39.0,161.5,0.5304659498207885,BULLISH,09:55,2021-01-06,2021
