bucket,median_mae_r,median_mfe_r,n_rows,r1_rate,r2_rate,r3_rate,resolved_n,stop_rate,theoretical_2r_expectancy
0.25-0.50,0.9787543504233547,1.0055474175347223,18,0.5294117647058824,0.35294117647058826,0.29411764705882354,17,0.47058823529411764,0.23529411764705888
0.50-0.75,1.004923801090598,1.3894415795798536,10,0.6,0.3,0.2,10,0.5,0.09999999999999998
0.75-1.0,1.045461270992084,0.3801501150074654,7,0.2857142857142857,0.14285714285714285,0.14285714285714285,7,0.7142857142857143,-0.4285714285714286
<0.25,1.0,1.219930505607164,29,0.68,0.28,0.04,25,0.52,0.040000000000000036
>1.0,0.7075406513427611,3.60175453115948,10,1.0,0.6666666666666666,0.6666666666666666,3,0.0,1.3333333333333333
