aligned_1h_4h,candidate,depth_bucket,direction,entry_fill,entry_theo,entry_ts,exit_px,exit_ts,extras,hold_sec,horizon,htf_age,htf_return,htf_strength,instrument,mae_points,mfe_points,outcome,points,points_after_cost,r_after_cost,r_multiple,reach_1r,reach_2r,retracement,risk_points,signal_hhmm,status,stop,target,target_r,trading_date,vwap_aligned,year
True,HTF_4H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,9090.0,9089.75,1580396700,9100.25,1580396700,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": -58.0, ""prior_ret"": -39.25, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",0,4h,1,0.0020129046489825164,weak,NQ,2.0,11.75,TARGET_HIT,10.25,10.05,0.9804878048780489,1.0,True,False,0.49603174603174605,10.25,10:05,ENTERED,9079.75,9100.25,1.0,2020-01-30,False,2020
False,HTF_4H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,SHORT,9127.5,9127.75,1580481900,9100.75,1580483040,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": 37.25, ""prior_ret"": 92.5, ""trend_1h"": ""NEUTRAL"", ""trend_4h"": ""BEARISH"", ""confirm_kind"": ""candle""}",1140,4h,1,-0.008579161028416826,strong,NQ,4.25,30.75,TARGET_HIT,26.75,26.55,0.9925233644859813,1.0,True,False,0.42408376963350786,26.75,09:45,ENTERED,9154.25,9100.75,1.0,2020-01-31,True,2020
True,HTF_4H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,9090.25,9090.0,1580741100,9111.5,1580741160,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": 46.25, ""prior_ret"": -186.25, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",60,4h,2,0.002718220397747828,weak,NQ,0.25,22.75,TARGET_HIT,21.25,21.05,0.9905882352941177,1.0,True,False,0.47393364928909953,21.25,09:45,ENTERED,9069.0,9111.5,1.0,2020-02-03,True,2020
True,HTF_4H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,9291.75,9291.5,1580831100,9308.25,1580833560,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1030_1200"", ""gap_points"": 126.5, ""prior_ret"": 90.0, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",2460,4h,9,0.012954713165158838,strong,NQ,12.0,17.0,TARGET_HIT,16.5,16.3,0.9878787878787879,1.0,True,False,0.4444444444444444,16.5,10:45,ENTERED,9275.25,9308.25,1.0,2020-02-04,True,2020
False,HTF_4H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,9603.75,9603.5,1581524700,9617.25,1581528900,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1030_1200"", ""gap_points"": 55.5, ""prior_ret"": -51.75, ""trend_1h"": ""NEUTRAL"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",4200,4h,2,0.004639215789059792,medium,NQ,9.0,15.0,TARGET_HIT,13.5,13.3,0.9851851851851853,1.0,True,False,0.574468085106383,13.5,11:25,ENTERED,9590.25,9617.25,1.0,2020-02-12,True,2020
False,HTF_4H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,9708.75,9708.5,1582123800,9716.5,1582124100,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": 54.75, ""prior_ret"": 51.75, ""trend_1h"": ""NEUTRAL"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",300,4h,6,0.0030860195534347934,weak,NQ,5.5,8.75,TARGET_HIT,7.75,7.55,0.9741935483870967,1.0,True,False,0.4883720930232558,7.75,09:50,ENTERED,9701.0,9716.5,1.0,2020-02-19,True,2020
True,HTF_4H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,SHORT,9607.75,9608.0,1582225800,9616.75,1582225800,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1400_1530"", ""gap_points"": -23.5, ""prior_ret"": 38.0, ""trend_1h"": ""BEARISH"", ""trend_4h"": ""BEARISH"", ""confirm_kind"": ""candle""}",0,4h,1,-0.0143169258450071,strong,NQ,17.75,0.0,STOP_HIT,-9.0,-9.2,-1.0222222222222221,-1.0,False,False,0.4141145139813582,9.0,14:10,ENTERED,9616.75,9598.75,1.0,2020-02-20,True,2020
True,HTF_4H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,SHORT,9505.25,9505.5,1582297500,9470.75,1582308780,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": -44.0, ""prior_ret"": -70.75, ""trend_1h"": ""BEARISH"", ""trend_4h"": ""BEARISH"", ""confirm_kind"": ""candle""}",11280,4h,6,-0.007460350584307163,medium,NQ,31.25,35.25,TARGET_HIT,34.5,34.3,0.9942028985507245,1.0,True,False,0.5334872979214781,34.5,10:05,ENTERED,9539.75,9470.75,1.0,2020-02-21,True,2020
False,HTF_4H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,SHORT,9098.25,9098.5,1582644000,9065.25,1582644300,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": 75.0, ""prior_ret"": -19.75, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BEARISH"", ""confirm_kind"": ""candle""}",300,4h,1,-0.004226312201772275,medium,NQ,0.25,52.5,TARGET_HIT,33.0,32.8,0.9939393939393939,1.0,True,False,0.5687022900763359,33.0,10:20,ENTERED,9131.25,9065.25,1.0,2020-02-25,True,2020
True,HTF_4H_TREND_FIRST_PULLBACK_5M_CONFIRM,medium,LONG,8952.25,8952.0,1582729800,8979.0,1582730100,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": 51.0, ""prior_ret"": -319.5, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""candle""}",300,4h,1,0.003024193548387011,weak,NQ,23.75,30.5,TARGET_HIT,26.75,26.55,0.9925233644859813,1.0,True,False,0.5771543086172345,26.75,10:10,ENTERED,8925.5,8979.0,1.0,2020-02-26,False,2020
