avg_hold_sec,avg_mae,avg_mfe,avg_stop_points,best_trade_r,expectancy_points,expectancy_r,long,max_consec_losses,max_dd_points,median_stop_points,n_ambiguous,n_days,n_entered,n_resolved,p95_stop_points,p_reach_1r,p_reach_2r,p_reach_3r,profit_factor,short,total_points,trades_per_year,tstat,use_cost,win_rate,worst_day_points,worst_trade_r,year
2432,14.6,13.316666666666666,14.266666666666667,1.9864406779661017,-5.666666666666666,-0.02564276741793646,"{""n"": 13, ""win_rate"": 0.38461538461538464, ""expectancy_points"": -1.2961538461538458, ""expectancy_r"": 0.12554534351796748}",4,126.4,13.25,0,15,15,15,52.25,0.6666666666666666,0.3333333333333333,0.0,0.5058139534883721,"{""n"": 2, ""win_rate"": 0.0, ""expectancy_points"": -34.075, ""expectancy_r"": -1.008365488501312}",-85.0,15.0,-1.0431088504514798,True,0.3333333333333333,-52.45,-1.0380952380952382,2020
3313.3333333333335,12.708333333333334,13.416666666666666,12.319444444444445,1.989873417721519,-3.561111111111111,-0.18789636504940052,"{""n"": 15, ""win_rate"": 0.3333333333333333, ""expectancy_points"": 0.46666666666666695, ""expectancy_r"": -0.023510454549979472}",7,100.65,10.125,0,18,18,18,32.0,0.5555555555555556,0.2777777777777778,0.0,0.6242672919109027,"{""n"": 3, ""win_rate"": 0.0, ""expectancy_points"": -23.7, ""expectancy_r"": -1.0098259175465059}",-64.1,18.0,-0.8287267132133799,True,0.2777777777777778,-32.2,-1.0421052631578949,2021
4768.235294117647,21.5,39.30882352941177,27.34722222222222,1.996039603960396,9.888235294117646,0.2165832629444201,"{""n"": 8, ""win_rate"": 0.375, ""expectancy_points"": 9.143749999999999, ""expectancy_r"": 0.09373879787336217}",3,92.9,24.0,1,17,18,17,69.0,0.7222222222222222,0.4444444444444444,0.05555555555555555,1.616880733944954,"{""n"": 9, ""win_rate"": 0.4444444444444444, ""expectancy_points"": 10.549999999999997, ""expectancy_r"": 0.3257783430075827}",168.09999999999997,17.0,0.7699750814510463,True,0.4117647058823529,-69.2,-1.0380952380952382,2022
2520,11.558823529411764,9.044117647058824,11.027777777777779,1.989189189189189,-3.3323529411764703,-0.3174618786296059,"{""n"": 14, ""win_rate"": 0.14285714285714285, ""expectancy_points"": -7.307142857142857, ""expectancy_r"": -0.5965837880857763}",7,62.650000000000006,11.0,1,17,18,17,22.75,0.3888888888888889,0.2777777777777778,0.05555555555555555,0.628158844765343,"{""n"": 3, ""win_rate"": 0.6666666666666666, ""expectancy_points"": 15.216666666666667, ""expectancy_r"": 0.9851070321658557}",-56.64999999999999,17.0,-0.8110462713786383,True,0.23529411764705882,-22.95,-1.0727272727272728,2023
2918.5714285714284,13.928571428571429,17.75,14.732142857142858,1.995959595959596,5.425,-0.165924375514785,"{""n"": 12, ""win_rate"": 0.16666666666666666, ""expectancy_points"": -8.054166666666667, ""expectancy_r"": -0.526124620646765}",4,78.00000000000001,9.375,0,14,14,14,49.5,0.35714285714285715,0.2857142857142857,0.0,1.6706401766004415,"{""n"": 2, ""win_rate"": 1.0, ""expectancy_points"": 86.3, ""expectancy_r"": 1.9952770952770953}",75.95,14.0,0.5681657167147923,True,0.2857142857142857,-28.2,-1.0333333333333334,2024
3664,20.416666666666668,18.783333333333335,18.484375,1.9854545454545456,-13.433333333333334,-0.4196518759257389,"{""n"": 11, ""win_rate"": 0.2727272727272727, ""expectancy_points"": -13.063636363636364, ""expectancy_r"": -0.19724254669787086}",10,241.24999999999994,16.5,1,15,16,15,48.25,0.5,0.25,0.0625,0.24076865109269033,"{""n"": 4, ""win_rate"": 0.0, ""expectancy_points"": -14.45, ""expectancy_r"": -1.031277531302376}",-201.5,15.0,-2.3245336786081165,True,0.2,-48.45,-1.088888888888889,2025
2454,20.75,24.725,18.45,1.9930434782608695,-3.3500000000000005,-0.4920820951296886,"{""n"": 8, ""win_rate"": 0.25, ""expectancy_points"": -2.0437500000000006, ""expectancy_r"": -0.35833494214443395}",5,77.80000000000001,16.625,0,10,10,10,40.25,0.5,0.2,0.0,0.7520355292376018,"{""n"": 2, ""win_rate"": 0.0, ""expectancy_points"": -8.575, ""expectancy_r"": -1.027070707070707}",-33.50000000000001,10.0,-0.34326090824829175,True,0.2,-40.45,-1.8,2026
