adverse_ticks,e_r,hold_e_r,n,wr
0_tick,0.06826384530654449,0.19981902129778858,750,0.54
1_tick,0.0652115278774822,0.19978144033475975,746,0.5388739946380697
2_tick,0.06089625242482099,0.17075859306636998,745,0.5355704697986577
