bull_20,hit,mean_rth_pts,n,prior_1d,prior_3d,tstat
True,0.5255255255255256,0.29612612612612693,666,positive,,0.25118601347751357
True,0.5444191343963554,-1.169977220956719,439,negative,,-0.699331543456389
False,0.5021645021645021,-3.8170129870129856,231,positive,,-1.1109760233787973
False,0.5523809523809524,5.796984126984128,315,negative,,1.8046217027313314
True,0.5297225891677675,-0.1100528401585197,757,,positive,-0.10313049573735265
True,0.5402298850574713,-0.6697988505747117,348,,negative,-0.32833894856062357
False,0.5505050505050505,-0.45499999999999885,198,,positive,-0.13604618891399622
False,0.5201149425287356,2.972442528735633,348,,negative,0.9342698374919055
