event_id,first_z,max_abs_z,reclaim,side,trading_date
2025-08-04|above|1754312400,2.0708646284642875,2.0708646284642875,True,above,2025-08-04
2025-08-05|above|1754400600,2.0284384476055295,2.0284384476055295,True,above,2025-08-05
2025-08-06|above|1754484600,2.0423874906166013,2.0423874906166013,True,above,2025-08-06
2025-08-06|above|1754488200,2.023205522724321,2.023205522724321,True,above,2025-08-06
2025-08-06|above|1754490000,2.076426485787535,2.2144522408617306,True,above,2025-08-06
2025-08-06|above|1754490900,2.1837427871774238,2.1837427871774238,True,above,2025-08-06
2025-08-07|below|1754570700,-2.0377131604526157,2.0377131604526157,True,below,2025-08-07
2025-08-07|below|1754574900,-3.0415493159946556,3.0415493159946556,True,below,2025-08-07
2025-08-11|above|1754919600,2.076240862097728,2.4129585384441055,True,above,2025-08-11
2025-08-12|above|1755002700,2.1736687359916633,2.1736687359916633,True,above,2025-08-12
2025-08-12|above|1755006000,2.25775229365723,2.25775229365723,True,above,2025-08-12
2025-08-12|below|1755007800,-2.4929585754748023,2.4929585754748023,True,below,2025-08-12
2025-08-14|below|1755180300,-2.4118097160291434,2.4118097160291434,True,below,2025-08-14
2025-08-15|below|1755265800,-2.1979953751260557,2.1979953751260557,True,below,2025-08-15
2025-08-18|below|1755521400,-2.5970567303113765,2.5970567303113765,True,below,2025-08-18
2025-08-18|below|1755524100,-2.3135149689093666,2.3135149689093666,True,below,2025-08-18
2025-08-18|below|1755528600,-2.0263431381184756,2.0263431381184756,True,below,2025-08-18
2025-08-19|below|1755608700,-2.227041786775182,2.227041786775182,True,below,2025-08-19
2025-08-19|below|1755614400,-2.3530290193932997,2.3530290193932997,True,below,2025-08-19
2025-08-20|above|1755697200,2.096819379557409,2.096819379557409,True,above,2025-08-20
2025-08-20|above|1755701100,2.4818870282836483,2.4818870282836483,True,above,2025-08-20
2025-08-22|above|1755868500,2.319039912268178,2.7406814820951877,True,above,2025-08-22
2025-08-25|above|1756129500,2.0236784919249606,2.0236784919249606,True,above,2025-08-25
2025-08-26|below|1756212600,-2.263311233921945,2.263311233921945,True,below,2025-08-26
2025-08-26|above|1756221600,2.055147002659599,2.055147002659599,True,above,2025-08-26
2025-08-26|above|1756222200,2.027746396795575,2.027746396795575,True,above,2025-08-26
2025-08-26|above|1756222800,2.3141086515938523,2.3141086515938523,True,above,2025-08-26
2025-08-27|above|1756299900,2.79155462592652,2.79155462592652,True,above,2025-08-27
2025-08-27|below|1756302000,-2.531276381182322,2.531276381182322,True,below,2025-08-27
2025-08-27|above|1756306500,2.0164198014862262,2.0164198014862262,True,above,2025-08-27
2025-08-27|above|1756307400,2.4596716554749487,2.4596716554749487,True,above,2025-08-27
2025-08-27|above|1756312200,2.0818988579624347,2.0818988579624347,True,above,2025-08-27
2025-08-28|below|1756385100,-2.226524421316411,2.226524421316411,True,below,2025-08-28
2025-08-28|above|1756398600,2.21035309902555,2.21035309902555,True,above,2025-08-28
2025-09-01|above|1756731000,2.4650507986408217,2.4650507986408217,True,above,2025-09-01
2025-09-02|above|1756820400,2.2830234336128976,2.2830234336128976,True,above,2025-09-02
2025-09-02|above|1756821900,2.156542550546144,2.156542550546144,True,above,2025-09-02
2025-09-02|above|1756822500,2.145813392476804,2.2116281665973623,True,above,2025-09-02
