bucket,expectancy_r,n,win_rate
le_5m,-0.08103348955384922,589,0.47198641765704585
5_15m,-0.21401517394075034,81,0.4074074074074074
15_30m,-0.006626909051241579,33,0.5151515151515151
gt_30m,,0,
