bucket,expectancy_r,mean_width,n,win_rate
1,-0.04833040683245997,35.25,149,0.47651006711409394
2,0.05605511611738115,46.511744966442954,149,0.5369127516778524
3,0.07019839937707018,53.88255033557047,149,0.5503355704697986
4,0.1934419124043484,61.13590604026846,149,0.6174496644295302
5,0.05476274438478069,70.28,150,0.5133333333333333
