aligned_1h_4h,candidate,depth_bucket,direction,entry_fill,entry_theo,entry_ts,exit_px,exit_ts,extras,hold_sec,horizon,htf_age,htf_return,htf_strength,instrument,mae_points,mfe_points,outcome,points,points_after_cost,r_after_cost,r_multiple,reach_1r,reach_2r,retracement,risk_points,signal_hhmm,status,stop,target,target_r,trading_date,vwap_aligned,year
True,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,LONG,9177.75,9177.5,1579619400,9167.5,1579619820,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": -28.75, ""prior_ret"": 7.0, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""break""}",420,1h,1,0.004298543423502332,medium,NQ,11.75,0.75,STOP_HIT,-10.25,-10.45,-1.0195121951219512,-1.0,False,False,0.4666666666666667,10.25,10:10,ENTERED,9167.5,9188.0,1.0,2020-01-21,True,2020
False,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,SHORT,9249.5,9249.75,1579882500,9243.0,1579882680,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1030_1200"", ""gap_points"": 45.5, ""prior_ret"": 34.5, ""trend_1h"": ""BEARISH"", ""trend_4h"": ""NEUTRAL"", ""confirm_kind"": ""break""}",180,1h,1,-0.0042015675078779235,medium,NQ,4.5,24.75,TARGET_HIT,6.5,6.3,0.9692307692307692,1.0,True,True,0.4044943820224719,6.5,11:15,ENTERED,9256.0,9243.0,1.0,2020-01-24,True,2020
False,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,LONG,8970.75,8970.5,1580138100,8983.25,1580138820,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": -204.5, ""prior_ret"": -121.25, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BEARISH"", ""confirm_kind"": ""break""}",720,1h,1,0.002790490010045721,weak,NQ,11.75,15.0,TARGET_HIT,12.5,12.3,0.9840000000000001,1.0,True,False,0.5317919075144508,12.5,10:15,ENTERED,8958.25,8983.25,1.0,2020-01-27,True,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,LONG,9049.75,9049.5,1580225100,9070.25,1580226120,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": 62.75, ""prior_ret"": 13.75, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""break""}",1020,1h,3,0.0027798626747839172,weak,NQ,3.0,21.5,TARGET_HIT,20.5,20.3,0.9902439024390244,1.0,True,False,0.578125,20.5,10:25,ENTERED,9029.25,9070.25,1.0,2020-01-28,True,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,SHORT,9081.25,9081.5,1580310600,9105.75,1580312400,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": 50.75, ""prior_ret"": 74.5, ""trend_1h"": ""BEARISH"", ""trend_4h"": ""BEARISH"", ""confirm_kind"": ""break""}",1800,1h,1,-0.004155957784218289,medium,NQ,28.0,8.75,STOP_HIT,-24.5,-24.7,-1.0081632653061223,-1.0,False,False,0.4041095890410959,24.5,10:10,ENTERED,9105.75,9056.75,1.0,2020-01-29,True,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,LONG,9105.75,9105.5,1580397000,9079.75,1580397480,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": -58.0, ""prior_ret"": -39.25, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""break""}",480,1h,1,0.004783498313333023,medium,NQ,27.5,3.75,STOP_HIT,-26.0,-26.2,-1.0076923076923077,-1.0,False,False,0.49603174603174605,26.0,10:10,ENTERED,9079.75,9131.75,1.0,2020-01-30,True,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,LONG,9107.25,9107.0,1580741400,9145.5,1580742000,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": 46.25, ""prior_ret"": -186.25, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""break""}",600,1h,1,0.002656704026567036,weak,NQ,2.5,41.75,TARGET_HIT,38.25,38.05,0.9947712418300653,1.0,True,False,0.47393364928909953,38.25,09:50,ENTERED,9069.0,9145.5,1.0,2020-02-03,True,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,LONG,9291.75,9291.5,1580831100,9308.25,1580833560,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1030_1200"", ""gap_points"": 126.5, ""prior_ret"": 90.0, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""break""}",2460,1h,7,0.00485305281422832,medium,NQ,12.0,17.0,TARGET_HIT,16.5,16.3,0.9878787878787879,1.0,True,False,0.4444444444444444,16.5,10:45,ENTERED,9275.25,9308.25,1.0,2020-02-04,True,2020
False,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,SHORT,9370.25,9370.5,1580915700,9332.25,1580916960,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": 116.25, ""prior_ret"": 82.75, ""trend_1h"": ""BEARISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""break""}",1260,1h,1,-0.004660646664724766,medium,NQ,11.0,39.25,TARGET_HIT,38.0,37.8,0.994736842105263,1.0,True,False,0.42011834319526625,38.0,10:15,ENTERED,9408.25,9332.25,1.0,2020-02-05,True,2020
False,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,LONG,9449.0,9448.75,1581100200,9440.75,1581100440,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1200_1400"", ""gap_points"": -41.75, ""prior_ret"": 56.5, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BEARISH"", ""confirm_kind"": ""break""}",240,1h,2,0.00430278884462143,medium,NQ,14.75,1.5,STOP_HIT,-8.25,-8.45,-1.0242424242424242,-1.0,False,False,0.40669856459330145,8.25,13:30,ENTERED,9440.75,9457.25,1.0,2020-02-07,True,2020
False,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,LONG,9598.75,9598.5,1581437100,9604.75,1581437400,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1030_1200"", ""gap_points"": 51.75, ""prior_ret"": 144.75, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""NEUTRAL"", ""confirm_kind"": ""break""}",300,1h,1,0.004500026162942872,medium,NQ,1.25,7.25,TARGET_HIT,6.0,5.8,0.9666666666666667,1.0,True,False,0.5038167938931297,6.0,11:05,ENTERED,9592.75,9604.75,1.0,2020-02-11,True,2020
True,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,LONG,9604.75,9604.5,1581528300,9614.25,1581528720,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""1200_1400"", ""gap_points"": 55.5, ""prior_ret"": -51.75, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BULLISH"", ""confirm_kind"": ""break""}",420,1h,1,0.0034485461243043414,weak,NQ,0.5,12.0,TARGET_HIT,9.5,9.3,0.9789473684210527,1.0,True,False,0.5121951219512195,9.5,12:25,ENTERED,9595.25,9614.25,1.0,2020-02-12,True,2020
False,HTF_1H_TREND_FIRST_PULLBACK_5M_BREAK,medium,LONG,9574.25,9574.0,1581605400,9584.5,1581605520,"{""adverse_ticks"": 1.0, ""stop_buffer_ticks"": 1.0, ""tod"": ""0930_1030"", ""gap_points"": -70.25, ""prior_ret"": 39.5, ""trend_1h"": ""BULLISH"", ""trend_4h"": ""BEARISH"", ""confirm_kind"": ""break""}",120,1h,1,0.0020697966883254093,weak,NQ,0.25,12.0,TARGET_HIT,10.25,10.05,0.9804878048780489,1.0,True,False,0.43103448275862066,10.25,09:50,ENTERED,9564.0,9584.5,1.0,2020-02-13,True,2020
