atr_1m_14,contract,event_id,extras,extreme,label_300s,level,mae,median_1m_range_14,mfe,open_30m_return,opening_drive_30m,opening_drive_60m,penetration_over_atr,penetration_over_median_range,penetration_points,penetration_ticks,prior_rth_high,prior_rth_low,rth_open_ts,seconds_from_rth_open,session_bucket,side,sweep_aligned_open_30m,sweep_bar_time,sweep_ts,trading_date,volume_sweep_bar
11.553571428571429,NQU5,NQ|NQU5|PDL|2025-06-17|1750181340,"{""pdh_pdl_source_date"": ""2025-06-16"", ""session"": ""RTH_0930_1600"", ""contract"": ""NQU5""}",22010.75,AMBIGUOUS,22014.0,-24.25,11.625,3.0,27.0,False,False,0.28129829984544047,0.27956989247311825,3.25,13.0,22222.0,22014.0,1750167000,14340,midday,pdl_sweep,False,1750181340,1750181340,2025-06-17,797.0
21.107142857142858,NQU5,NQ|NQU5|PDL|2025-06-18|1750273020,"{""pdh_pdl_source_date"": ""2025-06-17"", ""session"": ""RTH_0930_1600"", ""contract"": ""NQU5""}",21909.0,AMBIGUOUS,21909.5,-18.5,21.625,25.0,-5.25,False,False,0.023688663282571912,0.023121387283236993,0.5,2.0,22135.0,21909.5,1750253400,19620,afternoon,pdl_sweep,True,1750273020,1750273020,2025-06-18,2670.0
15.964285714285714,NQU5,NQ|NQU5|PDH|2025-06-20|1750426260,"{""pdh_pdl_source_date"": ""2025-06-18"", ""session"": ""RTH_0930_1600"", ""contract"": ""NQU5""}",22098.0,REVERSAL,22097.75,2.0,57.75,31.25,,True,True,0.015659955257270694,0.004329004329004329,0.25,1.0,22097.75,21882.25,1750426200,60,open_30m,pdh_sweep,,1750426260,1750426260,2025-06-20,2731.0
20.571428571428573,NQU5,NQ|NQU5|PDL|2025-06-20|1750430520,"{""pdh_pdl_source_date"": ""2025-06-18"", ""session"": ""RTH_0930_1600"", ""contract"": ""NQU5""}",21866.75,REVERSAL,21882.25,-9.75,16.875,14.5,-58.75,False,False,0.7534722222222222,0.9185185185185185,15.5,62.0,22097.75,21882.25,1750426200,4320,midday,pdl_sweep,True,1750430520,1750430520,2025-06-20,2681.0
17.607142857142858,NQU5,NQ|NQU5|PDL|2025-06-23|1750685640,"{""pdh_pdl_source_date"": ""2025-06-20"", ""session"": ""RTH_0930_1600"", ""contract"": ""NQU5""}",21758.5,REVERSAL,21765.0,0.0,38.375,37.5,,True,True,0.36916835699797157,0.16938110749185667,6.5,26.0,22130.5,21765.0,1750685400,240,open_30m,pdl_sweep,,1750685640,1750685640,2025-06-23,2892.0
8.25,NQU5,NQ|NQU5|PDH|2025-06-24|1750771800,"{""pdh_pdl_source_date"": ""2025-06-23"", ""session"": ""RTH_0930_1600"", ""contract"": ""NQU5""}",22288.5,CONTINUATION,22093.0,211.25,,0.0,,True,True,23.696969696969695,,195.5,782.0,22093.0,21738.25,1750771800,0,open_30m,pdh_sweep,,1750771800,1750771800,2025-06-24,3698.0
4.785714285714286,NQU5,NQ|NQU5|PDH|2025-06-25|1750858200,"{""pdh_pdl_source_date"": ""2025-06-24"", ""session"": ""RTH_0930_1600"", ""contract"": ""NQU5""}",22527.75,NEITHER,22448.25,81.75,,0.0,,True,True,16.611940298507463,,79.5,318.0,22448.25,22260.0,1750858200,0,open_30m,pdh_sweep,,1750858200,1750858200,2025-06-25,5132.0
8.053571428571429,NQU5,NQ|NQU5|PDH|2025-06-26|1750944600,"{""pdh_pdl_source_date"": ""2025-06-25"", ""session"": ""RTH_0930_1600"", ""contract"": ""NQU5""}",22566.5,REVERSAL,22548.25,14.75,,9.5,,True,True,2.2660753880266076,,18.25,73.0,22548.25,22388.5,1750944600,0,open_30m,pdh_sweep,,1750944600,1750944600,2025-06-26,3096.0
8.321428571428571,NQU5,NQ|NQU5|PDH|2025-06-27|1751031000,"{""pdh_pdl_source_date"": ""2025-06-26"", ""session"": ""RTH_0930_1600"", ""contract"": ""NQU5""}",22717.0,REVERSAL,22694.0,33.75,,8.75,,True,True,2.763948497854077,,23.0,92.0,22694.0,22476.0,1751031000,0,open_30m,pdh_sweep,,1751031000,1751031000,2025-06-27,3628.0
5.303571428571429,NQU5,NQ|NQU5|PDH|2025-06-30|1751290200,"{""pdh_pdl_source_date"": ""2025-06-27"", ""session"": ""RTH_0930_1600"", ""contract"": ""NQU5""}",22875.5,REVERSAL,22825.5,50.0,,8.75,,True,True,9.427609427609427,,50.0,200.0,22825.5,22600.0,1751290200,0,open_30m,pdh_sweep,,1751290200,1751290200,2025-06-30,4034.0
16.339285714285715,NQU5,NQ|NQU5|PDL|2025-07-01|1751377440,"{""pdh_pdl_source_date"": ""2025-06-30"", ""session"": ""RTH_0930_1600"", ""contract"": ""NQU5""}",22780.0,REVERSAL,22781.0,0.0,16.25,23.5,,True,True,0.06120218579234972,0.06153846153846154,1.0,4.0,22934.75,22781.0,1751376600,840,open_30m,pdl_sweep,,1751377440,1751377440,2025-07-01,1434.0
5.803571428571429,NQU5,NQ|NQU5|PDH|2025-07-02|1751483040,"{""pdh_pdl_source_date"": ""2025-07-01"", ""session"": ""RTH_0930_1600"", ""contract"": ""NQU5""}",22853.25,REVERSAL,22848.25,0.0,5.625,11.5,65.25,False,False,0.8615384615384615,0.8888888888888888,5.0,20.0,22848.25,22594.5,1751463000,20040,afternoon,pdh_sweep,True,1751483040,1751483040,2025-07-02,1438.0
11.178571428571429,NQU5,NQ|NQU5|PDL|2025-07-07|1751895180,"{""pdh_pdl_source_date"": ""2025-07-03"", ""session"": ""RTH_0930_1600"", ""contract"": ""NQU5""}",22918.0,CONTINUATION,22930.25,-29.75,25.75,0.0,,True,True,1.095846645367412,0.47572815533980584,12.25,49.0,23102.5,22930.25,1751895000,180,open_30m,pdl_sweep,,1751895180,1751895180,2025-07-07,2497.0
5.160714285714286,NQU5,NQ|NQU5|PDH|2025-07-09|1752067800,"{""pdh_pdl_source_date"": ""2025-07-08"", ""session"": ""RTH_0930_1600"", ""contract"": ""NQU5""}",23004.5,CONTINUATION,22962.75,59.0,,0.0,,True,True,8.089965397923876,,41.75,167.0,22962.75,22841.0,1752067800,0,open_30m,pdh_sweep,,1752067800,1752067800,2025-07-09,3934.0
17.857142857142858,NQU5,NQ|NQU5|PDL|2025-07-10|1752156060,"{""pdh_pdl_source_date"": ""2025-07-09"", ""session"": ""RTH_0930_1600"", ""contract"": ""NQU5""}",22915.5,REVERSAL,22919.75,0.0,16.75,31.25,-141.0,False,True,0.238,0.2537313432835821,4.25,17.0,23112.0,22919.75,1752154200,1860,open_60m,pdl_sweep,True,1752156060,1752156060,2025-07-10,3014.0
14.375,NQU5,NQ|NQU5|PDL|2025-07-11|1752241020,"{""pdh_pdl_source_date"": ""2025-07-10"", ""session"": ""RTH_0930_1600"", ""contract"": ""NQU5""}",22893.75,CONTINUATION,22901.25,-26.75,16.5,0.0,,True,True,0.5217391304347826,0.45454545454545453,7.5,30.0,23090.0,22901.25,1752240600,420,open_30m,pdl_sweep,,1752241020,1752241020,2025-07-11,1802.0
23.357142857142858,NQU5,NQ|NQU5|PDL|2025-07-14|1752500580,"{""pdh_pdl_source_date"": ""2025-07-11"", ""session"": ""RTH_0930_1600"", ""contract"": ""NQU5""}",22854.25,REVERSAL,22863.0,-10.0,22.5,11.75,,True,True,0.3746177370030581,0.3888888888888889,8.75,35.0,23021.5,22863.0,1752499800,780,open_30m,pdl_sweep,,1752500580,1752500580,2025-07-14,3919.0
11.0,NQU5,NQ|NQU5|PDH|2025-07-14|1752505440,"{""pdh_pdl_source_date"": ""2025-07-11"", ""session"": ""RTH_0930_1600"", ""contract"": ""NQU5""}",23022.5,REVERSAL,23021.5,0.0,9.75,21.0,-28.25,False,False,0.09090909090909091,0.10256410256410256,1.0,4.0,23021.5,22863.0,1752499800,5640,midday,pdh_sweep,False,1752505440,1752505440,2025-07-14,1698.0
7.392857142857143,NQU5,NQ|NQU5|PDL|2025-07-16|1752672660,"{""pdh_pdl_source_date"": ""2025-07-15"", ""session"": ""RTH_0930_1600"", ""contract"": ""NQU5""}",23041.75,REVERSAL,23050.0,-16.5,25.5,12.75,,True,True,1.115942028985507,0.3235294117647059,8.25,33.0,23222.75,23050.0,1752672600,60,open_30m,pdl_sweep,,1752672660,1752672660,2025-07-16,4205.0
6.767857142857143,NQU5,NQ|NQU5|PDH|2025-07-17|1752759000,"{""pdh_pdl_source_date"": ""2025-07-16"", ""session"": ""RTH_0930_1600"", ""contract"": ""NQU5""}",23118.25,REVERSAL,23100.0,12.75,,9.75,,True,True,2.6965699208443272,,18.25,73.0,23100.0,22835.5,1752759000,0,open_30m,pdh_sweep,,1752759000,1752759000,2025-07-17,4107.0
10.535714285714286,NQU5,NQ|NQU5|PDH|2025-07-18|1752845400,"{""pdh_pdl_source_date"": ""2025-07-17"", ""session"": ""RTH_0930_1600"", ""contract"": ""NQU5""}",23303.5,NEITHER,23279.75,30.25,,4.5,,True,True,2.254237288135593,,23.75,95.0,23279.75,23065.75,1752845400,0,open_30m,pdh_sweep,,1752845400,1752845400,2025-07-18,7063.0
9.714285714285714,NQU5,NQ|NQU5|PDH|2025-07-21|1753104960,"{""pdh_pdl_source_date"": ""2025-07-18"", ""session"": ""RTH_0930_1600"", ""contract"": ""NQU5""}",23323.5,NEITHER,23310.0,25.25,14.125,4.0,,True,True,1.3897058823529413,0.9557522123893806,13.5,54.0,23310.0,23169.5,1753104600,360,open_30m,pdh_sweep,,1753104960,1753104960,2025-07-21,2767.0
18.035714285714285,NQU5,NQ|NQU5|PDL|2025-07-22|1753191900,"{""pdh_pdl_source_date"": ""2025-07-21"", ""session"": ""RTH_0930_1600"", ""contract"": ""NQU5""}",23253.5,AMBIGUOUS,23255.25,-23.25,16.75,2.75,,True,True,0.09702970297029703,0.1044776119402985,1.75,7.0,23424.75,23255.25,1753191000,900,open_30m,pdl_sweep,,1753191900,1753191900,2025-07-22,3051.0
6.642857142857143,NQU5,NQ|NQU5|PDH|2025-07-24|1753363800,"{""pdh_pdl_source_date"": ""2025-07-23"", ""session"": ""RTH_0930_1600"", ""contract"": ""NQU5""}",23399.5,NEITHER,23324.75,68.75,,0.0,,True,True,11.25268817204301,,74.75,299.0,23324.75,23146.75,1753363800,0,open_30m,pdh_sweep,,1753363800,1753363800,2025-07-24,6133.0
5.982142857142857,NQU5,NQ|NQU5|PDH|2025-07-25|1753457400,"{""pdh_pdl_source_date"": ""2025-07-24"", ""session"": ""RTH_0930_1600"", ""contract"": ""NQU5""}",23429.25,REVERSAL,23424.5,0.0,5.875,9.0,42.0,False,False,0.7940298507462688,0.8085106382978723,4.75,19.0,23424.5,23298.25,1753450200,7200,midday,pdh_sweep,True,1753457400,1753457400,2025-07-25,1846.0
6.303571428571429,NQU5,NQ|NQU5|PDH|2025-07-28|1753709400,"{""pdh_pdl_source_date"": ""2025-07-25"", ""session"": ""RTH_0930_1600"", ""contract"": ""NQU5""}",23494.75,NEITHER,23476.0,23.5,,7.75,,True,True,2.9745042492917846,,18.75,75.0,23476.0,23330.75,1753709400,0,open_30m,pdh_sweep,,1753709400,1753709400,2025-07-28,5455.0
