entry_mode,execution_timeframe,feed_equivalence_class,outcome,session,setup_id,status,underlying_provider
ce,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,Asia,OANDA:XAUUSD|Asia|2026-05-24|high|1779750900|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,STOP_HIT,London,OANDA:XAUUSD|London|2026-05-25|high|1779729000|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,STOP_HIT,London,OANDA:XAUUSD|London|2026-05-25|high|1779729000|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,STOP_HIT,London,OANDA:XAUUSD|London|2026-05-25|high|1779729000|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,Asia,OANDA:XAUUSD|Asia|2026-05-25|low|1779779700|exec:5m,INVALIDATED,tiingo
boundary,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,Asia,OANDA:XAUUSD|Asia|2026-05-25|low|1779779700|exec:5m,INVALIDATED,tiingo
ce,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,Asia,OANDA:XAUUSD|Asia|2026-05-25|low|1779779700|exec:5m,INVALIDATED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,STOP_HIT,London,OANDA:XAUUSD|London|2026-05-26|low|1779798600|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,STOP_HIT,London,OANDA:XAUUSD|London|2026-05-26|low|1779798600|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,STOP_HIT,London,OANDA:XAUUSD|London|2026-05-26|low|1779798600|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-05-26|low|1779868500|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-05-26|low|1779868500|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,STOP_HIT,Asia,OANDA:XAUUSD|Asia|2026-05-26|low|1779868500|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,STOP_HIT,London,OANDA:XAUUSD|London|2026-05-27|low|1779889800|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,STOP_HIT,London,OANDA:XAUUSD|London|2026-05-27|low|1779889800|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,STOP_HIT,London,OANDA:XAUUSD|London|2026-05-27|low|1779889800|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,Asia,OANDA:XAUUSD|Asia|2026-05-27|high|1779978600|exec:5m,INVALIDATED,tiingo
boundary,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,Asia,OANDA:XAUUSD|Asia|2026-05-27|high|1779978600|exec:5m,INVALIDATED,tiingo
ce,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,Asia,OANDA:XAUUSD|Asia|2026-05-27|high|1779978600|exec:5m,INVALIDATED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,London,OANDA:XAUUSD|London|2026-05-28|high|1780666500|exec:5m,EXPIRED,tiingo
boundary,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,London,OANDA:XAUUSD|London|2026-05-28|high|1780666500|exec:5m,EXPIRED,tiingo
ce,5m,CLOSE_EQUIVALENT,OPPOSITE_LIQUIDITY_HIT,London,OANDA:XAUUSD|London|2026-05-28|high|1780666500|exec:5m,EXPIRED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,Asia,OANDA:XAUUSD|Asia|2026-05-28|high|1780040100|exec:5m,INVALIDATED,tiingo
boundary,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,Asia,OANDA:XAUUSD|Asia|2026-05-28|high|1780040100|exec:5m,INVALIDATED,tiingo
ce,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,Asia,OANDA:XAUUSD|Asia|2026-05-28|high|1780040100|exec:5m,INVALIDATED,tiingo
first_touch,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,London,OANDA:XAUUSD|London|2026-05-29|high|1780064100|exec:5m,INVALIDATED,tiingo
boundary,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,London,OANDA:XAUUSD|London|2026-05-29|high|1780064100|exec:5m,INVALIDATED,tiingo
ce,5m,CLOSE_EQUIVALENT,NO_RISK_PLAN,London,OANDA:XAUUSD|London|2026-05-29|high|1780064100|exec:5m,INVALIDATED,tiingo
