age_1h,aligned_1h_4h,close_with_1h,close_with_4h,ema20_rising,gap,gap_over_atr,prior_ret,ret_1h,ret_4h,rth_close,rth_high,rth_low,rth_open,rth_return,strength_1h,structure_1h,trading_date,trend_1h,trend_4h,year
0,False,,,,,,,0.000538585827498661,,3258.5,3258.75,3235.5,3246.5,0.0036962883104882938,weak,MIXED,2020-01-02,NEUTRAL,NEUTRAL,2020
0,False,,False,False,-37.0,,12.0,0.001240983479407376,-0.015330369461904025,3234.25,3246.25,3220.75,3221.5,0.003957783641160839,weak,HH_HL,2020-01-03,NEUTRAL,BEARISH,2020
0,False,,False,False,-19.75,,12.75,0.001244555071561848,-0.0058723535774996005,3246.5,3247.5,3213.25,3214.5,0.009954891896095885,weak,MIXED,2020-01-06,NEUTRAL,BEARISH,2020
1,False,True,,False,-7.0,,32.0,-0.002847468062182501,0.0014648061059285844,3237.25,3244.75,3231.75,3239.5,-0.0006945516283377584,weak,MIXED,2020-01-07,BEARISH,NEUTRAL,2020
5,True,True,True,True,1.75,,-2.25,0.0023977105731300963,0.00270646458397783,3253.75,3267.75,3236.0,3239.0,0.004553874652670542,weak,MIXED,2020-01-08,BULLISH,BULLISH,2020
0,False,,True,True,17.25,0.675146771037182,14.75,7.644091117575691e-05,0.0029910269192423566,3275.5,3276.75,3264.25,3271.0,0.0013757260776521285,weak,MIXED,2020-01-09,NEUTRAL,BULLISH,2020
0,False,,False,False,6.5,0.27807486631016043,4.5,-0.0005329678696512907,0.0024425616365162384,3265.75,3283.75,3260.75,3282.0,-0.004951249238269395,weak,LH_LL,2020-01-10,NEUTRAL,BULLISH,2020
0,False,,True,False,7.25,0.3108728943338438,-16.25,-0.0010677242220866745,0.0044430825800521045,3288.5,3288.75,3268.0,3273.0,0.0047357164680721375,weak,MIXED,2020-01-13,NEUTRAL,BULLISH,2020
0,False,,,True,-4.75,-0.20652173913043478,15.5,-0.0007596475235490674,-0.0008361204013378476,3283.25,3295.0,3277.25,3283.75,-0.00015226494099729315,weak,MIXED,2020-01-14,NEUTRAL,NEUTRAL,2020
0,False,,,False,-1.0,-0.04460966542750929,-0.5,-0.0009137983551629203,-0.0007603984487871696,3291.0,3299.0,3281.25,3282.25,0.0026658542158579657,weak,MIXED,2020-01-15,NEUTRAL,NEUTRAL,2020
0,False,,True,False,14.25,0.6492027334851936,8.75,0.0003784724850504073,0.0031873719359489794,3317.5,3317.75,3302.75,3305.25,0.003706224945162928,weak,MIXED,2020-01-16,NEUTRAL,BULLISH,2020
0,False,,True,True,7.75,0.36353944562899787,12.25,0.00030081973377460436,0.0021855452558594557,3328.25,3330.25,3319.0,3325.25,0.0009021878054280563,weak,MIXED,2020-01-17,NEUTRAL,BULLISH,2020
0,False,,False,False,-11.75,-0.5737538148524923,3.0,0.000754944889023168,-0.003909480490188688,3321.25,3329.75,3316.0,3316.5,0.0014322327755162956,weak,MIXED,2020-01-21,NEUTRAL,BEARISH,2020
0,False,,False,True,9.25,0.4633911368015415,4.75,-7.50356419298992e-05,0.003538890143814477,3321.5,3337.5,3319.5,3330.5,-0.002702296952409533,weak,MIXED,2020-01-22,NEUTRAL,BULLISH,2020
0,False,,,False,-8.0,-0.4036036036036036,-9.0,-0.001205636349935979,0.0009043635541488015,3325.25,3327.0,3301.25,3313.5,0.0035460992907800915,weak,LH_LL,2020-01-23,NEUTRAL,NEUTRAL,2020
0,False,,,True,6.25,0.3125,11.75,-0.0003000300030002734,0.001728803367408327,3294.5,3332.5,3280.5,3331.5,-0.0111061083595978,weak,MIXED,2020-01-24,NEUTRAL,NEUTRAL,2020
4,True,False,False,False,-57.75,-2.637846655791191,-37.0,-0.0031506954583877533,-0.015724703737465817,3241.25,3257.75,3233.0,3236.75,0.0013902834633505723,weak,MIXED,2020-01-27,BEARISH,BEARISH,2020
2,True,True,True,True,15.75,0.7424242424242424,4.5,0.003232509812976181,0.002314279102059613,3276.0,3285.0,3251.75,3257.0,0.005833589192508537,weak,MIXED,2020-01-28,BULLISH,BULLISH,2020
0,False,,,True,14.25,0.6288416075650118,19.0,0.0009137983551630313,0.0014468473956745775,3272.5,3292.75,3270.25,3290.25,-0.005394726844464737,weak,MIXED,2020-01-29,NEUTRAL,NEUTRAL,2020
0,False,,False,False,-23.5,-1.0681818181818181,-17.75,-0.000614722606423812,-0.006114805472750895,3282.75,3285.25,3241.0,3249.0,0.010387811634348987,weak,MIXED,2020-01-30,NEUTRAL,BEARISH,2020
0,False,,True,False,-7.25,-0.29874908020603386,33.75,-0.0003050873312485658,-0.006678303103893168,3222.5,3277.5,3212.75,3275.5,-0.01618073576553203,weak,MIXED,2020-01-31,NEUTRAL,BEARISH,2020
1,True,True,True,False,16.75,0.6146788990825688,-53.0,0.0023189302002009082,0.0030988534242331056,3247.0,3267.25,3237.75,3239.25,0.0023925291348305677,weak,MIXED,2020-02-03,BULLISH,BULLISH,2020
0,False,,True,True,39.5,1.4170403587443947,7.75,0.0016750418760469454,0.010400616332819634,3296.0,3305.25,3282.25,3286.5,0.0028906131142552027,weak,HH_HL,2020-02-04,NEUTRAL,BULLISH,2020
0,False,,True,True,32.0,1.1327433628318584,9.5,-0.00022530980097634767,0.007499431861222705,3333.5,3336.0,3311.75,3328.0,0.0016526442307691624,weak,MIXED,2020-02-05,NEUTRAL,BULLISH,2020
0,False,,,True,10.5,0.3656716417910448,5.5,0.00029906542056079566,0.0017238794783391853,3344.5,3346.5,3332.75,3344.0,0.00014952153110048272,weak,MIXED,2020-02-06,NEUTRAL,NEUTRAL,2020
0,False,,True,True,-11.5,-0.4017467248908297,0.5,-0.0006745615350022272,-0.005451015531660719,3326.75,3341.25,3320.75,3333.0,-0.0018751875187519307,weak,MIXED,2020-02-07,NEUTRAL,BEARISH,2020
0,False,,,False,-10.25,-0.35000000000000003,-6.25,-0.0003762510346903003,0.0011284983448691666,3351.5,3351.75,3316.25,3316.5,0.01055329413538364,weak,MIXED,2020-02-10,NEUTRAL,NEUTRAL,2020
0,False,,False,True,14.75,0.47828604516502604,35.0,0.0015628488501897575,0.0028339175180849274,3356.75,3374.5,3351.75,3366.25,-0.0028221314519123464,weak,HH_HL,2020-02-11,NEUTRAL,BULLISH,2020
0,False,,True,True,15.75,0.5051546391752577,-9.5,0.0007421701053882401,0.0034233831956538285,3378.25,3380.75,3368.5,3372.5,0.001704966641957073,weak,MIXED,2020-02-12,NEUTRAL,BULLISH,2020
1,False,True,False,False,-16.0,-0.5295508274231678,5.75,0.002234304014299582,-0.007247448602277773,3374.75,3384.75,3359.0,3362.25,0.0037177485314894287,weak,HH_HL,2020-02-13,BULLISH,BEARISH,2020
