historical_oos_expectancy,historical_oos_pf,note,paper_expectancy,ticks_per_side
6.503169014084507,1.2853236520933107,paper N=0 at init,,0
6.003169014084507,1.2615398775829536,paper N=0 at init,,1
5.503169014084507,1.2380872585460971,paper N=0 at init,,2
