avg_risk_usd_nq,avg_stop_points,cost_adjusted,end,expectancy_points,expectancy_r,long,max_consec_losses,max_dd_points,max_trades_one_day,median_r,n_ambiguous,n_days,n_entered,n_expired,n_resolved,n_setups,n_stop,n_target,n_time,p90_stop_points,p95_stop_points,profit_factor,short,start,win_rate,worst_day_points
295.9259259259259,14.796296296296296,True,2025-09-29,1.4682692307692309,0.23074352415568727,"{""n"": 13, ""win_rate"": 0.46153846153846156, ""expectancy_points"": 0.5019230769230772, ""expectancy_r"": 0.13477425457050113}",3,102.87500000000001,1,0.216509680795395,1,26,27,5,26,32,13,13,0,29.25,31.25,1.1724644228597243,"{""n"": 13, ""win_rate"": 0.5384615384615384, ""expectancy_points"": 2.4346153846153844, ""expectancy_r"": 0.3267127937408734}",2025-06-17,0.5,-36.95
343.54166666666663,17.177083333333332,True,2026-01-16,-6.015217391304348,-0.3655393537808525,"{""n"": 8, ""win_rate"": 0.25, ""expectancy_points"": -9.496875, ""expectancy_r"": -0.39097187092425184}",6,185.95000000000002,1,-1.0084210526315789,1,23,24,7,23,31,17,6,0,33.0,34.25,0.5409754479097546,"{""n"": 15, ""win_rate"": 0.26666666666666666, ""expectancy_points"": -4.158333333333333, ""expectancy_r"": -0.35197534463770624}",2025-09-30,0.2608695652173913,-39.2
293.0,14.65,True,2026-04-24,3.6812500000000004,0.10843196433256234,"{""n"": 9, ""win_rate"": 0.3333333333333333, ""expectancy_points"": -0.7694444444444438, ""expectancy_r"": -0.1835831375534021}",4,59.3,1,-1.0093724308029597,0,20,20,4,20,26,11,9,0,22.25,24.5,1.5010207553589656,"{""n"": 11, ""win_rate"": 0.5454545454545454, ""expectancy_points"": 7.322727272727272, ""expectancy_r"": 0.3473534113301696}",2026-01-20,0.45,-22.45
286.05263157894734,14.302631578947368,True,2026-08-14,-3.4647058823529413,-0.43109649553484636,"{""n"": 5, ""win_rate"": 0.2, ""expectancy_points"": -8.875, ""expectancy_r"": -0.5107047427838995}",6,86.47500000000001,1,-1.012121212121212,2,17,19,3,17,25,13,4,0,25.75,36.0,0.6664779161947905,"{""n"": 12, ""win_rate"": 0.25, ""expectancy_points"": -1.2104166666666667, ""expectancy_r"": -0.3979263925144075}",2026-04-28,0.23529411764705882,-36.2
