bucket,direction,e2r,r2_rate,resolved_n,stop_rate,vwap_hit_rate
upper_extension_short,bearish,0.3571428571428571,0.4732142857142857,112,0.5892857142857143,0.475
lower_extension_long,bullish,-0.008403361344537785,0.36134453781512604,119,0.7310924369747899,0.39473684210526316
