e_pts,e_r,entry,hold_e_r,hold_n,instrument,n,or_minutes,pf,target_r,train_e_r,wr
-0.2949176327028676,-0.03961365497317099,range_1m,-0.043343238902344226,400,ES,1639,5,0.9216091077901122,0.5,-0.03840959236488262,0.6461256863941428
-0.31857404021937824,-0.03532027447067389,range_1m,-0.08305169983675297,401,ES,1641,5,0.9420631965316381,1.0,-0.01988454739664348,0.4875076173065204
0.02953686776355917,-0.00975889208467059,range_1m,-0.06642307908095015,401,ES,1641,5,1.0046378026364766,1.5,0.008565574839126266,0.4034125533211456
0.28654478976234055,0.020467340646854966,range_1m,-0.032806720564976244,401,ES,1641,5,1.04140065981146,2.0,0.037695484635519735,0.352224253503961
0.24708714198659407,0.018463028581513583,range_1m,-0.02187640819453618,401,ES,1641,5,1.0328118121552683,3.0,0.03150828192602645,0.2882388787324802
-0.7193292682926828,-0.06042555017067662,close_1m,-0.07518401381552103,399,ES,1640,5,0.8414643815605753,0.5,-0.055680484099530025,0.6304878048780488
-0.49204268292682896,-0.035088779891507584,close_1m,-0.06093180769808648,399,ES,1640,5,0.9220440599109682,1.0,-0.026779861201076498,0.4865853658536585
-0.1835060975609751,-0.01544195539588829,close_1m,-0.05543998039170198,399,ES,1640,5,0.9747653458057398,1.5,-0.002581994095864386,0.401219512195122
0.009939024390244517,-8.029743099471592e-05,close_1m,-0.08326808783037329,399,ES,1640,5,1.0012660823528317,2.0,0.026665817290481553,0.349390243902439
0.11725609756097621,0.0167221245741984,close_1m,-0.04817037083621471,399,ES,1640,5,1.0141519743954504,3.0,0.03758602922267127,0.3067073170731707
-0.09735678704856769,-0.005643462097925838,range_1m,-0.014714553431943663,379,ES,1606,15,0.9810886585169678,0.5,-0.0028415520607679274,0.6650062266500623
0.12983810709838162,0.001798910601908254,range_1m,0.019897274318633543,379,ES,1606,15,1.0175330910607472,1.0,-0.003791374523306811,0.5062266500622665
0.5374501867995026,0.03638173962007808,range_1m,0.06642118234207865,379,ES,1606,15,1.0643678358068156,1.5,0.027103052748327295,0.43711083437110837
0.7716500622665015,0.059639968090758506,range_1m,0.085075731661544,379,ES,1606,15,1.0873764023712698,2.0,0.05178328154362916,0.39975093399750933
0.849794520547946,0.06789549130653204,range_1m,0.04781862645161071,379,ES,1606,15,1.092675752005427,3.0,0.07409690270018744,0.36924034869240346
0.17910804020100526,0.007878466890622255,close_1m,-0.0021267754882838418,371,ES,1592,15,1.033158975623257,0.5,0.010918552822296425,0.6727386934673367
0.2873052763819102,0.01439952305412016,close_1m,0.0792786449099692,371,ES,1592,15,1.036853597615019,1.0,-0.005313952956133727,0.5131909547738693
1.0183040201005034,0.06313192150114524,close_1m,0.0840418942586064,371,ES,1592,15,1.1185526563081607,1.5,0.05677844083528276,0.4528894472361809
1.1302701005025135,0.07869450246154011,close_1m,0.09204617210706185,371,ES,1592,15,1.1253921575459407,2.0,0.07463760693452244,0.4221105527638191
1.4218844221105535,0.09761546770640152,close_1m,0.09098084905869852,371,ES,1592,15,1.153766938111192,3.0,0.0996313919638117,0.40138190954773867
-0.06845413726747887,-0.0006127095514845368,close_5m,0.02217626074232623,357,ES,1559,15,0.988354316007032,0.5,-0.007381147484005705,0.6619627966645285
0.5970365618986537,0.026478568911938408,close_5m,0.07133201426254451,357,ES,1559,15,1.0748957166582982,1.0,0.013156871748738424,0.5214881334188582
1.1689576651699816,0.06617841587333204,close_5m,0.07379535483815765,357,ES,1559,15,1.1338128328974246,1.5,0.06391614697945289,0.4663245670301475
1.0640025657472747,0.0726563345246794,close_5m,0.07060839007860867,357,ES,1559,15,1.1171488722484197,2.0,0.07326458424784682,0.4400256574727389
1.2495381654907,0.08130031732584818,close_5m,0.07515667719926919,357,ES,1559,15,1.1350296811185943,3.0,0.08312500911053096,0.4252726106478512
0.3251294820717135,0.007894515828851874,range_1m,0.027803613402275856,325,ES,1506,30,1.0553711026951353,0.5,0.00241572098434485,0.6620185922974767
0.3633930942895094,0.01513847586238745,range_1m,0.01460519351089355,325,ES,1506,30,1.0444577490131919,1.0,0.015285230108141486,0.5132802124833997
0.6578818061088986,0.038604389174804764,range_1m,0.007994275679768846,325,ES,1506,30,1.0745054128603186,1.5,0.047028002117977225,0.46082337317397076
1.0385258964143436,0.06230590918028893,range_1m,0.011869224118067604,325,ES,1506,30,1.1153955974633953,2.0,0.07618560659368599,0.4455511288180611
1.4737848605577697,0.09111128479524483,range_1m,0.06150057783007241,325,ES,1506,30,1.1624166977056973,3.0,0.09925987053925926,0.43691899070385126
0.36981381178063677,0.002908780663857426,close_1m,0.0515380415407855,310,ES,1477,30,1.0607527258450038,0.5,-0.010009017855292276,0.6526743398781314
0.33435341909275634,0.008813532946597548,close_1m,0.03758984487575422,310,ES,1477,30,1.0400740717899113,1.0,0.0011694398034625265,0.5118483412322274
0.5346750169262026,0.02438674979858233,close_1m,0.029240538918693038,310,ES,1477,30,1.0602427514783874,1.5,0.023097397076016504,0.46784021665538256
0.9863507109004748,0.052176552292790154,close_1m,0.03916753694643042,310,ES,1477,30,1.109594523433386,2.0,0.05563224617228589,0.4583615436696005
1.3147190250507794,0.07117234423111625,close_1m,0.08240817743085803,310,ES,1477,30,1.1453476317686344,3.0,0.0681876756005079,0.45226811103588355
-0.30016556291390806,-0.014173054674673814,range_1m,0.02365856349134199,219,NQ,1359,5,0.9815118642685078,0.5,-0.021440707638145273,0.6600441501103753
0.5047461368653399,-6.748972007538359e-05,range_1m,0.028224773537004057,219,NQ,1359,5,1.0212308277995552,1.0,-0.005502582398409065,0.5018395879323032
1.3174760853568777,0.028578594084998257,range_1m,0.02627604156936775,219,NQ,1359,5,1.0473245236688697,1.5,0.02902092654194833,0.4179543782192789
0.4703458425312713,0.012534517539653775,range_1m,0.010396214438406434,219,NQ,1359,5,1.0152516935058615,2.0,0.012945296819630239,0.3539367181751288
3.0032744665194993,0.06854120491340294,range_1m,0.020919281364151828,219,NQ,1359,5,1.0924842458753763,3.0,0.07768962706891697,0.3127299484915379
-0.369642857142858,-0.016810565164540457,close_1m,0.020394653197382758,167,NQ,1204,5,0.9785669394860976,0.5,-0.022802148063712276,0.6578073089700996
1.947632890365446,0.022186923080439364,close_1m,0.04668106342776941,167,NQ,1204,5,1.0799711483863046,1.0,0.018242350816211672,0.5132890365448505
2.4713039867109607,0.04085493074929245,close_1m,0.04991671414137346,167,NQ,1204,5,1.0860126932644178,1.5,0.03939560786937198,0.42524916943521596
3.241652823920264,0.04909819720638047,close_1m,0.06951388692245584,167,NQ,1204,5,1.1043304508213154,2.0,0.04581042460986688,0.3729235880398671
6.780481727574751,0.12002437900941118,close_1m,0.12205806123192998,167,NQ,1204,5,1.2090070392696262,3.0,0.11969687184339321,0.3430232558139535
2.4425872093023244,0.0431629327177252,range_1m,0.10465061130102553,88,NQ,860,15,1.144550684347066,0.5,0.03615397453724537,0.6941860465116279
5.266569767441858,0.08404246710458173,range_1m,0.1330597022101164,88,NQ,860,15,1.215065634370615,1.0,0.07845501025317363,0.5430232558139535
7.063081395348835,0.11697667139653131,range_1m,0.10605876469389859,88,NQ,860,15,1.2494046397043728,1.5,0.11822119962170188,0.46511627906976744
8.37470930232558,0.13838663502593418,range_1m,0.11036082738161952,88,NQ,860,15,1.2774412499446253,2.0,0.1415812866745089,0.4255813953488372
8.799127906976743,0.15063897279875785,range_1m,0.054340037120102665,88,NQ,860,15,1.2795556516069206,3.0,0.16161605354969263,0.39767441860465114
0.5789879356568352,0.002863592976598974,close_1m,0.06205013297805748,69,NQ,746,15,1.0307721079348116,0.5,-0.0031687131683059556,0.6648793565683646
4.336193029490614,0.0652115278774822,close_1m,0.19978144033475975,69,NQ,746,15,1.1691350052678224,1.0,0.0514961305960167,0.5388739946380697
6.276541554959783,0.09127822634230962,close_1m,0.21969584766705644,69,NQ,746,15,1.2143988790798197,1.5,0.07818987202708431,0.4624664879356568
8.427010723860588,0.12862500245265057,close_1m,0.1155744896680988,69,NQ,746,15,1.27631607864166,2.0,0.12995511379996827,0.4383378016085791
7.883445040214476,0.12136148867996098,close_1m,0.12262688024952384,69,NQ,746,15,1.2476716493966187,3.0,0.12123251967213257,0.4128686327077748
2.565577507598783,0.027366580944138613,close_5m,0.07745571912841594,62,NQ,658,15,1.143651556796038,0.5,0.022155965898123187,0.6793313069908815
3.073556231003037,0.037362353280132925,close_5m,0.1410675965169425,62,NQ,658,15,1.1175263902650214,1.0,0.026574223950129244,0.5227963525835866
5.857180851063827,0.07714795006459928,close_5m,0.08567591248738905,62,NQ,658,15,1.2011742045605802,1.5,0.07626081303404061,0.46504559270516715
6.568617021276594,0.09162531390038896,close_5m,0.041505634179401424,62,NQ,658,15,1.2169269415215977,2.0,0.09683910608612926,0.43617021276595747
7.2958206686930085,0.10412777008261263,close_5m,-0.005826808804309135,62,NQ,658,15,1.2332161742666223,3.0,0.11556599808762799,0.41641337386018235
3.4077586206896537,0.03918580524867897,range_1m,0.24221521021267203,40,NQ,522,30,1.1987253248131555,0.5,0.0223368919736588,0.685823754789272
5.22001915708812,0.07330599516835065,range_1m,0.26634902144325745,40,NQ,522,30,1.2086472786302795,1.0,0.057285827012756724,0.5440613026819924
7.5844827586206875,0.11357968529601832,range_1m,0.2561914847451347,40,NQ,522,30,1.2719928001703775,1.5,0.1017446811923572,0.4885057471264368
7.21522988505747,0.1095382676387121,range_1m,0.20124342456459896,40,NQ,522,30,1.2481796796236135,2.0,0.10192788117183353,0.45977011494252873
7.009291187739462,0.10786979596499743,range_1m,0.2057010965222709,40,NQ,522,30,1.2356511910244066,3.0,0.09975101583576312,0.446360153256705
2.629519450800914,0.03038339445121842,close_1m,0.16112112142559898,29,NQ,437,30,1.146668028131262,0.5,0.021090761896666862,0.6773455377574371
4.341762013729975,0.05671361242434237,close_1m,0.18880244870511365,29,NQ,437,30,1.1712718902328938,1.0,0.047324945139679706,0.5423340961098398
6.586327231121279,0.0921588073880102,close_1m,0.22981484251775247,29,NQ,437,30,1.2393345224285814,1.5,0.08237443234202362,0.494279176201373
6.894965675057207,0.10016939139096716,close_1m,0.2661242056945443,29,NQ,437,30,1.241748102504854,2.0,0.08837358351154624,0.4759725400457666
6.638672768878718,0.10025279776310435,close_1m,0.3245568075754221,29,NQ,437,30,1.2290173355647478,3.0,0.08430962059507197,0.4668192219679634
