ambiguous,continuation,mean_volume_burst,n,neither,p_reversal,p_reversal_wilson_hi,p_reversal_wilson_lo,reversal,slice
3,1,5.330877006068278,19,0,0.7894736842105263,0.9149246150840843,0.5666528575973392,15,first_bar
13,9,2.5000254549008902,64,1,0.640625,0.7471176946778538,0.5182062363615084,41,first_30m
14,9,2.373302318811223,75,4,0.64,0.7393523360066117,0.5270045111400723,48,first_60m
4,7,2.431368880877408,39,6,0.5641025641025641,0.7069547583829534,0.40975423474522105,22,later
