atr_1m_14,event_id,extras,extreme,further_ext,label_300s,level,mae,mfe,penetration_points,prior_rth_high,prior_rth_low,rth_open_ts,seconds_from_rth_open,seconds_to_reclaim,side,sweep_bar_time,sweep_ts,trading_date,volume_sweep_bar
20.107142857142858,NQ|PDH|2026-05-13|1778683920,"{""pdh_pdl_source_date"": ""2026-05-12"", ""session"": ""RTH_0930_1600""}",29297.25,17.75,CONTINUATION,29296.0,19.0,7.25,1.25,29296.0,28742.0,1778679000,4920,60.0,pdh_sweep,1778683920,1778683920,2026-05-13,1770.0
20.589285714285715,NQ|PDH|2026-05-14|1778765700,"{""pdh_pdl_source_date"": ""2026-05-13"", ""session"": ""RTH_0930_1600""}",29570.75,1.75,REVERSAL,29565.5,7.0,12.25,5.25,29565.5,29075.0,1778765400,300,60.0,pdh_sweep,1778765700,1778765700,2026-05-14,2910.0
19.446428571428573,NQ|PDL|2026-05-15|1778851800,"{""pdh_pdl_source_date"": ""2026-05-14"", ""session"": ""RTH_0930_1600""}",29240.25,37.5,CONTINUATION,29458.5,-255.75,0.0,218.25,29782.0,29458.5,1778851800,0,,pdl_sweep,1778851800,1778851800,2026-05-15,7147.0
33.44642857142857,NQ|PDL|2026-05-18|1779114720,"{""pdh_pdl_source_date"": ""2026-05-15"", ""session"": ""RTH_0930_1600""}",29088.25,45.5,AMBIGUOUS,29089.75,-47.0,9.75,1.5,29486.75,29089.75,1779111000,3720,,pdl_sweep,1779114720,1779114720,2026-05-18,2731.0
47.892857142857146,NQ|PDL|2026-05-19|1779199620,"{""pdh_pdl_source_date"": ""2026-05-18"", ""session"": ""RTH_0930_1600""}",28768.75,5.5,REVERSAL,28814.75,-51.5,14.5,46.0,29356.25,28814.75,1779197400,2220,180.0,pdl_sweep,1779199620,1779199620,2026-05-19,4241.0
14.517857142857142,NQ|PDH|2026-05-20|1779283860,"{""pdh_pdl_source_date"": ""2026-05-19"", ""session"": ""RTH_0930_1600""}",29135.5,1.0,REVERSAL,29126.5,10.0,16.5,9.0,29126.5,28663.0,1779283800,60,60.0,pdh_sweep,1779283860,1779283860,2026-05-20,4584.0
24.857142857142858,NQ|PDH|2026-05-21|1779383760,"{""pdh_pdl_source_date"": ""2026-05-20"", ""session"": ""RTH_0930_1600""}",29426.25,11.5,REVERSAL,29396.75,41.0,14.25,29.5,29396.75,29008.5,1779370200,13560,60.0,pdh_sweep,1779383760,1779383760,2026-05-21,2903.0
12.732142857142858,NQ|PDH|2026-05-22|1779456600,"{""pdh_pdl_source_date"": ""2026-05-21"", ""session"": ""RTH_0930_1600""}",29619.5,26.0,CONTINUATION,29554.0,91.5,0.0,65.5,29554.0,29127.0,1779456600,0,,pdh_sweep,1779456600,1779456600,2026-05-22,7399.0
7.875,NQ|PDH|2026-05-26|1779802200,"{""pdh_pdl_source_date"": ""2026-05-22"", ""session"": ""RTH_0930_1600""}",29935.0,0.0,NEITHER,29749.0,159.5,0.0,186.0,29749.0,29490.25,1779802200,0,,pdh_sweep,1779802200,1779802200,2026-05-26,9192.0
11.053571428571429,NQ|PDH|2026-05-27|1779888600,"{""pdh_pdl_source_date"": ""2026-05-26"", ""session"": ""RTH_0930_1600""}",30192.0,0.0,NEITHER,30118.75,52.0,0.0,73.25,30118.75,29826.75,1779888600,0,,pdh_sweep,1779888600,1779888600,2026-05-27,8520.0
19.321428571428573,NQ|PDH|2026-05-28|1779980400,"{""pdh_pdl_source_date"": ""2026-05-27"", ""session"": ""RTH_0930_1600""}",30211.25,12.75,CONTINUATION,30192.0,32.0,0.0,19.25,30192.0,29877.5,1779975000,5400,,pdh_sweep,1779980400,1779980400,2026-05-28,2324.0
8.5,NQ|PDH|2026-05-29|1780061400,"{""pdh_pdl_source_date"": ""2026-05-28"", ""session"": ""RTH_0930_1600""}",30404.75,14.5,CONTINUATION,30344.5,74.75,0.0,60.25,30344.5,29920.25,1780061400,0,,pdh_sweep,1780061400,1780061400,2026-05-29,7384.0
12.607142857142858,NQ|PDH|2026-06-01|1780327800,"{""pdh_pdl_source_date"": ""2026-05-29"", ""session"": ""RTH_0930_1600""}",30540.0,0.0,REVERSAL,30536.0,0.0,23.5,4.0,30536.0,30270.0,1780320600,7200,60.0,pdh_sweep,1780327800,1780327800,2026-06-01,6467.0
11.0,NQ|PDH|2026-06-02|1780415760,"{""pdh_pdl_source_date"": ""2026-06-01"", ""session"": ""RTH_0930_1600""}",30697.0,0.0,REVERSAL,30693.0,0.0,13.25,4.0,30693.0,30292.0,1780407000,8760,60.0,pdh_sweep,1780415760,1780415760,2026-06-02,1705.0
10.821428571428571,NQ|PDH|2026-06-03|1780493400,"{""pdh_pdl_source_date"": ""2026-06-02"", ""session"": ""RTH_0930_1600""}",30792.0,15.75,CONTINUATION,30721.25,86.5,0.0,70.75,30721.25,30423.75,1780493400,0,,pdh_sweep,1780493400,1780493400,2026-06-03,6431.0
14.321428571428571,NQ|PDL|2026-06-04|1780579800,"{""pdh_pdl_source_date"": ""2026-06-03"", ""session"": ""RTH_0930_1600""}",30210.0,0.0,NEITHER,30496.0,-264.5,0.0,286.0,30807.75,30496.0,1780579800,0,,pdl_sweep,1780579800,1780579800,2026-06-04,7211.0
12.857142857142858,NQ|PDH|2026-06-09|1781011800,"{""pdh_pdl_source_date"": ""2026-06-08"", ""session"": ""RTH_0930_1600""}",29748.0,0.0,REVERSAL,29743.0,0.0,60.0,5.0,29743.0,29331.5,1781011800,0,60.0,pdh_sweep,1781011800,1781011800,2026-06-09,6579.0
48.125,NQ|PDL|2026-06-09|1781016240,"{""pdh_pdl_source_date"": ""2026-06-08"", ""session"": ""RTH_0930_1600""}",29271.25,66.0,CONTINUATION,29331.5,-126.25,0.0,60.25,29743.0,29331.5,1781011800,4440,,pdl_sweep,1781016240,1781016240,2026-06-09,5419.0
70.57142857142857,NQ|PDH|2026-06-11|1781199180,"{""pdh_pdl_source_date"": ""2026-06-10"", ""session"": ""RTH_0930_1600""}",29260.0,5.0,REVERSAL,29250.0,15.0,87.0,10.0,29250.0,28493.0,1781184600,14580,60.0,pdh_sweep,1781199180,1781199180,2026-06-11,4345.0
49.17857142857143,NQ|PDH|2026-06-12|1781273220,"{""pdh_pdl_source_date"": ""2026-06-11"", ""session"": ""RTH_0930_1600""}",29567.5,0.0,REVERSAL,29544.25,20.25,11.5,23.25,29544.25,28577.5,1781271000,2220,60.0,pdh_sweep,1781273220,1781273220,2026-06-12,1945.0
