block,candidate_id,e1r,e2r,e3r,median_mae_r,median_mfe_r,resolved_n,stop_rate
1,R6_15m_break_close,0.14285714285714285,0.14285714285714285,-0.23809523809523808,0.7348314606741833,0.8247772592278093,21,0.23809523809523808
2,R6_15m_break_close,-0.03125,-0.375,-0.375,0.6877400101823918,0.7021495147576162,32,0.375
3,R6_15m_break_close,-0.03448275862068961,-0.24137931034482757,-0.17241379310344826,0.8651064948724654,0.5641806189751329,29,0.3793103448275862
4,R6_15m_break_close,-0.5185185185185185,-0.5925925925925926,-0.5925925925925926,1.0918045705279715,0.19218989280247445,27,0.5925925925925926
1,R2_5m_break_close,-0.09090909090909088,-0.04545454545454547,-0.36363636363636365,0.9432526042695308,0.8169071300336559,22,0.5
2,R2_5m_break_close,-0.10714285714285715,-0.17857142857142855,-0.3214285714285714,1.0280577406176805,0.7109594152919644,28,0.5357142857142857
3,R2_5m_break_close,-0.17857142857142855,-0.24999999999999994,-0.2857142857142857,1.0391383441625326,0.8774588370299272,28,0.6071428571428571
4,R2_5m_break_close,-0.5,-0.5,-0.6666666666666667,1.1377338793756715,0.5511247916803497,30,0.7666666666666667
1,R8_5m_confirm_candle,-0.6842105263157894,-0.7368421052631579,-0.6842105263157894,1.0788288288288075,0.5750873108265391,19,0.8421052631578947
2,R8_5m_confirm_candle,0.1538461538461538,0.11538461538461536,-0.07692307692307693,0.8781762295082074,1.0516687032007193,26,0.4230769230769231
3,R8_5m_confirm_candle,-0.33333333333333337,-0.33333333333333337,-0.4444444444444445,1.3588286713286712,0.9331175836030321,27,0.7777777777777778
4,R8_5m_confirm_candle,-0.33333333333333326,-0.33333333333333326,-0.5333333333333332,1.1222525418895337,0.7682351581801128,30,0.7333333333333333
