bucket,expectancy_r,n,win_rate
le_5m,-0.18217449803025038,642,0.42834890965732086
5_15m,-0.2284727858477354,88,0.4090909090909091
15_30m,0.02433350258668771,28,0.5357142857142857
gt_30m,,0,
