block,expectancy_points,max_dd_points,profit_factor,resolved_n,win_rate
1,41.888888888888886,31.5,12.968253968253968,9,0.8888888888888888
2,-33.083333333333336,301.0,0.26932515337423313,9,0.2222222222222222
3,-18.63888888888889,232.5,0.4765990639625585,9,0.3333333333333333
4,38.675,119.75,3.238784370477569,10,0.8
