avg_hold_sec,avg_mae,avg_mfe,avg_stop_points,expectancy_points,expectancy_r,max_consec_losses,max_dd_points,median_stop_points,n_ambiguous,n_days,n_entered,n_resolved,n_short,p95_stop_points,p_reach_0_5r,p_reach_1_5r,p_reach_1r,p_reach_2r,p_reach_3r,profit_factor,total_points,tstat,use_cost,win_rate,worst_day_points,year
23040,23.10929648241206,18.234924623115578,,-1.6164321608040193,,6,469.8699999999996,,0,199,199,199,0,,0.0,0.0,0.0,0.0,0.0,0.860671110706845,-321.66999999999985,-0.7599188608619628,True,0.5628140703517588,-114.58,2020
23040,18.96,15.42,,0.037500000000000686,,10,287.06,,0,200,200,200,0,,0.0,0.0,0.0,0.0,0.0,1.0041967902947826,7.500000000000137,0.0226874221062567,True,0.495,-73.58,2021
23040,31.10148514851485,29.349009900990097,,-1.2928712871287118,,7,300.5399999999998,,0,101,101,101,0,,0.0,0.0,0.0,0.0,0.0,0.9269715391455592,-130.5799999999999,-0.3012079040649941,True,0.46534653465346537,-141.58,2022
23040,17.431372549019606,21.607843137254903,,4.268039215686275,,5,214.43000000000063,,0,153,153,153,0,,0.0,0.0,0.0,0.0,0.0,1.5533701676185958,653.0100000000001,2.0315584819583536,True,0.6274509803921569,-73.83,2023
23040,25.64125,19.27375,,-1.3087499999999992,,5,642.6999999999998,,0,200,200,200,0,,0.0,0.0,0.0,0.0,0.0,0.8869296263817914,-261.74999999999983,-0.6177188138357851,True,0.52,-143.58,2024
23040,32.41317365269461,23.59431137724551,,-2.1698203592814362,,6,761.4999999999998,,0,167,167,167,0,,0.0,0.0,0.0,0.0,0.0,0.8607956728183538,-362.35999999999984,-0.6942768065162127,True,0.5449101796407185,-202.08,2025
23040,32.417647058823526,28.65,,1.170000000000001,,5,424.00999999999976,,0,85,85,85,0,,0.0,0.0,0.0,0.0,0.0,1.0806667477795353,99.45000000000009,0.2801960865526344,True,0.47058823529411764,-131.83,2026
