ambiguous,continuation,n,neither,p_reversal,p_reversal_among_decided,p_reversal_unresolved_as_fail,p_reversal_wilson_hi,p_reversal_wilson_lo,reversal,slice,unresolved
22,84,269,48,0.4275092936802974,0.5778894472361809,0.4275092936802974,0.4872414923851495,0.36981842809618454,115,ALL,70
7,43,155,39,0.4258064516129032,0.6055045871559633,0.4258064516129032,0.5045187312071028,0.35068292881143126,66,PDH,46
15,41,114,9,0.4298245614035088,0.5444444444444444,0.4298245614035088,0.5215248793842885,0.34269963895219036,49,PDL,24
