CL,ES,GC,NQ,family
PORTABLE_EDGE_REJECTED,PORTABLE_EDGE_REJECTED,FROZEN,PORTABLE_EDGE_WEAK,VWAP_MR
PORTABLE_EDGE_REJECTED,PORTABLE_EDGE_FOUND,PORTABLE_EDGE_REJECTED,FROZEN,DVP
