bucket,median_mae_r,median_mfe_r,n_rows,r1_rate,r2_rate,r3_rate,resolved_n,stop_rate,theoretical_2r_expectancy
0.25-0.50,1.0399999999999994,1.0279503105589947,171,0.5364238410596026,0.23178807947019867,0.10596026490066225,151,0.6026490066225165,-0.1390728476821192
0.50-0.75,1.061093247588412,0.8425925925925278,72,0.45901639344262296,0.2459016393442623,0.21311475409836064,61,0.6229508196721312,-0.1311475409836066
0.75-1.0,1.0290418054014019,1.0017380468288777,44,0.5,0.2894736842105263,0.13157894736842105,38,0.6052631578947368,-0.02631578947368418
<0.25,1.0301445646906744,0.8499378680642133,160,0.46774193548387094,0.23387096774193547,0.0967741935483871,124,0.6290322580645161,-0.16129032258064518
>1.0,0.9365079365079193,1.4950495049504995,48,0.6956521739130435,0.43478260869565216,0.2608695652173913,23,0.4782608695652174,0.3913043478260869
